,log_likelihood
1238,-0.7890625
1239,0.0625
1240,-0.53125
1241,-1.015625
1242,0.234375
1243,-0.171875
1244,-0.921875
1245,0.0625
1246,-2.84375
1247,0.015625
1248,0.78125
1249,0.046875
1250,0.375
1251,-1.84375
1252,-0.890625
1253,1.359375
1254,-0.09375
1255,0.546875
1256,-1.1875
1257,-1.7890625
1258,-2.15625
1259,0.453125
1260,1.640625
1261,-1.578125
1262,0.15625
1263,-0.265625
1264,0.375
1265,0.25
1266,-1.125
1267,0.078125
1268,-1.703125
1269,-1.9453125
1270,0.5625
1271,0.65625
1272,-1.0
1273,-0.109375
1274,0.953125
1275,-4.2578125
1276,0.5
1277,0.0625
1278,1.640625
1279,0.65625
1280,-1.796875
1281,-0.84375
1282,-0.15625
1283,-3.515625
1284,0.28125
1285,-0.953125
1286,-1.21875
1287,-1.671875
1288,-0.21875
1289,-0.453125
1290,1.015625
1291,0.015625
1292,-0.078125
1293,-1.640625
1294,-0.71875
1295,0.015625
1296,-0.1875
1297,-1.203125
1298,0.734375
1299,-0.84375
1300,-0.34375
1301,-1.421875
1302,-0.390625
1303,0.578125
1304,-0.234375
1305,-0.703125
1306,0.421875
1307,-1.25
1308,0.53125
1309,0.53125
1310,-2.828125
1311,-0.734375
1312,0.09375
1313,-0.421875
1314,-0.921875
1315,-0.125
1316,-0.78125
1317,0.171875
1318,-1.25
1319,-0.125
1320,1.515625
1321,-0.046875
1322,-0.734375
1323,-0.546875
1324,-0.921875
1325,0.234375
1326,0.78125
1327,-1.21875
1328,-0.9375
1329,-1.1484375
1330,0.25
1331,0.25
1332,0.1875
1333,0.65625
1334,-0.421875
1335,0.75
1336,0.15625
1337,2.125
1338,-0.984375
1339,-4.662109375
1340,-0.625
1341,-0.265625
1342,0.59375
1343,-2.03125
1344,-0.375
1345,0.03125
1346,0.96875
1347,1.015625
1348,2.015625
1349,-0.984375
1350,0.609375
1351,-0.28125
1352,0.15625
1353,-0.875
1354,0.09375
1355,0.265625
1356,0.046875
1357,0.078125
1358,-0.5546875
1359,-1.265625
1360,-0.296875
1361,-1.28125
1362,-0.015625
1363,0.71875
