,log_likelihood
986,0.0
987,1.703125
988,-0.328125
989,-1.203125
990,0.1875
991,-0.40625
992,-0.5
993,-0.7578125
994,-9.146484375
995,0.0
996,-0.375
997,1.203125
998,-1.0078125
999,-1.90625
1000,-5.609375
1001,0.984375
1002,-0.828125
1003,-9.00732421875
1004,0.609375
1005,-0.953125
1006,-0.15625
1007,0.0
1008,-3.2421875
1009,-3.84375
1010,-0.578125
1011,-13.164306640625
1012,-1.703125
1013,-2.625
1014,0.09375
1015,-1.0625
1016,-0.734375
1017,-0.3125
1018,0.0625
1019,-0.015625
1020,-1.671875
1021,0.3125
1022,-14.625
1023,-4.34375
1024,-0.640625
1025,-2.21875
1026,1.4375
1027,0.28125
1028,-0.65625
1029,-1.09375
1030,-1.984375
1031,-0.828125
1032,-2.421875
1033,-1.828125
1034,-9.76171875
1035,-1.859375
1036,-0.421875
1037,-1.0625
1038,-0.40625
1039,-0.1875
1040,0.59375
1041,-1.6875
1042,-1.140625
1043,-2.3984375
1044,-1.95703125
1045,-1.9375
1046,0.09375
1047,-1.109375
1048,-2.609375
1049,0.03125
1050,-7.59375
1051,-0.3125
1052,0.015625
1053,0.21875
1054,-10.0
1055,0.671875
1056,-2.234375
1057,-3.515625
1058,0.046875
1059,0.734375
1060,0.140625
1061,-12.2344970703125
1062,-1.25
1063,-0.578125
1064,1.046875
1065,-2.125
1066,-0.25
1067,-0.453125
1068,-1.21875
1069,-0.953125
1070,0.03125
1071,-0.828125
1072,-11.43798828125
1073,-3.6796875
1074,0.734375
1075,-1.0390625
1076,-0.3203125
1077,-0.171875
1078,-0.421875
1079,-4.328125
1080,-0.625
1081,-0.359375
1082,-0.28125
1083,-0.4375
1084,-12.6719970703125
1085,-0.546875
1086,-1.75
1087,-0.171875
1088,0.09375
1089,-1.46484375
1090,-0.125
1091,0.15625
1092,-1.640625
1093,0.90625
1094,0.28125
1095,-4.578125
1096,-1.671875
1097,-0.578125
1098,0.421875
1099,-2.234375
1100,0.34375
1101,-0.203125
1102,1.9375
1103,1.625
1104,-0.1875
1105,-0.484375
1106,-0.8125
1107,-0.671875
1108,-13.367218017578125
1109,0.28125
1110,0.859375
1111,-0.046875
