,log_likelihood
1364,-4.140625
1365,-2.46875
1366,-0.6875
1367,-3.046875
1368,1.0
1369,-7.265625
1370,-4.453125
1371,0.890625
1372,0.25
1373,0.75
1374,0.765625
1375,-3.359375
1376,-1.171875
1377,-1.671875
1378,-1.171875
1379,-0.59375
1380,-2.171875
1381,-2.453125
1382,-2.78125
1383,-0.578125
1384,-0.25
1385,-1.1875
1386,-2.15625
1387,-9.40625
1388,0.203125
1389,-7.4375
1390,-4.46875
1391,-5.796875
1392,-3.40625
1393,-1.5
1394,0.21875
1395,0.28125
1396,-3.53125
1397,0.96875
1398,-0.40625
1399,0.453125
1400,-5.859375
1401,-1.953125
1402,-4.390625
1403,-0.3125
1404,-4.6875
1405,0.796875
1406,-0.546875
1407,-2.75
1408,-2.9375
1409,-5.703125
1410,1.328125
1411,-0.1875
1412,-4.21875
1413,0.890625
1414,-2.390625
1415,-10.171875
1416,0.3125
1417,-2.640625
1418,-1.609375
1419,0.09375
1420,-2.125
1421,0.234375
1422,-1.0625
1423,-5.59375
1424,-0.421875
1425,0.921875
1426,0.296875
1427,0.03125
1428,0.015625
1429,0.484375
1430,-0.71875
1431,-2.09375
1432,-5.671875
1433,-2.625
1434,-2.09375
1435,0.0625
1436,-2.03125
1437,-0.46875
1438,-1.25
1439,-0.046875
1440,-4.4375
1441,-3.53125
1442,-1.046875
1443,-4.453125
1444,-14.984375
1445,-2.578125
1446,-2.09375
1447,0.453125
1448,0.078125
1449,-3.125
1450,-3.40625
1451,-0.59375
1452,-0.5
1453,0.359375
1454,-4.6875
1455,-3.1875
1456,-3.90625
1457,0.515625
1458,-0.953125
1459,0.484375
1460,-1.609375
1461,-3.28125
1462,-1.640625
1463,0.015625
1464,-1.765625
1465,-0.703125
1466,0.28125
1467,-0.265625
1468,-0.6875
1469,0.3125
1470,-1.40625
1471,-3.9375
1472,-2.96875
1473,0.015625
1474,-1.796875
1475,-0.421875
1476,-0.875
1477,0.078125
1478,-1.390625
1479,0.90625
1480,-1.78125
1481,-1.25
1482,-4.46875
1483,0.234375
1484,-0.25
1485,-3.671875
1486,-1.9375
1487,-0.5
1488,-1.28125
1489,-0.703125
