,log_likelihood
126,1.59375
127,-0.40625
128,0.5
129,0.578125
130,-0.15625
131,-1.578125
132,0.25
133,-2.671875
134,0.34375
135,-0.375
136,0.046875
137,0.203125
138,-1.203125
139,-0.390625
140,-0.328125
141,-0.296875
142,0.125
143,-0.203125
144,-1.40625
145,-0.625
146,-0.078125
147,1.140625
148,-0.921875
149,-0.375
150,-1.359375
151,-1.0625
152,-0.234375
153,-1.59375
154,-0.8125
155,0.453125
156,0.078125
157,-0.71875
158,0.171875
159,-1.265625
160,-0.609375
161,0.203125
162,-6.05859375
163,0.15625
164,0.140625
165,0.15625
166,1.09375
167,-1.046875
168,-0.6875
169,0.265625
170,-0.21875
171,-0.46875
172,-0.234375
173,-0.34375
174,-1.25
175,0.25
176,0.125
177,-0.96875
178,-2.078125
179,0.640625
180,-0.640625
181,-0.515625
182,-0.109375
183,-0.546875
184,-0.65625
185,0.5
186,0.40625
187,0.265625
188,-1.203125
189,0.484375
190,-0.8125
191,-1.015625
192,-0.078125
193,-0.359375
194,-0.734375
195,-0.625
196,0.28125
197,-0.3125
198,0.1875
199,-1.234375
200,-1.71875
201,-0.9296875
202,0.515625
203,0.765625
204,1.546875
205,-0.6875
206,-0.328125
207,-0.40625
208,-0.421875
209,-3.1640625
210,0.390625
211,-0.328125
212,0.234375
213,-0.9375
214,-0.375
215,0.546875
216,0.40625
217,-1.65625
218,-0.703125
219,-1.1875
220,-0.296875
221,-0.203125
222,-0.34375
223,-0.96875
224,-0.9375
225,0.15625
226,-0.078125
227,0.1875
228,-1.859375
229,-0.421875
230,0.078125
231,-1.125
232,-1.515625
233,-0.109375
234,-2.515625
235,-0.484375
236,-0.75
237,0.078125
238,0.046875
239,-1.5625
240,0.6875
241,-0.015625
242,-0.7578125
243,0.078125
244,-0.171875
245,0.046875
246,0.8125
247,-9.10498046875
248,-0.578125
249,-3.078125
250,-0.0625
251,0.25
