,log_likelihood
378,0.171875
379,0.15625
380,-0.109375
381,-0.375
382,-0.953125
383,-0.265625
384,-0.3125
385,-0.453125
386,0.15625
387,0.34375
388,-0.671875
389,0.40625
390,-0.28125
391,0.734375
392,0.234375
393,-0.34375
394,-0.234375
395,-1.140625
396,-0.21875
397,0.625
398,0.28125
399,-1.15625
400,0.484375
401,0.765625
402,-0.625
403,0.046875
404,-0.953125
405,0.171875
406,-1.078125
407,-0.109375
408,0.4375
409,0.5
410,0.984375
411,0.625
412,0.625
413,-0.046875
414,-1.0625
415,0.265625
416,-0.296875
417,-0.140625
418,-0.265625
419,0.140625
420,-0.203125
421,-1.171875
422,-0.8125
423,0.109375
424,0.171875
425,-0.28125
426,-0.4375
427,-0.765625
428,-0.5625
429,-0.5
430,0.546875
431,-0.890625
432,-1.34375
433,-0.375
434,-0.546875
435,-0.671875
436,0.1875
437,0.390625
438,-0.40625
439,-0.421875
440,0.1875
441,-1.125
442,0.359375
443,0.328125
444,-0.328125
445,0.890625
446,-0.28125
447,-0.265625
448,-0.390625
449,-0.859375
450,0.8125
451,0.859375
452,-1.046875
453,-0.1875
454,-0.90625
455,0.0
456,-0.375
457,-0.046875
458,-0.53125
459,-0.21875
460,-1.734375
461,0.375
462,-1.0
463,-0.890625
464,-1.25
465,-0.046875
466,0.109375
467,-0.59375
468,0.453125
469,-1.296875
470,-0.46875
471,0.5
472,0.59375
473,-0.5
474,0.390625
475,-0.578125
476,1.0625
477,-1.828125
478,-1.3125
479,-0.046875
480,-0.203125
481,-0.046875
482,-1.265625
483,-0.375
484,0.4375
485,0.75
486,0.015625
487,-1.3984375
488,-0.46875
489,-0.96875
490,0.078125
491,-0.0625
492,0.1875
493,0.0
494,1.65625
495,0.46875
496,-1.953125
497,0.21875
498,1.75
499,-0.4375
500,-1.28125
501,0.640625
502,1.375
503,0.46875
