,log_likelihood
1112,-11.976806640625
1113,-1.3125
1114,-8.38671875
1115,-14.4375
1116,-14.75
1117,-10.4375
1118,-11.1719970703125
1119,-12.25
1120,-8.875
1121,-7.859375
1122,0.1875
1123,-8.0546875
1124,-6.4873046875
1125,-11.625
1126,-13.5
1127,-14.75
1128,-9.9375
1129,-9.125
1130,-6.84765625
1131,-14.0
1132,-6.94140625
1133,-3.90625
1134,-13.9844970703125
1135,-8.742218017578125
1136,-10.8125
1137,-9.617218017578125
1138,-10.5
1139,-13.80712890625
1140,-5.841796875
1141,-10.25
1142,-8.4375
1143,-7.7978515625
1144,-14.04248046875
1145,-7.171875
1146,-7.65673828125
1147,-12.8594970703125
1148,-8.34765625
1149,0.53125
1150,-16.0
1151,-12.06982421875
1152,-13.625
1153,-11.75
1154,-15.75
1155,-4.67578125
1156,-10.875
1157,-10.6484375
1158,-10.554718017578125
1159,-4.625
1160,-7.015625
1161,-9.742218017578125
1162,-5.7265625
1163,-8.679718017578125
1164,-11.054718017578125
1165,-7.03125
1166,-2.78515625
1167,-4.1719970703125
1168,-12.054718017578125
1169,-10.0469970703125
1170,-11.6875
1171,-15.242218017578125
1172,-9.30859375
1173,-2.5
1174,-7.7470703125
1175,-7.476806640625
1176,-11.2890625
1177,-10.3594970703125
1178,-9.804718017578125
1179,-5.11474609375
1180,-5.585968017578125
1181,-5.126953125
1182,-0.84375
1183,-8.492218017578125
1184,-9.867218017578125
1185,-5.3916015625
1186,-6.024169921875
1187,-8.304718017578125
1188,-12.75
1189,-15.25
1190,-14.242218017578125
1191,-11.25
1192,-13.5625
1193,-1.533203125
1194,-13.586669921875
1195,-5.570556640625
1196,-8.929718017578125
1197,-8.53515625
1198,-7.623046875
1199,-11.75
1200,-7.3125
1201,-11.554718017578125
1202,-16.25
1203,-11.9248046875
1204,-4.65625
1205,-7.939453125
1206,-9.169921875
1207,-12.25
1208,-11.679718017578125
1209,-10.8916015625
1210,-8.193359375
1211,-8.408203125
1212,-9.25
1213,-12.25
1214,-6.1650390625
1215,-0.85546875
1216,-3.35546875
1217,-13.5
1218,-7.875
1219,-9.90673828125
1220,-9.3154296875
1221,-12.8594970703125
1222,-13.929718017578125
1223,-4.12890625
1224,-9.7890625
1225,-12.929718017578125
1226,-5.5791015625
1227,-9.64599609375
1228,-17.5
1229,-8.554718017578125
1230,-10.890625
1231,-13.0
1232,-15.4375
1233,-11.1094970703125
1234,-9.125
1235,-12.689453125
1236,-15.1875
1237,-8.68798828125
