,log_likelihood
1490,-2.6875
1491,0.625
1492,0.453125
1493,-2.171875
1494,0.4375
1495,1.109375
1496,-0.796875
1497,-0.09375
1498,-0.984375
1499,-1.171875
1500,0.046875
1501,-0.796875
1502,-1.109375
1503,-2.1875
1504,-0.9375
1505,-0.359375
1506,-0.625
1507,-0.515625
1508,-0.328125
1509,-1.4375
1510,-2.703125
1511,-0.34375
1512,-0.8125
1513,-4.3203125
1514,-0.484375
1515,0.765625
1516,-3.84375
1517,0.375
1518,0.03125
1519,-0.046875
1520,-1.28125
1521,-3.296875
1522,0.03125
1523,0.78125
1524,-7.330078125
1525,-0.53125
1526,-1.3125
1527,-1.125
1528,-0.1875
1529,0.765625
1530,-0.84375
1531,0.1875
1532,-3.0625
1533,1.421875
1534,0.4375
1535,-1.3671875
1536,-0.609375
1537,-0.296875
1538,-0.03125
1539,-7.890625
1540,0.4375
1541,-1.0234375
1542,1.59375
1543,0.703125
1544,-0.84375
1545,-0.796875
1546,-6.7734375
1547,-0.640625
1548,-1.0625
1549,-1.84375
1550,0.03125
1551,-1.84375
1552,-0.46875
1553,-4.8125
1554,-0.0625
1555,-0.359375
1556,-1.03125
1557,-1.828125
1558,-0.390625
1559,-0.28125
1560,-0.078125
1561,-1.859375
1562,-1.3203125
1563,-1.0625
1564,-0.234375
1565,-0.609375
1566,1.421875
1567,-0.46875
1568,-0.859375
1569,-0.3125
1570,0.71875
1571,-0.40625
1572,-1.1640625
1573,-0.34375
1574,-3.078125
1575,-0.828125
1576,-1.3125
1577,-0.90625
1578,-1.109375
1579,0.125
1580,-3.6328125
1581,0.515625
1582,-0.234375
1583,-0.5
1584,-0.75
1585,-4.296875
1586,-0.21875
1587,-0.34375
1588,-1.828125
1589,-0.921875
1590,0.421875
1591,-2.546875
1592,-0.453125
1593,-1.578125
1594,0.578125
1595,-6.6796875
1596,0.15625
1597,-0.546875
1598,-1.140625
1599,0.53125
1600,0.3125
1601,-0.78125
1602,0.15625
1603,0.046875
1604,0.0625
1605,-1.9375
1606,-1.28125
1607,-3.3828125
1608,-1.171875
1609,-1.8515625
1610,1.234375
1611,-0.640625
1612,-0.6875
1613,-1.734375
1614,-0.359375
1615,-3.40625
