,log_likelihood
690,-2.5625
691,-1.296875
692,-2.484375
693,-3.05859375
694,-1.90625
695,-0.53125
696,-7.29248046875
697,-1.21875
698,-0.203125
699,-7.1982421875
700,0.046875
701,-1.5625
702,-1.71875
703,-0.125
704,-2.578125
705,-0.28125
706,-1.671875
707,-2.1171875
708,-0.21875
709,-0.359375
710,-0.875
711,-5.8291015625
712,-4.7578125
713,-8.649169921875
714,-6.0234375
715,-5.671875
716,-2.4375
717,-2.421875
718,-0.3046875
719,-6.19482421875
720,-5.203125
721,2.96484375
722,-3.9765625
723,-1.4375
724,-6.26123046875
725,-1.671875
726,-1.46875
727,-1.78125
728,-3.90625
729,-0.5
730,-9.90234375
731,-1.828125
732,0.25
733,0.09375
734,-6.9219970703125
735,0.96875
736,-5.49609375
737,-9.2666015625
738,-0.6875
739,-7.7657470703125
740,0.1484375
741,-3.6171875
742,-0.34375
743,-2.34375
744,-1.75
745,0.40625
746,-2.921875
747,-0.890625
748,0.0
749,-5.16748046875
750,-2.0859375
751,-0.25
752,-0.671875
753,-3.9296875
754,-5.37890625
755,-1.865234375
756,-1.453125
757,-1.5859375
758,-2.03125
759,-0.765625
760,0.984375
761,-4.546875
762,-5.140625
763,-2.9921875
764,2.34375
765,-1.25
766,-0.921875
767,0.265625
768,-6.47265625
769,0.96875
770,-0.65625
771,-0.625
772,-4.56640625
773,-2.4609375
774,-2.03125
775,-3.890625
776,-2.21875
777,-2.625
778,-1.4296875
779,-0.25
780,-11.5469970703125
781,-9.3544921875
782,-2.4375
783,-0.109375
784,2.09375
785,-1.75
786,-3.15625
787,-0.375
788,-0.6875
789,-0.328125
790,-1.3125
791,0.1875
792,-1.34375
793,0.5625
794,-1.609375
795,-3.2578125
796,-1.78125
797,-0.46875
798,-2.734375
799,-2.234375
800,-6.32373046875
801,-1.59375
802,-8.149169921875
803,-6.60498046875
804,-1.703125
805,-2.34375
806,-2.4375
807,-2.5234375
808,-1.421875
809,0.046875
810,-0.890625
811,-0.390625
812,-2.0
813,-7.72265625
814,-4.01123046875
815,-6.05859375
