,log_likelihood
816,-9.1719970703125
817,-7.19482421875
818,-3.34375
819,-8.3594970703125
820,-11.367218017578125
821,-11.1719970703125
822,-11.804718017578125
823,-7.8984375
824,-8.853515625
825,-10.40625
826,-8.61328125
827,-0.46875
828,-3.44921875
829,-8.791015625
830,-3.4765625
831,-5.4844970703125
832,-12.97998046875
833,-10.742218017578125
834,-6.47998046875
835,0.5390625
836,-9.857421875
837,-3.75
838,-5.3907470703125
839,-6.47265625
840,-10.679718017578125
841,-9.429718017578125
842,-10.242218017578125
843,-6.38671875
844,-9.1015625
845,-8.524169921875
846,-7.429718017578125
847,-3.296875
848,-7.164306640625
849,-10.912109375
850,-10.0
851,-4.21875
852,-6.335968017578125
853,-3.25048828125
854,-7.875
855,-5.117218017578125
856,-7.679718017578125
857,-11.476806640625
858,-8.9844970703125
859,-5.06640625
860,-12.375
861,-11.742218017578125
862,-7.78515625
863,-7.273468017578125
864,-10.7969970703125
865,-11.75
866,-11.054718017578125
867,-12.554718017578125
868,-13.5
869,1.404296875
870,-2.21875
871,-9.4219970703125
872,-11.054718017578125
873,-4.351806640625
874,-10.75
875,-8.2969970703125
876,-14.742218017578125
877,1.515625
878,-10.601806640625
879,-7.0782470703125
880,-13.0
881,-5.9619140625
882,-7.40625
883,-7.53125
884,-2.5625
885,1.6552734375
886,-2.84375
887,-13.79248046875
888,-9.6719970703125
889,-10.40625
890,-6.1094970703125
891,-12.375
892,-6.880859375
893,-8.0
894,-9.367218017578125
895,-4.7265625
896,-12.0625
897,-2.2265625
898,-10.00927734375
899,-4.1484375
900,-7.05712890625
901,-9.429718017578125
902,-3.79052734375
903,-8.679718017578125
904,-12.3623046875
905,0.78125
906,-4.6796875
907,-1.9921875
908,-1.125
909,-8.8594970703125
910,-6.335968017578125
911,-2.3173828125
912,-9.367218017578125
913,-8.8544921875
914,-8.34423828125
915,-7.898468017578125
916,-8.6875
917,-6.0469970703125
918,-1.921875
919,-2.4375
920,-1.5625
921,-11.054718017578125
922,-10.66748046875
923,-1.34375
924,-6.25
925,-10.289306640625
926,-10.399169921875
927,-9.35498046875
928,-4.9844970703125
929,-7.242218017578125
930,-4.78173828125
931,-5.1875
932,-4.88671875
933,-8.929718017578125
934,-8.867218017578125
935,-14.429718017578125
936,-6.8125
937,-4.88671875
938,-10.50732421875
939,-4.9296875
940,-7.533203125
941,-3.0234375
