,log_likelihood
252,-1.03125
253,-0.65625
254,-4.140625
255,-2.1875
256,1.84375
257,-2.40625
258,-4.84375
259,-0.21875
260,-0.703125
261,-9.109375
262,1.0
263,-1.296875
264,0.90625
265,-0.234375
266,-0.15625
267,-0.140625
268,-0.703125
269,-1.390625
270,-0.203125
271,-0.34375
272,-1.359375
273,1.34375
274,-3.078125
275,1.078125
276,-0.265625
277,-0.046875
278,1.25
279,-1.765625
280,-0.546875
281,-1.578125
282,0.234375
283,-1.0
284,-0.546875
285,0.9375
286,-3.4609375
287,1.859375
288,0.078125
289,0.78125
290,0.3125
291,0.59375
292,-5.046875
293,-0.953125
294,-2.5546875
295,-0.5
296,-2.3125
297,-0.09375
298,-0.109375
299,-1.015625
300,0.0
301,-0.25
302,-3.8359375
303,-2.734375
304,-7.0546875
305,0.3125
306,-1.3125
307,-0.125
308,-2.1796875
309,0.90625
310,0.421875
311,-3.994140625
312,-2.9375
313,-0.46875
314,-1.578125
315,0.046875
316,1.046875
317,-0.375
318,-0.765625
319,-2.40625
320,-1.0
321,0.359375
322,-0.921875
323,0.09375
324,-0.390625
325,1.328125
326,-0.453125
327,0.203125
328,-0.84375
329,-0.28125
330,-1.1875
331,1.1875
332,-2.8125
333,-0.40625
334,0.453125
335,0.0
336,1.375
337,0.390625
338,-0.140625
339,0.28125
340,0.203125
341,-0.96875
342,-0.859375
343,0.203125
344,-0.296875
345,-1.09375
346,-2.796875
347,-0.859375
348,-1.140625
349,-2.390625
350,0.515625
351,-0.40625
352,-0.4375
353,0.3125
354,-0.4375
355,-0.625
356,-0.90625
357,-0.5625
358,-0.5
359,0.078125
360,-0.390625
361,0.09375
362,0.46875
363,-1.7265625
364,-0.765625
365,-2.03125
366,1.03125
367,-1.75
368,-1.3828125
369,0.125
370,-2.859375
371,-1.234375
372,0.234375
373,-0.5625
374,-3.21875
375,0.625
376,-0.046875
377,-1.3125
