,log_likelihood
0,-0.40625
1,0.390625
2,0.71875
3,-0.15625
4,-0.09375
5,0.0625
6,-0.640625
7,-0.71875
8,-0.765625
9,-0.171875
10,0.15625
11,-0.03125
12,-1.140625
13,0.15625
14,-0.68359375
15,0.0625
16,-0.03125
17,0.46875
18,-0.953125
19,-0.234375
20,-0.765625
21,-1.3125
22,-0.3828125
23,-1.59375
24,-0.171875
25,-0.140625
26,-0.734375
27,0.515625
28,-0.296875
29,-0.078125
30,-1.9609375
31,-0.1796875
32,-0.03125
33,0.578125
34,-0.03125
35,-0.6875
36,0.140625
37,-1.078125
38,0.5
39,-0.8125
40,0.53125
41,-0.421875
42,-0.703125
43,-0.9375
44,-0.6875
45,0.703125
46,0.296875
47,-1.15625
48,-0.375
49,0.140625
50,-0.03125
51,-0.546875
52,-0.203125
53,-1.03125
54,-0.359375
55,-0.109375
56,0.6875
57,-0.296875
58,-2.5703125
59,0.078125
60,-1.453125
61,-0.984375
62,-0.28125
63,-0.453125
64,0.03125
65,-0.09375
66,0.921875
67,-0.328125
68,0.90625
69,-0.5625
70,0.546875
71,0.109375
72,-0.5546875
73,0.078125
74,-1.78515625
75,0.625
76,-0.5625
77,-0.296875
78,0.5625
79,-0.265625
80,-2.40625
81,-2.1015625
82,-0.703125
83,-0.40625
84,0.203125
85,-0.921875
86,-6.74609375
87,-0.203125
88,1.34375
89,-0.640625
90,0.375
91,0.09375
92,1.5390625
93,0.125
94,-0.890625
95,0.25
96,-0.578125
97,0.328125
98,-0.546875
99,-1.87109375
100,0.234375
101,-0.625
102,-1.578125
103,-3.609375
104,-1.53125
105,0.21875
106,-0.203125
107,-0.171875
108,-0.625
109,-0.78125
110,-0.640625
111,-0.015625
112,0.734375
113,0.53125
114,0.515625
115,-1.015625
116,-3.28125
117,-0.09375
118,-0.484375
119,-1.4921875
120,-2.5625
121,-1.875
122,-2.078125
123,-3.5546875
124,-0.328125
125,-1.03125
