,log_likelihood
986,0.203125
987,0.578125
988,-0.21875
989,-1.21875
990,-0.15625
991,-0.4375
992,0.390625
993,-0.8125
994,-4.2578125
995,0.046875
996,-0.359375
997,1.0
998,0.46875
999,-1.8671875
1000,-6.21875
1001,0.953125
1002,-0.4375
1003,-1.8359375
1004,0.375
1005,-0.875
1006,-0.375
1007,0.125
1008,-0.953125
1009,0.890625
1010,-0.5
1011,-3.6875
1012,-1.59375
1013,-1.265625
1014,-0.609375
1015,-0.4375
1016,-0.4375
1017,-0.59375
1018,-0.109375
1019,-0.234375
1020,-0.375
1021,-0.09375
1022,-3.1875
1023,-2.890625
1024,-0.078125
1025,-2.1484375
1026,1.125
1027,0.0
1028,0.015625
1029,-1.640625
1030,-2.3125
1031,-1.046875
1032,-1.265625
1033,-1.609375
1034,-5.97265625
1035,-1.375
1036,0.3125
1037,-0.484375
1038,0.109375
1039,-0.359375
1040,0.609375
1041,-0.421875
1042,-0.90625
1043,-2.5859375
1044,-0.21875
1045,-1.484375
1046,0.140625
1047,-1.046875
1048,-1.078125
1049,-0.09375
1050,-5.00390625
1051,0.140625
1052,0.359375
1053,0.203125
1054,-3.375
1055,0.65625
1056,-1.578125
1057,-1.015625
1058,-0.203125
1059,0.1875
1060,0.0625
1061,-7.19140625
1062,-0.875
1063,-0.65625
1064,1.1875
1065,-1.796875
1066,-0.140625
1067,-0.15625
1068,-0.75
1069,-0.671875
1070,-0.1875
1071,-0.609375
1072,-6.546875
1073,-2.65625
1074,0.921875
1075,-0.875
1076,-1.09375
1077,-0.9765625
1078,-0.234375
1079,-1.8125
1080,-1.640625
1081,-0.546875
1082,-0.203125
1083,-0.4375
1084,-9.529296875
1085,-0.25
1086,-0.015625
1087,-0.296875
1088,0.609375
1089,1.125
1090,1.8515625
1091,0.40625
1092,-2.21875
1093,0.34375
1094,0.078125
1095,-1.375
1096,-2.140625
1097,-0.3125
1098,0.21875
1099,-0.515625
1100,-0.421875
1101,-0.53125
1102,1.421875
1103,0.484375
1104,0.3125
1105,-0.1875
1106,-0.46875
1107,-0.25
1108,-4.609375
1109,0.375
1110,0.96875
1111,0.03125
