,log_likelihood
504,1.796875
505,0.671875
506,-1.078125
507,-0.640625
508,0.1875
509,-3.546875
510,-1.875
511,-0.90625
512,-0.890625
513,0.296875
514,0.046875
515,1.171875
516,-1.34375
517,-0.171875
518,-0.328125
519,-1.125
520,-0.5
521,-0.578125
522,0.578125
523,-0.25
524,-0.34375
525,0.015625
526,-0.453125
527,1.46875
528,-3.078125
529,-0.1875
530,0.15625
531,-0.46875
532,-0.265625
533,-0.234375
534,0.59375
535,-2.09375
536,0.453125
537,-0.25
538,-2.09375
539,-0.46875
540,-0.8125
541,-0.890625
542,0.59375
543,-0.03125
544,0.40625
545,1.96875
546,-0.46875
547,0.53125
548,0.421875
549,0.75
550,-0.109375
551,0.6875
552,1.03125
553,-0.28125
554,-0.078125
555,-1.625
556,-1.875
557,-1.65625
558,-0.296875
559,2.03125
560,0.03125
561,-0.59375
562,0.0
563,-1.046875
