,log_likelihood
378,0.203125
379,-0.015625
380,0.078125
381,-0.546875
382,-1.1875
383,-0.484375
384,-0.140625
385,-0.125
386,0.53125
387,0.28125
388,-0.78125
389,0.328125
390,-0.125
391,0.78125
392,0.25
393,-0.296875
394,-0.359375
395,-1.171875
396,-0.125
397,0.28125
398,0.4375
399,-1.40625
400,0.609375
401,0.921875
402,-0.734375
403,0.015625
404,-1.0
405,0.09375
406,-1.265625
407,-0.34375
408,0.6875
409,0.7265625
410,0.765625
411,0.203125
412,0.75
413,0.015625
414,-0.953125
415,0.453125
416,-0.015625
417,-0.15625
418,-0.34375
419,0.421875
420,-0.4375
421,-1.15625
422,-0.703125
423,-0.234375
424,0.125
425,-0.328125
426,-0.5625
427,-1.09375
428,-0.703125
429,-0.125
430,0.65625
431,-0.78125
432,-1.4375
433,-0.453125
434,-0.625
435,-0.640625
436,0.109375
437,0.15625
438,-0.53125
439,-0.40625
440,0.15625
441,-1.078125
442,1.28125
443,0.390625
444,-0.34375
445,0.953125
446,0.171875
447,-0.5625
448,-0.375
449,-1.015625
450,0.953125
451,0.96875
452,-0.765625
453,0.015625
454,-0.515625
455,-0.03125
456,-0.78125
457,-0.078125
458,-0.84375
459,-0.21875
460,-1.71875
461,0.359375
462,-1.15625
463,-0.953125
464,-1.1875
465,-0.3125
466,0.34375
467,-0.8125
468,0.3125
469,-1.453125
470,-0.75
471,0.515625
472,0.40625
473,-0.390625
474,0.5
475,-0.90625
476,1.09375
477,-1.9375
478,-1.125
479,-0.1875
480,-0.140625
481,-0.28125
482,-1.609375
483,-0.1875
484,0.296875
485,0.625
486,0.1875
487,-1.609375
488,-0.453125
489,-0.515625
490,-0.234375
491,-0.25
492,0.046875
493,1.109375
494,1.421875
495,0.5625
496,-1.546875
497,0.21875
498,2.09375
499,-1.015625
500,-1.328125
501,-0.3125
502,1.265625
503,0.28125
