,log_likelihood
1490,-3.0
1491,0.1875
1492,0.375
1493,-1.1484375
1494,0.390625
1495,0.1875
1496,-0.109375
1497,-0.28125
1498,-1.375
1499,-0.359375
1500,0.1875
1501,-0.671875
1502,-1.078125
1503,-1.53125
1504,-0.421875
1505,-0.09375
1506,-0.796875
1507,-0.453125
1508,-0.453125
1509,-2.1171875
1510,-2.234375
1511,-0.453125
1512,-0.125
1513,-3.5546875
1514,-0.890625
1515,0.515625
1516,-1.53125
1517,-0.1875
1518,-0.453125
1519,-0.4375
1520,-1.015625
1521,-2.8125
1522,0.125
1523,0.90625
1524,-5.75927734375
1525,-0.625
1526,-0.6875
1527,-1.28125
1528,-0.09375
1529,0.828125
1530,-0.984375
1531,-0.109375
1532,-2.5
1533,1.21875
1534,0.640625
1535,-0.78125
1536,-0.8125
1537,-0.71875
1538,-0.078125
1539,-6.21875
1540,0.703125
1541,-0.578125
1542,0.609375
1543,0.40625
1544,-0.515625
1545,-1.71875
1546,-4.234375
1547,-0.09375
1548,-0.765625
1549,-1.578125
1550,-0.53125
1551,-1.4375
1552,-0.03125
1553,-3.8359375
1554,-0.234375
1555,-0.140625
1556,-1.03125
1557,-1.65625
1558,-0.671875
1559,-0.015625
1560,-0.28125
1561,-1.734375
1562,-0.8984375
1563,-0.6328125
1564,-0.3125
1565,-0.265625
1566,0.265625
1567,-0.21875
1568,-1.140625
1569,-0.609375
1570,0.90625
1571,-0.78125
1572,-1.84375
1573,0.03125
1574,-2.1875
1575,-1.328125
1576,-1.28125
1577,-3.65625
1578,-1.1875
1579,0.453125
1580,-3.4453125
1581,0.4375
1582,-0.015625
1583,-0.5
1584,-0.71875
1585,-2.8828125
1586,0.03125
1587,0.09375
1588,-1.5390625
1589,-0.84375
1590,0.5
1591,-0.9453125
1592,-0.703125
1593,-0.734375
1594,0.359375
1595,-5.65625
1596,-0.453125
1597,-0.3125
1598,-1.1484375
1599,0.859375
1600,0.796875
1601,-0.765625
1602,-0.125
1603,-0.078125
1604,0.1875
1605,-1.0
1606,0.09375
1607,-1.640625
1608,-1.21875
1609,-1.609375
1610,1.453125
1611,-0.625
1612,0.921875
1613,-1.59375
1614,-0.453125
1615,-2.34375
