,log_likelihood
690,-2.421875
691,-0.5
692,-2.015625
693,-1.265625
694,-1.6875
695,-0.6875
696,-0.28125
697,-1.265625
698,0.09375
699,-2.2265625
700,-0.03125
701,-1.71875
702,-0.796875
703,-0.40625
704,-2.640625
705,-0.25
706,-1.046875
707,-2.234375
708,-0.078125
709,-0.828125
710,-0.609375
711,-1.0234375
712,-2.171875
713,-1.984375
714,-2.328125
715,-1.78125
716,-0.9375
717,-1.0546875
718,-0.3046875
719,-2.81640625
720,-1.15625
721,-0.140625
722,1.328125
723,-1.0625
724,-1.59375
725,-1.625
726,-1.15625
727,-2.3125
728,-0.953125
729,-0.359375
730,-1.15625
731,-1.140625
732,0.359375
733,-0.28125
734,0.0625
735,0.34375
736,-2.921875
737,-3.4453125
738,-0.09375
739,0.328125
740,0.65625
741,-3.8359375
742,-0.5
743,-1.875
744,-1.5625
745,0.015625
746,-1.09375
747,-0.75
748,0.359375
749,0.96875
750,-0.703125
751,-0.1875
752,-2.2578125
753,-1.71875
754,-1.28125
755,-0.09375
756,-1.203125
757,-1.5
758,-2.140625
759,-1.296875
760,1.28125
761,-3.234375
762,-1.140625
763,-2.09375
764,2.375
765,-1.9609375
766,-1.234375
767,0.421875
768,-3.359375
769,1.390625
770,-1.25
771,-0.5
772,-1.453125
773,-0.890625
774,-1.390625
775,-1.71875
776,0.171875
777,-1.078125
778,-0.359375
779,-0.125
780,-3.703125
781,-2.1171875
782,2.72265625
783,0.0625
784,1.546875
785,-1.75
786,-3.0
787,0.359375
788,-0.21875
789,-0.28125
790,-0.96875
791,-0.5625
792,-1.359375
793,0.125
794,-1.59375
795,-1.25
796,-1.890625
797,0.09375
798,-1.5625
799,-2.53125
800,0.203125
801,-0.546875
802,-3.421875
803,1.0625
804,-1.9765625
805,-2.0
806,-1.515625
807,-0.25
808,-1.5
809,-0.328125
810,-1.140625
811,-0.125
812,-1.6875
813,-3.58984375
814,-0.796875
815,-3.265625
