,log_likelihood
564,-6.4873046875
565,-10.242218017578125
566,-1.6875
567,-11.617218017578125
568,-11.242218017578125
569,-9.242218017578125
570,-9.75
571,2.234375
572,-9.4844970703125
573,-9.9219970703125
574,-10.804718017578125
575,-5.84423828125
576,-8.71923828125
577,-1.46875
578,-5.60302734375
579,-10.679718017578125
580,-10.539306640625
581,-7.695556640625
582,-5.37548828125
583,-1.1875
584,-11.9873046875
585,-2.8125
586,-6.648468017578125
587,-7.953125
588,-7.898468017578125
589,-10.367218017578125
590,-8.867218017578125
591,-10.164306640625
592,-6.4296875
593,-8.7344970703125
594,-10.304718017578125
595,-0.25
596,-10.226806640625
597,-6.296875
598,-12.0625
599,-12.367218017578125
600,-10.929718017578125
601,-0.390625
602,-8.75927734375
603,0.671875
604,-4.328125
605,-8.4873046875
606,-10.367218017578125
607,0.8359375
608,-8.439453125
609,-9.554718017578125
610,-4.4375
611,-7.939453125
612,-4.805419921875
613,-9.367218017578125
614,-5.4248046875
615,-11.054718017578125
616,-9.289306640625
617,-5.1748046875
618,-5.828125
619,-3.19677734375
620,-10.429718017578125
621,-0.9375
622,-2.15625
623,-3.25927734375
624,-12.617218017578125
625,-4.890625
626,-0.34375
627,-7.34423828125
628,-10.476806640625
629,-4.5859375
630,-11.492218017578125
631,0.140625
632,-8.117218017578125
633,-3.28125
634,-6.11962890625
635,-4.03125
636,-8.359375
637,-6.5537109375
638,-11.242218017578125
639,-2.53125
640,-11.179718017578125
641,-11.179718017578125
642,-9.7890625
643,-10.867218017578125
644,-4.734375
645,-9.992218017578125
646,-8.376953125
647,-3.03125
648,-0.46875
649,-2.53125
650,-7.9219970703125
651,-5.798828125
652,-11.492218017578125
653,-5.3935546875
654,-8.875
655,-11.554718017578125
656,-5.26171875
657,-1.078125
658,-8.617218017578125
659,-4.5703125
660,-10.875
661,-8.064453125
662,-3.4404296875
663,0.765625
664,-13.679718017578125
665,-7.742218017578125
666,-9.617218017578125
667,-7.0
668,-4.078125
669,-9.5625
670,-8.976806640625
671,-5.341796875
672,-2.53125
673,-6.09375
674,-6.398468017578125
675,-2.4375
676,-10.15673828125
677,-5.617218017578125
678,-1.890625
679,-6.3282470703125
680,-10.351806640625
681,-9.8623046875
682,-7.148468017578125
683,-10.054718017578125
684,-8.78173828125
685,-11.0625
686,-10.992218017578125
687,-8.69677734375
688,-10.086669921875
689,0.0625
