,log_likelihood
252,-2241.9384765625
253,-2237.199462890625
254,-2242.683837890625
255,-2240.98046875
256,-2236.420654296875
257,-2238.64404296875
258,-2241.535888671875
259,-2238.87744140625
260,-2238.6943359375
261,-2240.30615234375
262,-2237.939453125
263,-2239.36083984375
264,-2238.280517578125
265,-2237.4453125
266,-2237.5751953125
267,-2241.45751953125
268,-2239.47412109375
269,-2238.885986328125
270,-2236.943359375
271,-2237.0771484375
272,-2237.75439453125
273,-2238.037841796875
274,-2242.509521484375
275,-2238.763671875
276,-2236.455810546875
277,-2237.267333984375
278,-2239.680419921875
279,-2239.228515625
280,-2238.529541015625
281,-2241.376953125
282,-2239.638916015625
283,-2239.378662109375
284,-2235.745361328125
285,-2239.818115234375
286,-2238.780517578125
287,-2233.1015625
288,-2239.3359375
289,-2238.482421875
290,-2235.9306640625
291,-2239.0029296875
292,-2242.43701171875
293,-2237.80078125
294,-2238.991943359375
295,-2239.421630859375
296,-2239.2255859375
297,-2238.69873046875
298,-2237.44140625
299,-2237.29296875
300,-2239.1962890625
301,-2239.18994140625
302,-2241.478759765625
303,-2240.41015625
304,-2238.8876953125
305,-2237.6181640625
306,-2237.308349609375
307,-2238.33935546875
308,-2237.76220703125
309,-2236.040283203125
310,-2241.325927734375
311,-2240.42822265625
312,-2237.51513671875
313,-2238.6435546875
314,-2239.810302734375
315,-2235.81689453125
316,-2239.4072265625
317,-2238.66259765625
318,-2239.928955078125
319,-2240.697021484375
320,-2239.02685546875
321,-2236.176513671875
322,-2237.06982421875
323,-2233.7412109375
324,-2239.3017578125
325,-2237.32861328125
326,-2238.19287109375
327,-2237.53369140625
328,-2238.87353515625
329,-2237.265380859375
330,-2237.87353515625
331,-2238.82470703125
332,-2244.32568359375
333,-2236.145751953125
334,-2238.937255859375
335,-2238.64111328125
336,-2237.69677734375
337,-2237.99267578125
338,-2237.564697265625
339,-2237.0517578125
340,-2237.861572265625
341,-2239.089111328125
342,-2237.7216796875
343,-2239.611083984375
344,-2237.482666015625
345,-2238.095703125
346,-2241.38671875
347,-2237.465576171875
348,-2238.18603515625
349,-2239.273193359375
350,-2236.3544921875
351,-2237.4814453125
352,-2237.34521484375
353,-2235.51513671875
354,-2238.9931640625
355,-2238.021484375
356,-2240.8232421875
357,-2238.341796875
358,-2237.483642578125
359,-2238.232421875
360,-2241.525390625
361,-2235.322265625
362,-2236.7109375
363,-2237.242431640625
364,-2237.234375
365,-2237.827392578125
366,-2236.489013671875
367,-2240.078125
368,-2237.529541015625
369,-2238.47998046875
370,-2241.904541015625
371,-2239.353271484375
372,-2233.14794921875
373,-2240.0517578125
374,-2239.09619140625
375,-2236.935546875
376,-2239.589599609375
377,-2238.316162109375
