,log_likelihood
986,-2227.91064453125
987,-2226.872802734375
988,-2226.44091796875
989,-2225.3310546875
990,-2225.46533203125
991,-2227.2734375
992,-2227.185546875
993,-2225.714111328125
994,-2227.2412109375
995,-2225.3837890625
996,-2226.4267578125
997,-2223.93017578125
998,-2225.21875
999,-2227.02783203125
1000,-2232.17333984375
1001,-2227.056396484375
1002,-2226.399658203125
1003,-2225.84716796875
1004,-2223.16650390625
1005,-2227.2001953125
1006,-2226.96630859375
1007,-2225.265625
1008,-2226.95703125
1009,-2224.33544921875
1010,-2226.573486328125
1011,-2225.40185546875
1012,-2229.153076171875
1013,-2226.8349609375
1014,-2228.216796875
1015,-2226.133544921875
1016,-2225.088134765625
1017,-2227.87646484375
1018,-2230.61669921875
1019,-2226.052734375
1020,-2226.57666015625
1021,-2225.97314453125
1022,-2224.872314453125
1023,-2227.29296875
1024,-2224.619140625
1025,-2226.6748046875
1026,-2228.10546875
1027,-2226.3017578125
1028,-2227.585693359375
1029,-2226.6669921875
1030,-2228.6181640625
1031,-2226.2978515625
1032,-2226.76318359375
1033,-2226.3916015625
1034,-2233.9716796875
1035,-2226.12451171875
1036,-2227.021728515625
1037,-2225.55908203125
1038,-2227.3525390625
1039,-2224.586669921875
1040,-2222.4033203125
1041,-2230.5859375
1042,-2225.79150390625
1043,-2225.70556640625
1044,-2225.359130859375
1045,-2226.2578125
1046,-2226.3310546875
1047,-2225.543212890625
1048,-2227.7509765625
1049,-2225.97314453125
1050,-2230.607421875
1051,-2230.53173828125
1052,-2226.188232421875
1053,-2226.3583984375
1054,-2225.662109375
1055,-2226.14208984375
1056,-2227.23193359375
1057,-2229.651123046875
1058,-2228.109130859375
1059,-2228.41064453125
1060,-2226.15966796875
1061,-2230.704833984375
1062,-2224.17333984375
1063,-2226.930419921875
1064,-2228.77587890625
1065,-2227.41845703125
1066,-2228.476318359375
1067,-2225.39306640625
1068,-2226.6806640625
1069,-2227.3330078125
1070,-2230.7109375
1071,-2227.057861328125
1072,-2231.150146484375
1073,-2227.346923828125
1074,-2226.1083984375
1075,-2227.591796875
1076,-2228.43896484375
1077,-2228.2158203125
1078,-2224.418701171875
1079,-2225.66455078125
1080,-2227.2021484375
1081,-2227.517822265625
1082,-2224.829345703125
1083,-2228.11572265625
1084,-2227.367431640625
1085,-2226.669921875
1086,-2226.71044921875
1087,-2224.95263671875
1088,-2226.11376953125
1089,-2223.3623046875
1090,-2224.24609375
1091,-2227.127197265625
1092,-2227.28955078125
1093,-2227.47998046875
1094,-2226.415771484375
1095,-2227.57861328125
1096,-2227.63232421875
1097,-2225.339111328125
1098,-2227.140869140625
1099,-2226.001708984375
1100,-2226.6875
1101,-2225.7763671875
1102,-2225.625
1103,-2225.87158203125
1104,-2226.1923828125
1105,-2224.865234375
1106,-2225.51171875
1107,-2226.60302734375
1108,-2227.260009765625
1109,-2226.18359375
1110,-2228.19970703125
1111,-2226.802001953125
