,log_likelihood
1490,-1079.03173828125
1491,-1065.364013671875
1492,-1058.9454345703125
1493,-1045.462890625
1494,-1059.8160400390625
1495,-1057.7869873046875
1496,-1058.46533203125
1497,-1055.2020263671875
1498,-1055.4591064453125
1499,-1045.026123046875
1500,-1051.2086181640625
1501,-1053.8826904296875
1502,-1055.085205078125
1503,-1056.4381103515625
1504,-1058.525146484375
1505,-1068.3426513671875
1506,-1059.5255126953125
1507,-1060.87353515625
1508,-1054.35107421875
1509,-1062.93115234375
1510,-1052.4884033203125
1511,-1047.5709228515625
1512,-1060.440185546875
1513,-1068.04052734375
1514,-1059.4886474609375
1515,-1065.7354736328125
1516,-1070.837646484375
1517,-1054.7916259765625
1518,-1044.878173828125
1519,-1066.9276123046875
1520,-1056.514404296875
1521,-1053.558837890625
1522,-1052.54736328125
1523,-1046.8271484375
1524,-1126.165283203125
1525,-1052.12109375
1526,-1061.693603515625
1527,-1061.998779296875
1528,-1057.563232421875
1529,-1059.634765625
1530,-1071.5419921875
1531,-1053.724609375
1532,-1059.63525390625
1533,-1059.05224609375
1534,-1047.483154296875
1535,-1067.94775390625
1536,-1059.5283203125
1537,-1053.522216796875
1538,-1049.1385498046875
1539,-1065.4150390625
1540,-1052.484375
1541,-1053.52392578125
1542,-1057.9798583984375
1543,-1060.46923828125
1544,-1052.0634765625
1545,-1050.9716796875
1546,-1067.8245849609375
1547,-1056.0625
1548,-1057.453857421875
1549,-1064.83740234375
1550,-1057.3848876953125
1551,-1050.814697265625
1552,-1050.1104736328125
1553,-1088.650390625
1554,-1048.553466796875
1555,-1052.35400390625
1556,-1072.3458251953125
1557,-1061.811279296875
1558,-1051.42041015625
1559,-1052.7469482421875
1560,-1052.2574462890625
1561,-1051.8035888671875
1562,-1063.950927734375
1563,-1057.979248046875
1564,-1053.0726318359375
1565,-1063.451171875
1566,-1053.913818359375
1567,-1056.005859375
1568,-1059.4390869140625
1569,-1052.876953125
1570,-1071.04541015625
1571,-1051.3360595703125
1572,-1059.525146484375
1573,-1054.048828125
1574,-1058.436279296875
1575,-1053.9195556640625
1576,-1054.9105224609375
1577,-1048.537109375
1578,-1068.189208984375
1579,-1053.165283203125
1580,-1074.48828125
1581,-1076.454345703125
1582,-1049.300537109375
1583,-1051.386474609375
1584,-1055.815185546875
1585,-1060.2464599609375
1586,-1088.756103515625
1587,-1073.85986328125
1588,-1051.8541259765625
1589,-1049.7415771484375
1590,-1052.33251953125
1591,-1068.140869140625
1592,-1053.3836669921875
1593,-1057.2777099609375
1594,-1051.878173828125
1595,-1127.1962890625
1596,-1056.9970703125
1597,-1054.5938720703125
1598,-1057.4052734375
1599,-1084.5140380859375
1600,-1058.16943359375
1601,-1055.4853515625
1602,-1051.8883056640625
1603,-1066.9925537109375
1604,-1055.0023193359375
1605,-1064.11572265625
1606,-1056.565185546875
1607,-1061.4697265625
1608,-1048.9761962890625
1609,-1052.9927978515625
1610,-1053.4322509765625
1611,-1052.2769775390625
1612,-1059.1405029296875
1613,-1062.512451171875
1614,-1072.4970703125
1615,-1039.5050048828125
