,log_likelihood
1238,-2988.478515625
1239,-2988.842529296875
1240,-2987.650146484375
1241,-2986.71435546875
1242,-2988.63525390625
1243,-2988.56884765625
1244,-2988.54833984375
1245,-2985.430908203125
1246,-2987.7080078125
1247,-2986.678955078125
1248,-2990.47021484375
1249,-2985.8154296875
1250,-2988.59765625
1251,-2988.078857421875
1252,-2991.38037109375
1253,-2985.01416015625
1254,-2987.121337890625
1255,-2987.30859375
1256,-2986.63330078125
1257,-2985.468994140625
1258,-2987.2001953125
1259,-2990.097412109375
1260,-2984.90869140625
1261,-2989.755859375
1262,-2986.63525390625
1263,-2987.01806640625
1264,-2986.23486328125
1265,-2987.0166015625
1266,-2987.1904296875
1267,-2989.44970703125
1268,-2986.75390625
1269,-2985.6669921875
1270,-2986.526123046875
1271,-2986.93701171875
1272,-2987.63525390625
1273,-2987.153564453125
1274,-2987.38427734375
1275,-2988.25537109375
1276,-2986.01708984375
1277,-2987.232177734375
1278,-2987.44580078125
1279,-2987.388427734375
1280,-2986.60498046875
1281,-2988.365478515625
1282,-2991.37353515625
1283,-2988.534423828125
1284,-2989.068359375
1285,-2987.7138671875
1286,-2987.38525390625
1287,-2987.14599609375
1288,-2986.157958984375
1289,-2986.357666015625
1290,-2987.278564453125
1291,-2986.2109375
1292,-2988.081787109375
1293,-2987.78369140625
1294,-2987.255859375
1295,-2985.6171875
1296,-2987.77001953125
1297,-2988.20654296875
1298,-2984.253173828125
1299,-2987.251953125
1300,-2985.17578125
1301,-2986.4248046875
1302,-2986.626708984375
1303,-2987.2978515625
1304,-2984.371337890625
1305,-2987.885009765625
1306,-2987.407958984375
1307,-2987.29296875
1308,-2986.134521484375
1309,-2987.31787109375
1310,-2988.608154296875
1311,-2984.85791015625
1312,-2989.352294921875
1313,-2987.63427734375
1314,-2987.3349609375
1315,-2986.0390625
1316,-2988.25927734375
1317,-2987.1806640625
1318,-2988.3876953125
1319,-2987.393310546875
1320,-2987.1298828125
1321,-2987.110107421875
1322,-2987.88818359375
1323,-2987.378662109375
1324,-2988.388671875
1325,-2987.05078125
1326,-2989.142578125
1327,-2987.7939453125
1328,-2987.16552734375
1329,-2987.969970703125
1330,-2990.51904296875
1331,-2989.67236328125
1332,-2987.706298828125
1333,-2988.6328125
1334,-2985.837158203125
1335,-2986.84326171875
1336,-2986.93505859375
1337,-2986.0517578125
1338,-2987.5458984375
1339,-2988.365234375
1340,-2986.99462890625
1341,-2986.454345703125
1342,-2985.163330078125
1343,-2987.61376953125
1344,-2987.9794921875
1345,-2987.732421875
1346,-2986.711669921875
1347,-2986.853515625
1348,-2987.14111328125
1349,-2985.69287109375
1350,-2988.27197265625
1351,-2986.242431640625
1352,-2985.815185546875
1353,-2986.513671875
1354,-2988.4873046875
1355,-2989.4072265625
1356,-2986.22412109375
1357,-2985.56982421875
1358,-2987.483154296875
1359,-2987.24658203125
1360,-2989.194091796875
1361,-2988.77392578125
1362,-2986.80712890625
1363,-2986.865478515625
