,log_likelihood
378,-2806.94482421875
379,-2806.63818359375
380,-2806.3876953125
381,-2805.970703125
382,-2806.432373046875
383,-2808.27734375
384,-2807.4013671875
385,-2806.93115234375
386,-2806.6748046875
387,-2805.3564453125
388,-2806.2431640625
389,-2807.12109375
390,-2806.02197265625
391,-2806.6279296875
392,-2805.98095703125
393,-2807.51953125
394,-2806.0126953125
395,-2803.4755859375
396,-2805.8251953125
397,-2806.67626953125
398,-2807.10205078125
399,-2807.212158203125
400,-2808.424072265625
401,-2808.33447265625
402,-2806.48974609375
403,-2805.898193359375
404,-2806.7265625
405,-2807.5498046875
406,-2805.7265625
407,-2806.45263671875
408,-2806.29296875
409,-2806.975830078125
410,-2807.87939453125
411,-2806.913330078125
412,-2804.49609375
413,-2805.764892578125
414,-2806.056640625
415,-2804.5
416,-2806.49169921875
417,-2807.0458984375
418,-2806.05126953125
419,-2806.33251953125
420,-2805.53515625
421,-2804.689697265625
422,-2805.95849609375
423,-2806.158447265625
424,-2805.99169921875
425,-2807.9736328125
426,-2809.517333984375
427,-2807.162109375
428,-2808.56494140625
429,-2807.55859375
430,-2805.0439453125
431,-2808.15625
432,-2805.25341796875
433,-2805.61767578125
434,-2806.898681640625
435,-2809.444580078125
436,-2805.21435546875
437,-2806.660888671875
438,-2806.21142578125
439,-2806.5224609375
440,-2807.5791015625
441,-2806.0712890625
442,-2804.36865234375
443,-2806.3798828125
444,-2806.548828125
445,-2807.1650390625
446,-2805.847900390625
447,-2805.2412109375
448,-2806.9033203125
449,-2808.24951171875
450,-2806.024658203125
451,-2804.53466796875
452,-2806.12109375
453,-2807.203125
454,-2806.12890625
455,-2804.8505859375
456,-2806.39013671875
457,-2805.509033203125
458,-2806.231201171875
459,-2809.243408203125
460,-2806.7490234375
461,-2806.857421875
462,-2805.5810546875
463,-2806.5888671875
464,-2806.046630859375
465,-2805.548828125
466,-2806.43017578125
467,-2808.088623046875
468,-2805.138671875
469,-2806.14013671875
470,-2807.35009765625
471,-2806.60546875
472,-2806.318115234375
473,-2807.2265625
474,-2807.15234375
475,-2808.173095703125
476,-2806.67724609375
477,-2806.45458984375
478,-2805.6572265625
479,-2805.4921875
480,-2805.395263671875
481,-2807.58837890625
482,-2808.1796875
483,-2808.649169921875
484,-2806.576171875
485,-2805.90283203125
486,-2806.556884765625
487,-2808.38232421875
488,-2805.800537109375
489,-2804.041015625
490,-2805.1787109375
491,-2807.0361328125
492,-2808.05126953125
493,-2806.65771484375
494,-2804.238525390625
495,-2805.754638671875
496,-2807.056640625
497,-2807.3271484375
498,-2805.6591796875
499,-2806.44091796875
500,-2806.313232421875
501,-2805.4619140625
502,-2805.185791015625
503,-2807.495849609375
