,log_likelihood
1112,-3208.76318359375
1113,-3208.596435546875
1114,-3204.45068359375
1115,-3203.95947265625
1116,-3209.4619140625
1117,-3207.423095703125
1118,-3208.02734375
1119,-3207.056640625
1120,-3207.1640625
1121,-3204.14208984375
1122,-3207.7578125
1123,-3207.6640625
1124,-3206.0390625
1125,-3206.7060546875
1126,-3206.743408203125
1127,-3207.007568359375
1128,-3207.657470703125
1129,-3215.68310546875
1130,-3208.65625
1131,-3207.943603515625
1132,-3208.951171875
1133,-3207.7099609375
1134,-3207.139892578125
1135,-3206.99609375
1136,-3202.0830078125
1137,-3207.5107421875
1138,-3209.92626953125
1139,-3210.5283203125
1140,-3204.798828125
1141,-3205.914794921875
1142,-3206.992431640625
1143,-3203.767578125
1144,-3212.77880859375
1145,-3208.608642578125
1146,-3206.619873046875
1147,-3208.11376953125
1148,-3208.273681640625
1149,-3205.3818359375
1150,-3207.8505859375
1151,-3205.96240234375
1152,-3210.3671875
1153,-3206.015625
1154,-3212.390625
1155,-3212.9609375
1156,-3210.94189453125
1157,-3204.156982421875
1158,-3207.59228515625
1159,-3206.5166015625
1160,-3206.7724609375
1161,-3205.96728515625
1162,-3209.888671875
1163,-3206.203125
1164,-3210.028564453125
1165,-3207.667236328125
1166,-3206.079833984375
1167,-3208.488525390625
1168,-3206.01171875
1169,-3205.39794921875
1170,-3208.45849609375
1171,-3204.967041015625
1172,-3206.057861328125
1173,-3205.214599609375
1174,-3210.0341796875
1175,-3204.255859375
1176,-3205.90380859375
1177,-3207.41162109375
1178,-3208.411865234375
1179,-3205.9248046875
1180,-3206.9140625
1181,-3206.95556640625
1182,-3208.580322265625
1183,-3205.26611328125
1184,-3207.509521484375
1185,-3206.21875
1186,-3204.5849609375
1187,-3204.978759765625
1188,-3208.13916015625
1189,-3203.29150390625
1190,-3208.021728515625
1191,-3205.643798828125
1192,-3207.056396484375
1193,-3205.72509765625
1194,-3209.13134765625
1195,-3207.453125
1196,-3210.3017578125
1197,-3207.2412109375
1198,-3206.08447265625
1199,-3206.03369140625
1200,-3207.876953125
1201,-3210.64892578125
1202,-3205.9921875
1203,-3208.88232421875
1204,-3209.38427734375
1205,-3204.87109375
1206,-3208.635009765625
1207,-3207.551025390625
1208,-3209.9970703125
1209,-3205.056884765625
1210,-3208.18994140625
1211,-3205.50439453125
1212,-3214.4609375
1213,-3207.164306640625
1214,-3206.10791015625
1215,-3204.949951171875
1216,-3208.3251953125
1217,-3206.98046875
1218,-3206.58837890625
1219,-3210.441162109375
1220,-3209.105224609375
1221,-3207.4931640625
1222,-3207.547607421875
1223,-3202.916015625
1224,-3208.9833984375
1225,-3208.080078125
1226,-3206.47021484375
1227,-3206.8056640625
1228,-3207.713134765625
1229,-3207.27783203125
1230,-3208.27001953125
1231,-3209.93505859375
1232,-3211.77099609375
1233,-3209.18896484375
1234,-3207.722900390625
1235,-3207.469970703125
1236,-3206.59765625
1237,-3208.685791015625
