,log_likelihood
564,-342.87884521484375
565,-341.595458984375
566,-343.34869384765625
567,-346.81756591796875
568,-340.5986633300781
569,-345.3116455078125
570,-343.17364501953125
571,-342.7044677734375
572,-342.57373046875
573,-343.68841552734375
574,-344.56890869140625
575,-343.0487060546875
576,-341.276611328125
577,-342.90631103515625
578,-343.067138671875
579,-342.63824462890625
580,-345.1591796875
581,-341.5263366699219
582,-343.4189147949219
583,-343.572021484375
584,-341.8279113769531
585,-344.09149169921875
586,-344.8007507324219
587,-343.80572509765625
588,-343.63134765625
589,-343.4998779296875
590,-341.790283203125
591,-343.3178405761719
592,-345.489013671875
593,-344.1156311035156
594,-342.5609130859375
595,-343.05780029296875
596,-342.428955078125
597,-343.2479248046875
598,-346.1104736328125
599,-340.95306396484375
600,-343.95928955078125
601,-344.18292236328125
602,-342.0042724609375
603,-341.1937255859375
604,-343.1605224609375
605,-343.76812744140625
606,-344.4813537597656
607,-343.8157043457031
608,-342.15142822265625
609,-341.72845458984375
610,-345.46868896484375
611,-342.8175048828125
612,-343.37030029296875
613,-343.8595275878906
614,-348.8262939453125
615,-341.7366943359375
616,-340.55291748046875
617,-342.9299621582031
618,-343.61431884765625
619,-342.95465087890625
620,-342.14111328125
621,-344.8139343261719
622,-343.6881103515625
623,-341.9000549316406
624,-345.24755859375
625,-345.5098876953125
626,-342.7829895019531
627,-344.0251770019531
628,-343.6044006347656
629,-342.32940673828125
630,-343.06048583984375
631,-342.5416564941406
632,-344.52587890625
633,-344.88262939453125
634,-343.4721374511719
635,-343.54156494140625
636,-342.65631103515625
637,-342.031982421875
638,-342.99346923828125
639,-342.67181396484375
640,-343.05816650390625
641,-343.0803527832031
642,-341.91033935546875
643,-344.6322021484375
644,-345.1766357421875
645,-342.6243896484375
646,-342.79498291015625
647,-344.98974609375
648,-343.30474853515625
649,-342.90509033203125
650,-343.7272033691406
651,-342.6454162597656
652,-344.30328369140625
653,-344.854736328125
654,-340.10687255859375
655,-347.7620849609375
656,-345.2198486328125
657,-344.1782531738281
658,-343.7358093261719
659,-347.791748046875
660,-340.9171142578125
661,-343.53704833984375
662,-343.9165344238281
663,-343.07391357421875
664,-343.981689453125
665,-342.8648681640625
666,-345.37762451171875
667,-345.9005126953125
668,-341.986572265625
669,-341.43743896484375
670,-340.4682922363281
671,-343.1966857910156
672,-342.70751953125
673,-344.667724609375
674,-344.175537109375
675,-344.4658508300781
676,-343.01458740234375
677,-343.5075988769531
678,-345.56390380859375
679,-345.5788269042969
680,-343.5599670410156
681,-339.19329833984375
682,-344.39349365234375
683,-344.5115661621094
684,-344.1128234863281
685,-341.8369140625
686,-342.74627685546875
687,-344.52288818359375
688,-348.0455322265625
689,-343.4315185546875
