,log_likelihood
0,-3369.09814453125
1,-3370.203857421875
2,-3369.4130859375
3,-3368.0634765625
4,-3371.4736328125
5,-3369.932861328125
6,-3372.25830078125
7,-3368.916015625
8,-3373.230224609375
9,-3368.9423828125
10,-3370.18994140625
11,-3371.08642578125
12,-3369.7333984375
13,-3373.19677734375
14,-3366.947509765625
15,-3371.52978515625
16,-3369.41552734375
17,-3368.890625
18,-3369.16015625
19,-3368.402587890625
20,-3370.59423828125
21,-3369.88232421875
22,-3369.849609375
23,-3368.37353515625
24,-3369.12548828125
25,-3370.040771484375
26,-3370.13818359375
27,-3369.67236328125
28,-3368.65185546875
29,-3369.98291015625
30,-3371.174072265625
31,-3370.72216796875
32,-3369.294189453125
33,-3371.072998046875
34,-3369.57763671875
35,-3369.363525390625
36,-3369.966796875
37,-3368.430908203125
38,-3367.580810546875
39,-3368.298828125
40,-3367.4462890625
41,-3368.13623046875
42,-3367.73291015625
43,-3367.056640625
44,-3367.36572265625
45,-3367.815185546875
46,-3369.290771484375
47,-3367.911865234375
48,-3367.47021484375
49,-3366.092041015625
50,-3366.10498046875
51,-3367.73876953125
52,-3368.236328125
53,-3368.79150390625
54,-3367.240234375
55,-3367.12841796875
56,-3368.832275390625
57,-3367.671875
58,-3369.001953125
59,-3368.48046875
60,-3368.18505859375
61,-3368.8544921875
62,-3367.91357421875
63,-3368.236328125
64,-3367.019775390625
65,-3367.239990234375
66,-3367.80419921875
67,-3367.28662109375
68,-3369.37255859375
69,-3368.06787109375
70,-3366.68505859375
71,-3369.96728515625
72,-3367.860595703125
73,-3369.167236328125
74,-3367.92822265625
75,-3373.351806640625
76,-3368.52099609375
77,-3372.227783203125
78,-3365.777587890625
79,-3370.52880859375
80,-3372.87890625
81,-3369.138916015625
82,-3367.490234375
83,-3369.02880859375
84,-3367.557861328125
85,-3373.84375
86,-3368.595703125
87,-3369.14794921875
88,-3367.515869140625
89,-3368.20947265625
90,-3368.894287109375
91,-3366.938232421875
92,-3368.4541015625
93,-3372.408935546875
94,-3368.187255859375
95,-3367.4619140625
96,-3367.86083984375
97,-3367.68212890625
98,-3372.121337890625
99,-3369.0517578125
100,-3368.8779296875
101,-3368.56787109375
102,-3367.0361328125
103,-3367.57470703125
104,-3368.416015625
105,-3368.1357421875
106,-3368.06005859375
107,-3366.75146484375
108,-3366.3720703125
109,-3369.7451171875
110,-3368.40576171875
111,-3370.2177734375
112,-3368.029296875
113,-3370.6435546875
114,-3367.162353515625
115,-3369.50341796875
116,-3368.76123046875
117,-3368.6826171875
118,-3371.1943359375
119,-3368.551025390625
120,-3367.997802734375
121,-3371.137451171875
122,-3367.54296875
123,-3367.65087890625
124,-3370.29443359375
125,-3370.778564453125
126,-3366.929931640625
127,-3371.6435546875
128,-3368.251953125
129,-3369.2041015625
130,-3369.436767578125
131,-3370.52294921875
132,-3367.166015625
133,-3369.0048828125
134,-3367.724853515625
135,-3367.310546875
136,-3366.9501953125
137,-3369.46630859375
138,-3367.611083984375
139,-3368.708984375
140,-3366.80078125
141,-3368.1875
142,-3368.705322265625
143,-3367.74169921875
144,-3365.90283203125
145,-3368.0146484375
146,-3370.1103515625
147,-3368.0537109375
148,-3366.7275390625
149,-3367.1455078125
150,-3367.79296875
151,-3366.80712890625
152,-3369.54248046875
153,-3368.7783203125
154,-3368.09033203125
155,-3368.265869140625
156,-3368.643798828125
157,-3367.81005859375
158,-3367.17578125
159,-3366.6298828125
160,-3368.52978515625
161,-3366.94482421875
162,-3368.130615234375
163,-3369.21826171875
164,-3367.1318359375
165,-3365.7841796875
166,-3368.05419921875
167,-3368.2109375
168,-3366.494873046875
169,-3367.92431640625
170,-3369.05419921875
171,-3369.478515625
172,-3371.286865234375
173,-3367.8486328125
174,-3367.971435546875
175,-3369.7890625
176,-3370.25537109375
177,-3370.45947265625
178,-3370.960693359375
179,-3368.729248046875
180,-3368.210693359375
181,-3369.13232421875
182,-3370.04931640625
183,-3370.78466796875
184,-3370.74560546875
185,-3372.1015625
186,-3371.6865234375
187,-3368.747314453125
188,-3370.08935546875
189,-3371.6796875
190,-3369.774169921875
191,-3370.576171875
192,-3370.70947265625
193,-3369.631103515625
194,-3369.479736328125
