,log_likelihood
0,-2257.474609375
1,-2257.54638671875
2,-2258.22900390625
3,-2257.76171875
4,-2257.272705078125
5,-2259.0126953125
6,-2257.824462890625
7,-2256.93017578125
8,-2256.0751953125
9,-2257.913818359375
10,-2257.19873046875
11,-2256.3857421875
12,-2257.67724609375
13,-2256.5869140625
14,-2257.51318359375
15,-2257.784423828125
16,-2258.222412109375
17,-2257.444091796875
18,-2256.5634765625
19,-2258.0263671875
20,-2257.50439453125
21,-2255.3134765625
22,-2256.666748046875
23,-2256.704833984375
24,-2260.251953125
25,-2257.167724609375
26,-2255.869873046875
27,-2255.50732421875
28,-2257.240234375
29,-2258.8115234375
30,-2257.592529296875
31,-2259.293212890625
32,-2256.4462890625
33,-2257.59716796875
34,-2257.57177734375
35,-2257.4833984375
36,-2256.843017578125
37,-2257.35986328125
38,-2254.87890625
39,-2255.25537109375
40,-2255.4306640625
41,-2254.241943359375
42,-2255.444091796875
43,-2254.376953125
44,-2255.01318359375
45,-2255.259033203125
46,-2257.26025390625
47,-2251.64697265625
48,-2254.98828125
49,-2255.76904296875
50,-2256.71728515625
51,-2254.923828125
52,-2256.34765625
53,-2255.989501953125
54,-2255.99560546875
55,-2254.880126953125
56,-2254.888671875
57,-2255.05517578125
58,-2253.21044921875
59,-2254.24365234375
60,-2256.023681640625
61,-2255.806640625
62,-2255.412109375
63,-2256.1982421875
64,-2253.350830078125
65,-2253.1259765625
66,-2253.865234375
67,-2254.0546875
68,-2253.44921875
69,-2254.84033203125
70,-2254.189453125
71,-2253.69775390625
72,-2255.204345703125
73,-2255.066162109375
74,-2256.504638671875
75,-2254.89697265625
76,-2257.4375
77,-2263.14794921875
78,-2256.70849609375
79,-2258.0234375
80,-2258.0478515625
81,-2259.0185546875
82,-2255.64892578125
83,-2257.74072265625
84,-2256.507568359375
85,-2255.4306640625
86,-2261.24853515625
87,-2258.4765625
88,-2257.4853515625
89,-2255.623291015625
90,-2255.41455078125
91,-2254.832275390625
92,-2255.6171875
93,-2257.89892578125
94,-2260.20068359375
95,-2255.9892578125
96,-2255.165283203125
97,-2255.33056640625
98,-2254.8671875
99,-2255.0595703125
100,-2257.601806640625
101,-2257.67236328125
102,-2256.09716796875
103,-2255.58447265625
104,-2257.69482421875
105,-2253.89599609375
106,-2255.74951171875
107,-2253.82958984375
108,-2255.01708984375
109,-2257.390625
110,-2255.0029296875
111,-2255.7802734375
112,-2256.682373046875
113,-2255.775390625
114,-2254.14501953125
115,-2253.974609375
116,-2252.18115234375
117,-2254.696044921875
118,-2254.056884765625
119,-2255.4462890625
120,-2259.05859375
121,-2256.6767578125
122,-2256.542724609375
123,-2255.33154296875
124,-2255.90771484375
125,-2255.609375
126,-2256.8955078125
127,-2255.1396484375
128,-2255.446533203125
129,-2255.837646484375
130,-2257.6357421875
131,-2256.142822265625
132,-2254.188232421875
133,-2253.99560546875
134,-2254.515380859375
135,-2257.833984375
136,-2253.65478515625
137,-2252.5302734375
138,-2254.908447265625
139,-2254.40380859375
140,-2254.27734375
141,-2255.665283203125
142,-2255.13330078125
143,-2255.106201171875
144,-2253.70458984375
145,-2255.679931640625
146,-2252.25537109375
147,-2253.3359375
148,-2254.18505859375
149,-2256.918701171875
150,-2255.133056640625
151,-2253.072998046875
152,-2252.157470703125
153,-2251.874267578125
154,-2251.78759765625
155,-2251.90283203125
156,-2251.5556640625
157,-2255.88525390625
158,-2255.07275390625
159,-2252.468505859375
160,-2253.613525390625
161,-2252.862548828125
162,-2252.37841796875
163,-2251.237060546875
164,-2254.36328125
165,-2254.1181640625
166,-2251.607177734375
167,-2256.2353515625
168,-2252.96240234375
169,-2251.2802734375
170,-2250.46044921875
171,-2259.9814453125
172,-2257.096923828125
173,-2255.916259765625
174,-2259.03173828125
175,-2257.94677734375
176,-2256.402099609375
177,-2257.37451171875
178,-2257.682861328125
179,-2256.44580078125
180,-2258.19287109375
181,-2258.1484375
182,-2255.79638671875
183,-2254.44091796875
184,-2255.17431640625
185,-2259.15380859375
186,-2257.091796875
187,-2256.438720703125
188,-2258.21533203125
189,-2256.97021484375
190,-2255.924072265625
191,-2257.72607421875
192,-2253.255859375
193,-2255.531982421875
194,-2255.2158203125
195,-2254.888671875
196,-2253.653076171875
197,-2254.59765625
198,-2258.30615234375
199,-2252.30224609375
200,-2257.2509765625
201,-2253.385986328125
202,-2258.94091796875
203,-2255.19677734375
204,-2252.904541015625
205,-2257.74365234375
206,-2259.197021484375
207,-2255.094970703125
208,-2253.136962890625
209,-2252.55712890625
210,-2253.2451171875
211,-2254.37646484375
212,-2256.225341796875
213,-2254.515625
214,-2253.2021484375
215,-2256.04931640625
216,-2253.78271484375
217,-2255.23193359375
218,-2251.965087890625
219,-2252.37841796875
220,-2254.937255859375
221,-2253.44140625
222,-2253.31201171875
223,-2254.5361328125
224,-2252.077392578125
225,-2254.7724609375
226,-2252.6279296875
227,-2254.984375
228,-2254.2705078125
229,-2255.806396484375
230,-2255.7333984375
231,-2253.122314453125
232,-2252.3046875
233,-2254.131591796875
234,-2254.64990234375
235,-2253.89404296875
236,-2254.2470703125
237,-2254.13720703125
238,-2254.56982421875
239,-2254.7900390625
240,-2253.821533203125
241,-2253.84521484375
242,-2255.386474609375
243,-2254.85986328125
244,-2253.527587890625
245,-2254.5048828125
246,-2255.806884765625
247,-2252.5791015625
248,-2252.7509765625
249,-2256.26806640625
250,-2255.86767578125
251,-2256.40966796875
252,-2252.787353515625
253,-2256.9951171875
254,-2254.6953125
255,-2255.507080078125
256,-2255.07861328125
257,-2255.86474609375
258,-2254.95556640625
259,-2255.60888671875
260,-2255.58544921875
261,-2255.52197265625
262,-2257.109130859375
263,-2256.70849609375
264,-2259.15380859375
265,-2253.061279296875
266,-2251.87548828125
267,-2253.145263671875
268,-2250.94775390625
269,-2251.694091796875
270,-2249.892333984375
271,-2254.30517578125
272,-2252.927490234375
273,-2253.84716796875
274,-2252.99267578125
275,-2251.224365234375
276,-2252.848876953125
277,-2254.19921875
278,-2250.14990234375
279,-2250.5224609375
280,-2252.64453125
281,-2252.86376953125
282,-2250.84326171875
283,-2251.3203125
284,-2254.861328125
285,-2250.244384765625
286,-2256.341552734375
287,-2255.56494140625
288,-2256.3310546875
289,-2255.73779296875
290,-2256.17822265625
291,-2253.1162109375
292,-2257.7646484375
293,-2256.587890625
294,-2254.56005859375
295,-2254.705078125
296,-2253.453125
297,-2252.99267578125
298,-2257.692626953125
299,-2257.972412109375
300,-2252.6875
301,-2252.02978515625
302,-2255.41748046875
303,-2255.65576171875
304,-2256.5673828125
305,-2253.718017578125
306,-2253.609375
307,-2254.119140625
308,-2257.28759765625
309,-2255.290771484375
310,-2255.4580078125
311,-2253.353515625
312,-2256.571044921875
313,-2255.142822265625
314,-2253.65478515625
315,-2256.88525390625
316,-2254.2294921875
317,-2253.3642578125
318,-2255.6171875
319,-2254.93603515625
320,-2254.53857421875
321,-2255.607666015625
322,-2253.68701171875
323,-2251.5546875
324,-2253.056884765625
325,-2253.78564453125
326,-2254.492431640625
327,-2254.80712890625
328,-2253.01513671875
329,-2253.9130859375
330,-2254.22021484375
331,-2253.927978515625
332,-2256.147216796875
333,-2253.4580078125
334,-2253.10009765625
335,-2255.9716796875
336,-2254.41064453125
337,-2252.51513671875
338,-2253.28955078125
339,-2251.1904296875
340,-2251.86279296875
341,-2252.77001953125
342,-2257.76806640625
343,-2253.951171875
344,-2254.739990234375
345,-2257.075439453125
346,-2255.646240234375
347,-2253.898193359375
348,-2254.4111328125
349,-2254.61328125
350,-2252.557373046875
351,-2254.5712890625
352,-2255.640625
353,-2254.283203125
354,-2254.135009765625
355,-2255.60205078125
356,-2254.924072265625
357,-2253.40869140625
358,-2253.28515625
359,-2252.808837890625
360,-2255.535400390625
361,-2253.2841796875
362,-2255.31884765625
363,-2255.544921875
364,-2256.118408203125
365,-2255.039306640625
366,-2255.3388671875
367,-2257.6904296875
368,-2252.841552734375
369,-2255.33984375
370,-2257.0166015625
371,-2256.19873046875
372,-2255.739501953125
373,-2252.95263671875
374,-2252.08251953125
375,-2255.681884765625
376,-2255.05029296875
377,-2253.51025390625
378,-2255.3232421875
379,-2256.42236328125
380,-2254.1708984375
381,-2253.703125
382,-2252.44189453125
383,-2252.643310546875
384,-2255.794189453125
385,-2251.2177734375
386,-2251.64599609375
387,-2253.74462890625
388,-2253.512939453125
389,-2255.0390625
390,-2252.390625
391,-2254.67578125
392,-2253.80078125
393,-2251.5068359375
394,-2254.515625
395,-2253.78173828125
396,-2253.859130859375
397,-2251.75146484375
398,-2254.505859375
399,-2254.29638671875
400,-2256.703857421875
401,-2255.666015625
402,-2254.85107421875
403,-2254.43115234375
404,-2255.01171875
405,-2257.6689453125
406,-2253.22216796875
407,-2255.44921875
408,-2254.88232421875
409,-2254.9384765625
410,-2254.39697265625
411,-2255.979248046875
412,-2255.35107421875
413,-2254.7177734375
414,-2254.21484375
415,-2254.212890625
416,-2256.703369140625
417,-2254.7763671875
418,-2254.80126953125
419,-2254.59326171875
420,-2253.837646484375
421,-2254.83154296875
422,-2255.195556640625
423,-2255.741455078125
424,-2255.310302734375
425,-2253.5478515625
426,-2255.03564453125
427,-2257.60400390625
428,-2255.00537109375
429,-2253.10400390625
430,-2255.602783203125
431,-2253.30224609375
432,-2253.998046875
433,-2254.886474609375
434,-2255.98779296875
435,-2255.599609375
436,-2254.453125
437,-2254.17626953125
438,-2253.93115234375
439,-2255.7373046875
440,-2254.634765625
441,-2254.35888671875
442,-2255.67822265625
443,-2255.13720703125
444,-2257.1669921875
445,-2257.26953125
446,-2256.4697265625
447,-2254.73046875
448,-2254.936279296875
449,-2257.192138671875
450,-2257.881591796875
451,-2256.146484375
452,-2255.884521484375
453,-2256.93017578125
454,-2253.985107421875
455,-2254.58642578125
456,-2253.251708984375
457,-2253.169189453125
458,-2254.1083984375
459,-2253.87451171875
460,-2256.2880859375
461,-2252.1044921875
462,-2253.869384765625
463,-2252.947021484375
464,-2253.35302734375
465,-2252.93798828125
466,-2254.025390625
467,-2254.22705078125
468,-2254.222900390625
469,-2252.38427734375
470,-2253.5263671875
471,-2253.90087890625
472,-2253.090576171875
473,-2252.902587890625
474,-2254.376953125
475,-2253.692138671875
476,-2254.17822265625
477,-2256.36181640625
478,-2255.736572265625
479,-2255.529052734375
480,-2253.88525390625
481,-2254.807373046875
482,-2254.673095703125
483,-2255.1123046875
484,-2254.953125
485,-2256.145263671875
486,-2253.90673828125
487,-2254.93603515625
488,-2256.0380859375
489,-2255.490478515625
490,-2254.471435546875
491,-2254.802734375
492,-2255.8447265625
493,-2254.890625
494,-2253.560302734375
495,-2254.672119140625
496,-2253.4150390625
497,-2255.05419921875
498,-2254.648681640625
499,-2255.3193359375
500,-2255.1826171875
501,-2254.958740234375
502,-2256.01611328125
503,-2254.51171875
504,-2255.0166015625
505,-2253.64013671875
506,-2256.871826171875
507,-2255.65771484375
508,-2254.2138671875
509,-2255.64208984375
510,-2254.3037109375
511,-2254.900146484375
512,-2253.70751953125
513,-2254.59765625
514,-2255.31640625
515,-2254.350830078125
516,-2256.211669921875
517,-2254.971435546875
518,-2254.456787109375
519,-2255.19921875
520,-2255.681640625
521,-2254.79052734375
522,-2254.123779296875
523,-2255.748291015625
524,-2253.6201171875
525,-2255.009765625
526,-2253.357421875
527,-2253.826416015625
528,-2255.2548828125
529,-2254.7177734375
530,-2255.969970703125
531,-2254.78857421875
532,-2255.898681640625
533,-2257.78369140625
534,-2258.3544921875
535,-2255.22607421875
536,-2256.959228515625
537,-2255.79248046875
538,-2255.264892578125
539,-2254.715576171875
540,-2254.5869140625
541,-2256.10546875
542,-2257.540771484375
543,-2255.1181640625
544,-2255.903076171875
545,-2255.54931640625
546,-2255.392578125
547,-2254.574462890625
548,-2257.310546875
549,-2256.7138671875
550,-2254.90869140625
551,-2255.055419921875
552,-2257.05419921875
553,-2256.506103515625
554,-2255.66357421875
555,-2257.462646484375
556,-2257.1806640625
557,-2257.4267578125
558,-2255.687744140625
559,-2255.3388671875
560,-2255.41357421875
561,-2254.2548828125
562,-2258.33447265625
563,-2255.696044921875
564,-2255.575927734375
565,-2255.470703125
566,-2256.3056640625
567,-2256.935546875
568,-2254.86865234375
569,-2259.078125
570,-2255.48193359375
571,-2253.6689453125
572,-2255.609375
573,-2255.16357421875
574,-2254.95458984375
575,-2255.5732421875
576,-2255.4833984375
577,-2253.915771484375
578,-2256.2724609375
579,-2254.740234375
580,-2255.35546875
581,-2254.8876953125
582,-2256.63818359375
583,-2255.4638671875
584,-2254.6728515625
585,-2255.781494140625
586,-2256.23095703125
587,-2255.28662109375
588,-2255.56298828125
589,-2253.950927734375
590,-2254.18408203125
591,-2254.24267578125
592,-2253.5498046875
593,-2254.73828125
594,-2253.913330078125
595,-2254.6630859375
596,-2252.892578125
597,-2254.22802734375
598,-2254.77294921875
599,-2253.869140625
600,-2253.496826171875
601,-2253.3076171875
602,-2252.918701171875
603,-2254.036865234375
604,-2252.3251953125
605,-2253.123046875
606,-2254.075927734375
607,-2254.015625
608,-2253.6513671875
609,-2254.4833984375
610,-2252.9345703125
611,-2253.97998046875
612,-2253.21875
613,-2253.796142578125
614,-2252.66357421875
615,-2254.34521484375
616,-2252.79736328125
617,-2254.59765625
618,-2254.18359375
619,-2253.624267578125
620,-2252.64697265625
621,-2253.49267578125
622,-2256.03564453125
623,-2254.288330078125
624,-2253.91455078125
625,-2254.55810546875
626,-2253.53955078125
627,-2254.730224609375
628,-2254.868896484375
629,-2253.948486328125
630,-2254.3896484375
631,-2254.207275390625
632,-2254.915771484375
633,-2256.2470703125
634,-2254.884765625
635,-2253.17626953125
636,-2255.375
637,-2254.653076171875
638,-2253.5703125
639,-2255.15478515625
640,-2252.853759765625
641,-2255.658203125
642,-2253.26806640625
643,-2255.038818359375
644,-2255.4814453125
645,-2254.665283203125
646,-2254.635009765625
647,-2255.01708984375
648,-2253.318359375
649,-2255.4306640625
650,-2253.931396484375
651,-2254.15966796875
652,-2256.03125
653,-2254.91162109375
654,-2253.437255859375
655,-2252.9736328125
656,-2255.57177734375
657,-2255.13623046875
658,-2254.46435546875
659,-2255.4013671875
660,-2255.29541015625
661,-2255.02734375
662,-2253.9365234375
663,-2253.51220703125
664,-2254.63232421875
665,-2253.92724609375
666,-2254.19482421875
667,-2252.997802734375
668,-2254.03076171875
669,-2257.213134765625
670,-2254.552001953125
671,-2254.51904296875
672,-2254.068359375
673,-2252.9013671875
674,-2254.208984375
675,-2253.938232421875
676,-2254.9013671875
677,-2254.75537109375
678,-2253.6513671875
679,-2252.7958984375
680,-2254.690673828125
681,-2253.15771484375
682,-2255.14453125
683,-2254.250732421875
684,-2255.93212890625
685,-2258.17236328125
686,-2254.48828125
687,-2254.599853515625
688,-2255.66650390625
689,-2254.6171875
690,-2254.1865234375
691,-2256.03955078125
692,-2254.99169921875
693,-2254.809814453125
694,-2254.3388671875
695,-2254.310546875
696,-2254.763671875
697,-2254.81689453125
698,-2255.7041015625
699,-2254.255126953125
700,-2254.8125
701,-2255.20068359375
702,-2255.28125
703,-2257.9130859375
704,-2255.797607421875
705,-2255.200439453125
706,-2257.928955078125
707,-2255.778564453125
708,-2257.39697265625
709,-2256.072021484375
710,-2256.47998046875
711,-2254.73681640625
712,-2256.90087890625
713,-2256.4619140625
714,-2255.9345703125
715,-2257.61572265625
716,-2256.25390625
717,-2255.411865234375
718,-2257.7158203125
719,-2257.1875
720,-2257.73388671875
721,-2257.50634765625
722,-2255.4326171875
723,-2256.08154296875
724,-2255.60205078125
725,-2255.43701171875
726,-2256.654296875
727,-2258.44189453125
728,-2255.7236328125
729,-2256.780029296875
730,-2255.0830078125
731,-2255.55224609375
732,-2255.638427734375
733,-2255.219970703125
734,-2255.37255859375
735,-2255.94384765625
736,-2254.80712890625
737,-2255.976806640625
738,-2255.75634765625
739,-2253.8056640625
740,-2255.494140625
741,-2253.796875
742,-2254.48876953125
743,-2254.25146484375
744,-2256.9794921875
745,-2254.33447265625
746,-2257.008056640625
747,-2255.39306640625
748,-2254.74609375
749,-2255.628173828125
750,-2253.7138671875
751,-2253.0654296875
752,-2254.115478515625
753,-2256.046142578125
754,-2253.74853515625
755,-2254.0068359375
756,-2254.969970703125
757,-2255.608642578125
758,-2253.911376953125
759,-2253.99072265625
760,-2255.2236328125
761,-2254.57861328125
762,-2254.38232421875
763,-2255.13037109375
764,-2256.00341796875
765,-2256.94482421875
766,-2257.22900390625
767,-2256.172607421875
768,-2255.861083984375
769,-2255.9736328125
770,-2254.93115234375
771,-2255.985595703125
772,-2253.75146484375
773,-2254.952392578125
774,-2255.568359375
775,-2252.9990234375
776,-2255.01953125
777,-2255.771240234375
778,-2255.274658203125
779,-2256.21240234375
780,-2253.418701171875
781,-2256.103759765625
782,-2251.711181640625
783,-2252.89013671875
784,-2254.36474609375
785,-2257.170654296875
786,-2257.75439453125
787,-2256.1455078125
788,-2254.611328125
789,-2255.400390625
790,-2256.568115234375
791,-2255.2958984375
792,-2254.30029296875
793,-2257.142333984375
794,-2255.17626953125
795,-2254.67822265625
796,-2254.2880859375
797,-2254.638916015625
798,-2256.24267578125
799,-2253.007568359375
800,-2257.89599609375
801,-2254.10107421875
802,-2254.89990234375
803,-2255.29248046875
804,-2252.8583984375
805,-2252.96484375
806,-2254.76318359375
807,-2253.62451171875
808,-2251.96875
809,-2253.75732421875
810,-2254.76416015625
811,-2253.1455078125
812,-2254.0048828125
813,-2253.5625
814,-2253.677490234375
815,-2251.827880859375
816,-2255.0166015625
817,-2254.89501953125
818,-2255.50244140625
819,-2255.56787109375
820,-2255.2373046875
821,-2257.138427734375
822,-2255.9658203125
823,-2258.296875
824,-2254.408203125
825,-2255.21337890625
826,-2254.490966796875
827,-2256.4091796875
828,-2257.174560546875
829,-2255.0537109375
830,-2256.595703125
831,-2254.732666015625
832,-2252.81884765625
833,-2257.375
834,-2256.66015625
835,-2255.7236328125
836,-2258.528076171875
837,-2254.912109375
838,-2254.649658203125
839,-2254.08154296875
840,-2255.825439453125
841,-2255.1953125
842,-2254.581787109375
843,-2254.94677734375
844,-2253.58349609375
845,-2256.141845703125
846,-2256.20654296875
847,-2256.102783203125
848,-2255.99365234375
849,-2255.28125
850,-2256.741943359375
851,-2256.555419921875
852,-2256.166259765625
853,-2254.79150390625
854,-2254.28271484375
855,-2252.3095703125
856,-2253.162841796875
857,-2254.861328125
858,-2253.36181640625
859,-2253.39111328125
860,-2252.356201171875
861,-2252.678466796875
862,-2253.6640625
863,-2254.5869140625
864,-2252.048095703125
865,-2254.459716796875
866,-2251.582275390625
867,-2253.22119140625
868,-2252.591796875
869,-2256.36962890625
870,-2253.92431640625
871,-2253.95458984375
872,-2254.16455078125
873,-2254.313232421875
874,-2255.78662109375
875,-2255.47021484375
876,-2256.62744140625
877,-2255.300048828125
878,-2255.93994140625
879,-2253.0810546875
880,-2258.38330078125
881,-2254.48046875
882,-2254.884521484375
883,-2256.19091796875
884,-2255.8525390625
885,-2255.00439453125
886,-2256.781982421875
887,-2258.206298828125
888,-2256.45849609375
889,-2255.03515625
890,-2255.42138671875
891,-2256.69921875
892,-2254.9267578125
893,-2254.408203125
894,-2255.65234375
895,-2255.279296875
896,-2255.85791015625
897,-2255.208740234375
898,-2255.29931640625
899,-2256.12060546875
900,-2256.66259765625
901,-2253.255615234375
902,-2253.5
903,-2255.239013671875
904,-2256.19775390625
905,-2255.47509765625
906,-2256.298095703125
907,-2256.125
908,-2253.91015625
909,-2257.246337890625
910,-2254.59033203125
911,-2252.9609375
912,-2255.63037109375
913,-2255.0224609375
914,-2257.310546875
915,-2255.5107421875
916,-2255.684814453125
917,-2255.38818359375
918,-2255.5712890625
919,-2256.001953125
920,-2255.814208984375
921,-2255.17041015625
922,-2257.44970703125
923,-2254.15576171875
924,-2254.68212890625
925,-2256.44775390625
926,-2257.510498046875
927,-2256.58544921875
928,-2254.5087890625
929,-2256.23486328125
930,-2254.919921875
931,-2255.77001953125
932,-2253.7587890625
933,-2256.5791015625
934,-2256.3740234375
935,-2256.6904296875
936,-2258.2275390625
937,-2256.788330078125
938,-2257.13720703125
939,-2256.226806640625
940,-2255.97509765625
941,-2254.44140625
942,-2257.3466796875
943,-2258.4287109375
944,-2256.650634765625
945,-2259.192138671875
946,-2256.433349609375
947,-2254.4638671875
948,-2252.88232421875
949,-2257.33740234375
950,-2254.9765625
951,-2255.16259765625
952,-2256.78857421875
953,-2256.31396484375
954,-2254.875244140625
955,-2254.69140625
956,-2255.9453125
957,-2252.10546875
958,-2253.78271484375
959,-2255.781494140625
960,-2254.313232421875
961,-2254.65185546875
962,-2255.70654296875
963,-2254.875244140625
964,-2253.17724609375
965,-2252.829345703125
966,-2253.310302734375
967,-2255.9248046875
968,-2253.11474609375
969,-2255.26416015625
970,-2258.041015625
971,-2256.593017578125
972,-2253.3056640625
973,-2252.837158203125
974,-2254.27197265625
975,-2249.56298828125
976,-2253.9658203125
977,-2253.99365234375
978,-2253.532958984375
979,-2254.7041015625
980,-2256.613525390625
981,-2254.87060546875
982,-2252.46630859375
983,-2253.361083984375
984,-2255.780029296875
985,-2254.3896484375
986,-2254.34716796875
987,-2254.78515625
988,-2251.89990234375
989,-2253.403076171875
990,-2254.538818359375
991,-2256.7822265625
992,-2253.494140625
993,-2253.34228515625
994,-2253.90869140625
995,-2254.2705078125
996,-2253.37646484375
997,-2253.86328125
998,-2253.48291015625
999,-2250.669921875
1000,-2253.060302734375
1001,-2254.0673828125
1002,-2253.48681640625
1003,-2253.76171875
1004,-2252.89697265625
1005,-2253.40234375
1006,-2251.137939453125
1007,-2253.114501953125
1008,-2254.054443359375
1009,-2252.03369140625
1010,-2256.239501953125
1011,-2254.27685546875
1012,-2252.73486328125
1013,-2253.4365234375
1014,-2256.148681640625
1015,-2252.173828125
1016,-2254.619140625
1017,-2252.837890625
1018,-2254.85546875
1019,-2254.1513671875
1020,-2254.18310546875
1021,-2252.8662109375
1022,-2254.418212890625
1023,-2253.587890625
1024,-2253.49169921875
1025,-2256.291015625
1026,-2252.489013671875
1027,-2254.27099609375
1028,-2251.93896484375
1029,-2254.204345703125
1030,-2253.986328125
1031,-2253.1787109375
1032,-2253.988037109375
1033,-2254.415283203125
1034,-2253.81103515625
1035,-2252.6484375
1036,-2254.20947265625
1037,-2253.3359375
1038,-2251.895751953125
1039,-2252.93310546875
1040,-2253.0869140625
1041,-2253.946533203125
1042,-2253.568603515625
1043,-2256.38037109375
1044,-2252.115478515625
1045,-2253.82373046875
1046,-2254.972412109375
1047,-2253.726318359375
1048,-2253.376708984375
1049,-2256.229736328125
1050,-2252.84619140625
1051,-2254.845703125
1052,-2256.017333984375
1053,-2253.87939453125
1054,-2256.44677734375
1055,-2254.63232421875
1056,-2255.44921875
1057,-2257.01220703125
1058,-2255.713623046875
1059,-2253.890625
1060,-2253.885009765625
1061,-2254.72216796875
1062,-2254.6142578125
1063,-2255.2509765625
1064,-2250.9931640625
1065,-2252.7177734375
1066,-2254.330810546875
1067,-2250.568115234375
1068,-2253.54736328125
1069,-2250.86376953125
1070,-2251.847412109375
1071,-2252.52734375
1072,-2253.041015625
1073,-2255.7822265625
1074,-2252.9833984375
1075,-2253.123291015625
1076,-2251.653076171875
1077,-2252.353515625
1078,-2252.5458984375
1079,-2251.15966796875
1080,-2254.298828125
1081,-2254.25146484375
1082,-2252.653076171875
1083,-2252.56005859375
1084,-2253.5625
1085,-2253.317626953125
1086,-2254.45947265625
1087,-2252.710693359375
1088,-2253.376708984375
1089,-2254.158447265625
1090,-2253.21484375
1091,-2253.516845703125
1092,-2253.39892578125
1093,-2255.44970703125
1094,-2252.80078125
1095,-2252.3271484375
1096,-2254.2138671875
1097,-2252.802734375
1098,-2253.451904296875
1099,-2253.796875
1100,-2252.012451171875
1101,-2253.26123046875
1102,-2251.95556640625
1103,-2253.84326171875
1104,-2253.367431640625
1105,-2254.43798828125
1106,-2254.509033203125
1107,-2256.87451171875
1108,-2255.5068359375
1109,-2253.32470703125
1110,-2252.76806640625
1111,-2254.51806640625
1112,-2254.29052734375
1113,-2253.79541015625
1114,-2253.637939453125
1115,-2255.212646484375
1116,-2254.05126953125
1117,-2253.352294921875
1118,-2254.46484375
1119,-2254.091796875
1120,-2253.701171875
1121,-2252.53564453125
1122,-2257.232421875
1123,-2254.23583984375
1124,-2251.095703125
1125,-2251.6904296875
1126,-2251.5126953125
1127,-2252.687255859375
1128,-2253.36865234375
1129,-2253.34375
1130,-2250.330810546875
1131,-2251.365234375
1132,-2253.52099609375
1133,-2251.5322265625
1134,-2254.68212890625
1135,-2253.26953125
1136,-2249.56982421875
1137,-2254.19921875
1138,-2253.384765625
1139,-2252.673828125
1140,-2252.3818359375
1141,-2253.4404296875
1142,-2251.85693359375
1143,-2255.69140625
1144,-2253.7900390625
1145,-2253.086669921875
1146,-2252.92041015625
1147,-2252.07177734375
1148,-2254.16064453125
1149,-2252.69482421875
1150,-2250.42138671875
1151,-2253.858642578125
1152,-2250.884521484375
1153,-2253.480224609375
1154,-2252.341064453125
1155,-2251.22607421875
1156,-2252.193359375
1157,-2251.9697265625
1158,-2253.845947265625
1159,-2251.949462890625
1160,-2255.0087890625
