,log_likelihood
0,-1867.5206298828125
1,-1868.551513671875
2,-1867.941650390625
3,-1868.1854248046875
4,-1867.437255859375
5,-1868.166015625
6,-1867.663818359375
7,-1867.7723388671875
8,-1869.23779296875
9,-1867.9639892578125
10,-1867.9906005859375
11,-1868.04931640625
12,-1868.3438720703125
13,-1869.61474609375
14,-1869.430419921875
15,-1868.0650634765625
16,-1867.1763916015625
17,-1868.219482421875
18,-1867.36181640625
19,-1867.1861572265625
20,-1868.6568603515625
21,-1869.8154296875
22,-1868.860107421875
23,-1869.33154296875
24,-1868.88525390625
25,-1867.9111328125
26,-1868.45166015625
27,-1868.54833984375
28,-1869.24755859375
29,-1870.330810546875
30,-1870.0335693359375
31,-1870.0091552734375
32,-1869.20068359375
33,-1868.970458984375
34,-1869.7706298828125
35,-1869.30419921875
36,-1869.153564453125
37,-1869.39208984375
38,-1868.7042236328125
39,-1869.080078125
40,-1868.67578125
41,-1868.378173828125
42,-1868.92138671875
43,-1867.659423828125
44,-1869.1962890625
45,-1868.3416748046875
46,-1868.7611083984375
47,-1869.6708984375
48,-1869.28515625
49,-1868.4659423828125
50,-1869.32666015625
51,-1868.1156005859375
52,-1867.869140625
53,-1870.045166015625
54,-1867.951416015625
55,-1868.6103515625
56,-1871.8233642578125
57,-1869.516357421875
58,-1867.6375732421875
59,-1871.458984375
60,-1868.659423828125
61,-1869.648681640625
62,-1869.051025390625
63,-1870.20166015625
64,-1871.151611328125
65,-1867.6026611328125
66,-1869.679931640625
67,-1869.379638671875
68,-1868.575927734375
69,-1868.856201171875
70,-1869.613037109375
71,-1867.367431640625
72,-1867.8358154296875
73,-1868.381591796875
74,-1869.54345703125
75,-1869.8675537109375
76,-1869.259521484375
77,-1870.3736572265625
78,-1868.93017578125
79,-1868.07666015625
80,-1867.203369140625
81,-1870.32421875
82,-1867.75
83,-1868.8275146484375
84,-1870.6993408203125
85,-1871.03466796875
86,-1869.281494140625
87,-1869.0892333984375
88,-1870.2833251953125
89,-1868.6536865234375
90,-1868.389404296875
91,-1869.8486328125
92,-1868.961181640625
93,-1867.687255859375
94,-1867.7899169921875
95,-1866.7802734375
96,-1867.17236328125
97,-1869.04345703125
98,-1867.1552734375
99,-1868.53076171875
100,-1869.7742919921875
101,-1867.396240234375
102,-1870.21826171875
103,-1870.22412109375
104,-1870.3193359375
105,-1870.65576171875
106,-1870.6650390625
107,-1869.939697265625
108,-1869.845947265625
109,-1868.21044921875
110,-1869.45654296875
111,-1868.626220703125
112,-1868.89794921875
113,-1867.70361328125
114,-1868.385498046875
115,-1866.6580810546875
116,-1868.6982421875
117,-1868.0035400390625
118,-1868.336181640625
119,-1867.78564453125
120,-1867.2174072265625
121,-1871.585205078125
122,-1869.711669921875
123,-1868.537353515625
124,-1869.325927734375
125,-1868.43115234375
126,-1868.796142578125
127,-1869.52294921875
128,-1869.35693359375
129,-1870.3956298828125
130,-1870.473876953125
131,-1870.7633056640625
132,-1870.478271484375
133,-1869.233154296875
134,-1869.352783203125
135,-1870.7646484375
136,-1868.185302734375
137,-1869.466796875
138,-1868.517822265625
139,-1868.4443359375
140,-1868.056396484375
141,-1868.41943359375
142,-1868.4976806640625
143,-1869.169677734375
144,-1868.2012939453125
145,-1868.242919921875
146,-1868.6748046875
147,-1867.285400390625
148,-1868.914794921875
149,-1867.6490478515625
150,-1869.7652587890625
151,-1867.5997314453125
152,-1867.878662109375
153,-1871.15185546875
154,-1869.241455078125
155,-1869.44384765625
156,-1870.0751953125
157,-1869.8873291015625
158,-1868.552734375
159,-1867.681884765625
160,-1867.82373046875
161,-1869.118408203125
162,-1868.1021728515625
163,-1867.8720703125
164,-1868.411376953125
165,-1867.6959228515625
166,-1868.433837890625
167,-1867.26611328125
168,-1868.497802734375
169,-1868.468017578125
170,-1867.691162109375
171,-1867.75537109375
172,-1868.326904296875
173,-1867.9263916015625
174,-1869.759521484375
175,-1868.009521484375
176,-1869.4990234375
177,-1867.8223876953125
178,-1867.0670166015625
179,-1868.364990234375
180,-1868.007080078125
181,-1869.59423828125
182,-1869.3394775390625
183,-1867.893310546875
184,-1870.319580078125
185,-1870.1971435546875
186,-1868.1282958984375
187,-1869.307373046875
188,-1869.11962890625
189,-1868.244384765625
190,-1868.483154296875
191,-1867.28662109375
192,-1869.62109375
193,-1868.013427734375
194,-1867.1676025390625
195,-1866.967041015625
196,-1869.640625
197,-1865.85107421875
198,-1867.775146484375
199,-1869.2537841796875
200,-1868.04052734375
201,-1869.0872802734375
202,-1868.4976806640625
203,-1866.655517578125
204,-1865.3865966796875
205,-1868.3287353515625
206,-1869.7562255859375
207,-1868.856201171875
208,-1868.2479248046875
209,-1866.959716796875
210,-1869.123046875
211,-1867.64306640625
212,-1869.6412353515625
213,-1867.459228515625
214,-1865.465576171875
215,-1865.304931640625
216,-1868.709228515625
217,-1866.46875
218,-1867.35693359375
219,-1865.4659423828125
220,-1868.5966796875
221,-1868.224853515625
222,-1867.639404296875
223,-1867.00439453125
224,-1868.4246826171875
225,-1868.280517578125
226,-1868.5947265625
227,-1869.4517822265625
228,-1870.3616943359375
229,-1871.6392822265625
230,-1867.79736328125
231,-1867.919921875
232,-1867.8231201171875
233,-1868.681396484375
234,-1870.872314453125
235,-1867.86474609375
236,-1870.3577880859375
237,-1867.7576904296875
238,-1868.67822265625
239,-1867.489990234375
240,-1867.3558349609375
241,-1865.95361328125
242,-1867.69921875
243,-1864.885986328125
244,-1866.721923828125
245,-1867.3287353515625
246,-1868.24169921875
247,-1868.494384765625
248,-1868.0509033203125
249,-1868.4871826171875
250,-1869.175537109375
251,-1868.290771484375
252,-1869.1983642578125
253,-1868.82080078125
254,-1869.2978515625
255,-1869.0040283203125
256,-1869.449462890625
257,-1868.705322265625
258,-1869.205078125
259,-1869.1500244140625
260,-1869.081298828125
261,-1868.5625
262,-1868.69189453125
263,-1869.9654541015625
264,-1871.472412109375
265,-1870.3956298828125
266,-1869.826904296875
267,-1869.2998046875
268,-1866.258544921875
269,-1866.431640625
270,-1868.751953125
271,-1868.265625
272,-1868.286865234375
273,-1868.0701904296875
274,-1867.97314453125
275,-1867.7236328125
276,-1869.591064453125
277,-1869.53857421875
278,-1870.06494140625
279,-1869.2479248046875
280,-1870.363037109375
281,-1870.51025390625
282,-1867.52783203125
283,-1866.49658203125
284,-1868.2784423828125
285,-1866.461181640625
286,-1867.2364501953125
287,-1870.1533203125
288,-1869.026611328125
289,-1870.2626953125
290,-1869.65234375
291,-1869.578125
292,-1869.4381103515625
293,-1868.158203125
294,-1866.111328125
295,-1868.52978515625
296,-1866.0888671875
297,-1867.3101806640625
