,log_likelihood
0,-1195.93017578125
1,-1196.76904296875
2,-1199.1680908203125
3,-1195.853271484375
4,-1196.53076171875
5,-1195.6207275390625
6,-1195.32958984375
7,-1199.19384765625
8,-1197.038330078125
9,-1195.81591796875
10,-1195.7386474609375
11,-1195.5771484375
12,-1198.2598876953125
13,-1195.66650390625
14,-1199.484619140625
15,-1196.970703125
16,-1195.6416015625
17,-1196.4366455078125
18,-1199.10400390625
19,-1199.8968505859375
20,-1195.0654296875
21,-1197.671142578125
22,-1195.5595703125
23,-1195.301025390625
24,-1195.5478515625
25,-1196.5498046875
26,-1196.837158203125
27,-1196.0458984375
28,-1195.0887451171875
29,-1195.74462890625
30,-1194.93896484375
31,-1195.9647216796875
32,-1195.649658203125
33,-1197.524658203125
34,-1194.9078369140625
35,-1196.676513671875
36,-1196.5286865234375
37,-1195.23974609375
38,-1198.671142578125
39,-1196.501220703125
40,-1198.751220703125
41,-1197.666259765625
42,-1197.32373046875
43,-1197.31201171875
44,-1195.114990234375
45,-1197.1480712890625
46,-1195.6988525390625
47,-1197.6610107421875
48,-1197.925048828125
49,-1195.6055908203125
50,-1197.1658935546875
51,-1197.572265625
52,-1197.947265625
53,-1196.9947509765625
54,-1201.2696533203125
55,-1202.76806640625
56,-1198.0150146484375
57,-1200.7435302734375
58,-1194.3895263671875
59,-1197.2264404296875
60,-1200.13916015625
61,-1198.185546875
62,-1196.0736083984375
63,-1198.322998046875
64,-1196.160888671875
65,-1196.5858154296875
66,-1194.970458984375
67,-1197.37060546875
68,-1192.791748046875
69,-1194.8779296875
70,-1196.90380859375
71,-1199.126708984375
72,-1199.068359375
73,-1193.700927734375
74,-1198.275390625
75,-1194.5875244140625
76,-1196.176025390625
77,-1193.786376953125
78,-1195.6912841796875
79,-1193.5498046875
80,-1195.5078125
81,-1193.7645263671875
82,-1195.8316650390625
83,-1193.4324951171875
84,-1193.097900390625
85,-1197.027099609375
86,-1192.913818359375
87,-1193.9495849609375
88,-1194.847412109375
89,-1201.720947265625
90,-1193.0823974609375
91,-1195.928466796875
92,-1196.7216796875
93,-1195.477294921875
94,-1198.3134765625
95,-1198.7919921875
96,-1197.406005859375
97,-1195.93701171875
98,-1197.3907470703125
99,-1197.6973876953125
100,-1195.3135986328125
101,-1196.0732421875
102,-1204.5751953125
103,-1194.91650390625
104,-1197.8201904296875
105,-1197.7557373046875
106,-1197.07275390625
107,-1195.82470703125
108,-1196.56396484375
109,-1198.05126953125
110,-1198.16748046875
111,-1195.966796875
112,-1204.2958984375
113,-1198.0093994140625
114,-1199.16357421875
115,-1196.0570068359375
116,-1194.6722412109375
117,-1199.8336181640625
118,-1197.0032958984375
119,-1196.751708984375
120,-1197.96435546875
121,-1196.255126953125
122,-1200.402099609375
123,-1199.687255859375
124,-1196.696044921875
125,-1200.9404296875
126,-1199.86181640625
127,-1198.5233154296875
128,-1205.2197265625
129,-1199.491455078125
130,-1203.985107421875
131,-1199.43310546875
132,-1196.791748046875
133,-1202.1864013671875
134,-1196.700439453125
135,-1195.50244140625
136,-1199.9935302734375
137,-1197.94091796875
138,-1196.319580078125
