,log_likelihood
816,-3022.705322265625
817,-3027.65673828125
818,-3021.9267578125
819,-3021.07666015625
820,-3031.31884765625
821,-3025.12939453125
822,-3027.48828125
823,-3026.42431640625
824,-3023.814697265625
825,-3063.15380859375
826,-3026.2802734375
827,-3024.2490234375
828,-3034.327880859375
829,-3026.85791015625
830,-3023.02197265625
831,-3025.2666015625
832,-3024.08251953125
833,-3024.119873046875
834,-3027.555419921875
835,-3024.42138671875
836,-3026.73974609375
837,-3024.048828125
838,-3023.261962890625
839,-3022.890625
840,-3024.66796875
841,-3032.708740234375
842,-3031.633056640625
843,-3027.38330078125
844,-3032.11962890625
845,-3028.238525390625
846,-3023.040283203125
847,-3030.4375
848,-3022.7431640625
849,-3022.31396484375
850,-3031.831298828125
851,-3025.55615234375
852,-3022.86865234375
853,-3022.583984375
854,-3023.64404296875
855,-3025.2802734375
856,-3024.971435546875
857,-3028.36962890625
858,-3021.5576171875
859,-3026.218017578125
860,-3028.6640625
861,-3025.38916015625
862,-3023.144775390625
863,-3027.8642578125
864,-3026.107666015625
865,-3027.25732421875
866,-3028.90234375
867,-3030.41552734375
868,-3039.96337890625
869,-3022.93359375
870,-3022.59326171875
871,-3027.299072265625
872,-3024.25146484375
873,-3023.930908203125
874,-3024.196533203125
875,-3026.10595703125
876,-3025.684814453125
877,-3029.034423828125
878,-3027.95556640625
879,-3028.89306640625
880,-3027.81689453125
881,-3030.3173828125
882,-3027.8427734375
883,-3031.2880859375
884,-3024.972900390625
885,-3027.446044921875
886,-3021.905029296875
887,-3033.15283203125
888,-3024.54443359375
889,-3028.3291015625
890,-3022.3876953125
891,-3028.7080078125
892,-3027.524169921875
893,-3028.0595703125
894,-3030.4599609375
895,-3023.778076171875
896,-3026.426025390625
897,-3024.08544921875
898,-3027.473876953125
899,-3024.78173828125
900,-3024.555419921875
901,-3027.41357421875
902,-3023.90771484375
903,-3029.103759765625
904,-3033.5830078125
905,-3024.696044921875
906,-3023.69677734375
907,-3023.6728515625
908,-3023.4658203125
909,-3031.614990234375
910,-3025.354736328125
911,-3022.347412109375
912,-3024.140869140625
913,-3034.259765625
914,-3027.49951171875
915,-3023.372802734375
916,-3023.67724609375
917,-3023.31884765625
918,-3023.36376953125
919,-3023.464111328125
920,-3023.7685546875
921,-3036.751953125
922,-3027.35986328125
923,-3023.309326171875
924,-3023.357177734375
925,-3030.723876953125
926,-3021.967041015625
927,-3023.285888671875
928,-3023.93994140625
929,-3033.140869140625
930,-3022.51513671875
931,-3027.875732421875
932,-3023.902099609375
933,-3034.81884765625
934,-3022.6357421875
935,-3023.159912109375
936,-3028.173583984375
937,-3021.58544921875
938,-3028.982421875
939,-3023.073974609375
940,-3025.134521484375
941,-3023.83837890625
