,log_likelihood
504,-1811.5430908203125
505,-1812.415283203125
506,-1813.838134765625
507,-1813.5233154296875
508,-1813.7442626953125
509,-1812.712158203125
510,-1813.0994873046875
511,-1814.1322021484375
512,-1814.3641357421875
513,-1812.853271484375
514,-1813.6251220703125
515,-1813.40771484375
516,-1813.5240478515625
517,-1813.283447265625
518,-1811.8822021484375
519,-1813.4322509765625
520,-1813.1884765625
521,-1813.033447265625
522,-1814.077880859375
523,-1813.275146484375
524,-1813.998046875
525,-1813.3919677734375
526,-1814.605712890625
527,-1813.89501953125
528,-1813.7623291015625
529,-1813.52392578125
530,-1813.8553466796875
531,-1813.5770263671875
532,-1815.583251953125
533,-1813.806640625
534,-1811.79541015625
535,-1813.596923828125
536,-1813.562744140625
537,-1813.7255859375
538,-1815.1561279296875
539,-1814.8260498046875
540,-1813.98828125
541,-1813.580810546875
542,-1813.9619140625
543,-1813.466552734375
544,-1811.4298095703125
545,-1811.7789306640625
546,-1814.156494140625
547,-1813.2994384765625
548,-1812.956298828125
549,-1812.9117431640625
550,-1812.502197265625
551,-1813.1734619140625
552,-1810.909423828125
553,-1814.838134765625
554,-1813.7550048828125
555,-1814.568115234375
556,-1817.1224365234375
557,-1813.10400390625
558,-1813.6485595703125
559,-1812.97314453125
560,-1812.735595703125
561,-1813.5028076171875
562,-1812.021728515625
563,-1814.7305908203125
