,log_likelihood
1742,-2964.532958984375
1743,-2964.155029296875
1744,-2962.75537109375
1745,-2961.5830078125
1746,-2962.427734375
1747,-2961.85302734375
1748,-2964.037353515625
1749,-2961.550048828125
1750,-2960.2783203125
1751,-2961.254150390625
1752,-2963.043701171875
1753,-2963.92041015625
1754,-2965.9150390625
1755,-2961.30810546875
1756,-2962.333984375
1757,-2959.276123046875
1758,-2962.96533203125
1759,-2959.06640625
1760,-2960.94970703125
1761,-2963.5361328125
1762,-2962.58203125
1763,-2961.9345703125
1764,-2961.8369140625
1765,-2961.9140625
1766,-2962.13916015625
1767,-2962.40283203125
1768,-2963.1884765625
1769,-2963.23779296875
1770,-2966.666259765625
1771,-2964.57763671875
1772,-2962.0185546875
1773,-2963.06298828125
1774,-2960.27880859375
1775,-2961.42431640625
1776,-2960.7626953125
1777,-2965.61572265625
1778,-2961.919189453125
1779,-2961.90380859375
1780,-2961.69775390625
1781,-2963.044677734375
1782,-2961.10595703125
1783,-2961.096435546875
1784,-2962.8681640625
1785,-2961.79248046875
1786,-2962.466796875
1787,-2962.634521484375
1788,-2961.723388671875
1789,-2963.20751953125
1790,-2961.56103515625
1791,-2964.349609375
1792,-2962.12353515625
1793,-2962.5888671875
1794,-2960.3203125
1795,-2963.0283203125
1796,-2962.46240234375
1797,-2962.43310546875
1798,-2963.263671875
1799,-2961.6025390625
1800,-2968.8583984375
1801,-2964.68603515625
1802,-2960.80078125
1803,-2963.642333984375
1804,-2961.759765625
1805,-2964.483154296875
1806,-2965.66796875
1807,-2963.43701171875
1808,-2961.55029296875
1809,-2961.71533203125
1810,-2960.660888671875
1811,-2963.1630859375
1812,-2962.908203125
1813,-2961.20751953125
1814,-2961.491943359375
1815,-2961.400634765625
1816,-2962.28125
1817,-2962.5107421875
1818,-2964.89892578125
1819,-2961.791748046875
1820,-2962.60009765625
1821,-2961.848876953125
1822,-2963.328857421875
1823,-2965.409423828125
1824,-2962.583984375
1825,-2963.71875
1826,-2962.666015625
1827,-2962.138671875
1828,-2961.56103515625
1829,-2964.384033203125
1830,-2962.487548828125
1831,-2966.56640625
1832,-2961.033447265625
1833,-2963.257568359375
1834,-2963.775634765625
1835,-2963.149169921875
1836,-2965.080078125
1837,-2963.082763671875
1838,-2965.83251953125
1839,-2963.31005859375
1840,-2963.6552734375
1841,-2961.93310546875
1842,-2962.676513671875
1843,-2960.65234375
1844,-2960.984130859375
1845,-2962.07177734375
1846,-2963.640625
1847,-2964.36669921875
1848,-2962.791015625
1849,-2962.9892578125
1850,-2962.4677734375
1851,-2966.568359375
1852,-2965.14697265625
1853,-2963.11474609375
1854,-2959.94091796875
1855,-2961.312255859375
1856,-2963.741943359375
1857,-2963.8251953125
1858,-2960.599853515625
1859,-2959.733642578125
1860,-2961.540283203125
1861,-2962.197998046875
1862,-2960.38037109375
1863,-2964.71435546875
1864,-2960.22705078125
1865,-2962.103759765625
1866,-2962.005615234375
1867,-2963.34228515625
