,log_likelihood
0,-3636.13134765625
1,-3634.7724609375
2,-3633.84765625
3,-3636.1396484375
4,-3634.8896484375
5,-3634.9130859375
6,-3636.371337890625
7,-3634.7314453125
8,-3637.005859375
9,-3636.218505859375
10,-3634.875
11,-3637.8125
12,-3635.7841796875
13,-3636.37353515625
14,-3636.5576171875
15,-3635.89404296875
16,-3636.9736328125
17,-3635.9140625
18,-3635.340576171875
19,-3640.623046875
20,-3638.475341796875
21,-3635.15673828125
22,-3640.01611328125
23,-3639.078857421875
24,-3639.22607421875
25,-3638.86865234375
26,-3634.6640625
27,-3639.6318359375
28,-3637.88427734375
29,-3638.41455078125
30,-3638.70458984375
31,-3636.93896484375
32,-3639.4091796875
33,-3639.839111328125
34,-3636.861328125
35,-3638.1982421875
36,-3637.084228515625
37,-3638.65576171875
38,-3636.11767578125
39,-3636.06103515625
40,-3630.565673828125
41,-3637.57275390625
42,-3633.822265625
43,-3638.276611328125
44,-3636.0146484375
45,-3632.7783203125
46,-3635.8427734375
47,-3636.84130859375
48,-3636.993408203125
49,-3639.57421875
50,-3635.58447265625
51,-3636.130859375
52,-3637.9482421875
53,-3637.354736328125
54,-3636.44189453125
55,-3635.97021484375
56,-3637.7333984375
57,-3634.484375
58,-3634.96923828125
59,-3633.627685546875
60,-3634.44775390625
61,-3636.0439453125
62,-3636.293212890625
63,-3634.95166015625
64,-3634.35546875
65,-3634.645263671875
66,-3633.92431640625
67,-3635.0830078125
68,-3637.076171875
69,-3635.744384765625
70,-3636.7744140625
71,-3637.908203125
72,-3635.28466796875
73,-3634.630126953125
74,-3632.72119140625
75,-3634.109130859375
76,-3639.3623046875
77,-3636.622802734375
78,-3635.7783203125
79,-3638.29833984375
80,-3635.43505859375
81,-3639.4677734375
82,-3638.872314453125
83,-3635.662109375
84,-3638.36865234375
85,-3637.414794921875
86,-3637.88427734375
87,-3638.177734375
88,-3636.880859375
89,-3639.45947265625
90,-3639.576904296875
91,-3637.9599609375
92,-3636.680908203125
93,-3638.54248046875
94,-3638.54296875
95,-3638.6845703125
96,-3636.337158203125
97,-3637.20361328125
98,-3637.16650390625
99,-3636.0703125
100,-3637.20556640625
101,-3638.73876953125
102,-3638.27880859375
103,-3637.147216796875
104,-3636.317626953125
105,-3636.894287109375
106,-3635.023681640625
107,-3636.38720703125
108,-3638.547607421875
109,-3638.77392578125
110,-3637.23974609375
111,-3636.5126953125
112,-3636.478759765625
113,-3637.6650390625
114,-3636.390869140625
115,-3637.3310546875
116,-3637.079345703125
117,-3636.66015625
118,-3636.18115234375
119,-3637.88232421875
120,-3638.123046875
121,-3635.927734375
122,-3637.54638671875
123,-3637.1044921875
124,-3637.18310546875
125,-3639.10107421875
126,-3638.41259765625
127,-3639.189208984375
128,-3639.8037109375
129,-3637.544921875
130,-3637.408447265625
131,-3637.82080078125
132,-3637.6435546875
133,-3639.271240234375
134,-3634.76708984375
135,-3633.54296875
136,-3635.138671875
137,-3632.8466796875
138,-3636.10791015625
139,-3633.61669921875
140,-3633.62109375
141,-3634.60888671875
142,-3635.535400390625
143,-3635.507568359375
144,-3637.255859375
145,-3635.236328125
146,-3638.064208984375
147,-3637.791015625
148,-3635.4765625
149,-3634.271484375
150,-3635.3310546875
151,-3635.24755859375
152,-3642.884765625
153,-3637.7451171875
154,-3637.570556640625
155,-3638.18115234375
156,-3636.528564453125
157,-3641.5810546875
158,-3637.4326171875
159,-3638.43994140625
160,-3636.71044921875
161,-3638.733154296875
162,-3637.91259765625
163,-3637.8544921875
164,-3642.76953125
165,-3639.436279296875
166,-3637.321044921875
167,-3637.939453125
168,-3640.927734375
169,-3641.369140625
170,-3638.10693359375
171,-3633.03515625
172,-3634.32861328125
173,-3636.8349609375
174,-3634.242919921875
175,-3636.984375
176,-3637.146240234375
177,-3635.13037109375
178,-3636.327880859375
179,-3635.1279296875
180,-3633.553466796875
181,-3635.519287109375
182,-3635.47216796875
183,-3636.75634765625
184,-3635.853759765625
185,-3636.9833984375
186,-3637.9150390625
187,-3633.82861328125
188,-3636.866455078125
189,-3638.15576171875
190,-3638.0810546875
191,-3636.803466796875
192,-3637.59033203125
193,-3639.169921875
194,-3637.423095703125
195,-3638.0302734375
196,-3639.00439453125
197,-3638.32666015625
198,-3637.1171875
199,-3638.42919921875
200,-3634.95263671875
201,-3637.02734375
202,-3640.535400390625
203,-3640.829833984375
204,-3637.339111328125
205,-3637.41650390625
206,-3640.3984375
207,-3637.69384765625
208,-3639.3876953125
209,-3636.6689453125
210,-3635.0927734375
211,-3636.96875
212,-3637.697998046875
213,-3636.0654296875
214,-3637.22802734375
215,-3636.080078125
216,-3638.65625
217,-3637.31103515625
218,-3636.90185546875
219,-3635.782958984375
220,-3637.11376953125
221,-3641.6376953125
222,-3637.90478515625
223,-3637.37451171875
224,-3637.888916015625
225,-3638.80859375
226,-3637.556884765625
227,-3637.10986328125
228,-3635.125244140625
229,-3635.44921875
230,-3636.2431640625
231,-3636.041748046875
232,-3638.094970703125
233,-3637.691650390625
234,-3636.29638671875
235,-3638.02783203125
236,-3637.47265625
237,-3635.95556640625
238,-3638.6640625
239,-3637.07666015625
240,-3638.48779296875
241,-3638.9111328125
242,-3637.576904296875
243,-3639.320556640625
244,-3636.177734375
245,-3637.110107421875
246,-3638.76806640625
247,-3637.14111328125
248,-3635.525146484375
249,-3635.975341796875
250,-3637.26220703125
251,-3637.0087890625
252,-3636.163818359375
253,-3636.93896484375
254,-3635.4375
255,-3635.626953125
256,-3636.03955078125
257,-3638.70166015625
258,-3636.87744140625
259,-3641.0751953125
260,-3639.658203125
261,-3635.58154296875
262,-3638.216796875
263,-3636.7900390625
264,-3635.23828125
265,-3641.690673828125
266,-3640.927490234375
267,-3638.919189453125
268,-3639.23291015625
269,-3641.23046875
270,-3641.377685546875
271,-3637.93701171875
272,-3642.04150390625
273,-3639.519775390625
274,-3637.033203125
275,-3643.699951171875
276,-3640.930419921875
277,-3640.595458984375
278,-3645.36328125
279,-3643.73388671875
280,-3640.18408203125
281,-3635.70849609375
282,-3640.001708984375
283,-3640.226806640625
284,-3638.92919921875
285,-3637.84814453125
286,-3636.65283203125
287,-3636.272216796875
288,-3638.72119140625
289,-3636.76806640625
290,-3638.32763671875
291,-3637.67822265625
292,-3636.63427734375
293,-3636.0185546875
294,-3638.052734375
295,-3644.13330078125
296,-3637.824951171875
297,-3639.73291015625
298,-3639.71728515625
299,-3638.2275390625
300,-3639.0390625
301,-3635.62890625
302,-3636.14453125
303,-3637.130859375
304,-3636.4228515625
305,-3635.78369140625
306,-3635.344970703125
307,-3634.84130859375
308,-3637.890869140625
309,-3636.190185546875
310,-3635.804443359375
311,-3638.343994140625
312,-3636.55224609375
313,-3637.893798828125
314,-3635.99365234375
315,-3638.27001953125
316,-3639.3291015625
317,-3637.65087890625
318,-3636.90185546875
319,-3637.699951171875
320,-3636.273681640625
321,-3635.185546875
322,-3637.7353515625
323,-3636.92041015625
324,-3635.44775390625
325,-3636.68212890625
326,-3635.78271484375
327,-3637.7001953125
328,-3638.097900390625
329,-3636.39501953125
330,-3637.8125
331,-3637.2685546875
332,-3636.66455078125
333,-3636.56396484375
334,-3637.153564453125
335,-3638.73388671875
336,-3637.9365234375
337,-3637.3935546875
338,-3637.303466796875
339,-3635.366455078125
340,-3635.7529296875
341,-3635.4296875
342,-3635.17822265625
343,-3637.11669921875
344,-3635.91015625
345,-3636.0126953125
346,-3636.87548828125
347,-3637.73486328125
348,-3637.511474609375
349,-3638.20068359375
350,-3636.74609375
351,-3637.18798828125
352,-3637.09375
353,-3637.415771484375
354,-3637.4658203125
355,-3637.47412109375
356,-3638.9375
357,-3638.748779296875
358,-3636.6748046875
359,-3636.29541015625
360,-3635.6533203125
361,-3634.05126953125
362,-3635.46044921875
363,-3636.235107421875
364,-3634.6123046875
365,-3635.25732421875
366,-3637.8505859375
367,-3635.134765625
368,-3637.0576171875
369,-3635.8388671875
370,-3636.1064453125
371,-3635.306640625
372,-3634.967529296875
373,-3639.05908203125
374,-3637.520751953125
375,-3636.61328125
376,-3638.455078125
377,-3636.21826171875
378,-3637.055908203125
379,-3638.7548828125
380,-3636.81396484375
381,-3635.533447265625
382,-3637.396484375
383,-3637.587890625
384,-3637.52783203125
385,-3636.4833984375
386,-3636.068115234375
387,-3638.3291015625
388,-3636.755126953125
389,-3637.42822265625
390,-3636.509765625
391,-3636.443359375
392,-3639.964111328125
393,-3638.347900390625
394,-3636.408203125
395,-3636.724365234375
396,-3637.98193359375
397,-3636.729248046875
398,-3639.08984375
399,-3636.910888671875
400,-3636.979248046875
401,-3635.48046875
402,-3636.425537109375
403,-3637.41455078125
404,-3635.510009765625
405,-3636.1826171875
406,-3635.916015625
407,-3635.61669921875
408,-3636.71337890625
409,-3637.7158203125
410,-3637.824462890625
411,-3639.89990234375
412,-3638.294921875
413,-3635.754638671875
414,-3635.031982421875
415,-3635.602294921875
416,-3635.451416015625
417,-3638.4833984375
418,-3633.8720703125
419,-3635.7431640625
420,-3635.074462890625
421,-3637.213623046875
422,-3636.04052734375
423,-3636.904541015625
424,-3635.7578125
425,-3637.831787109375
426,-3637.098876953125
427,-3634.827880859375
428,-3636.89892578125
429,-3636.14697265625
430,-3638.625
431,-3637.559814453125
432,-3637.21533203125
433,-3637.5546875
434,-3636.30908203125
435,-3635.1064453125
436,-3636.152099609375
437,-3635.042724609375
438,-3634.89404296875
439,-3634.07177734375
440,-3631.650390625
441,-3637.046875
442,-3633.886474609375
443,-3634.490234375
444,-3636.54248046875
445,-3634.698974609375
446,-3635.74658203125
447,-3635.720703125
448,-3636.50634765625
449,-3634.71826171875
450,-3635.3125
451,-3634.8974609375
452,-3633.589599609375
453,-3639.97412109375
454,-3635.164306640625
455,-3634.635498046875
456,-3641.17529296875
457,-3636.328857421875
458,-3638.6533203125
459,-3640.69287109375
460,-3636.712158203125
461,-3640.3974609375
462,-3638.0478515625
463,-3635.95654296875
464,-3639.525390625
465,-3636.9130859375
466,-3639.22412109375
467,-3640.15087890625
468,-3637.91455078125
469,-3640.968017578125
470,-3638.97119140625
471,-3639.4345703125
472,-3639.84228515625
473,-3634.573974609375
474,-3635.097412109375
475,-3639.279541015625
476,-3636.662109375
477,-3638.208984375
478,-3640.92431640625
479,-3638.3544921875
480,-3640.41650390625
481,-3638.139892578125
482,-3637.548828125
483,-3637.83935546875
484,-3637.153564453125
485,-3640.65234375
486,-3638.874755859375
487,-3637.917724609375
488,-3639.794921875
489,-3639.950927734375
490,-3638.352783203125
491,-3635.992431640625
492,-3634.162109375
493,-3634.973876953125
494,-3636.86376953125
495,-3633.689208984375
496,-3634.494140625
497,-3637.402587890625
498,-3636.4267578125
499,-3637.1923828125
500,-3636.310791015625
501,-3634.147705078125
502,-3636.592041015625
503,-3635.60498046875
504,-3636.8134765625
505,-3637.70751953125
506,-3636.116943359375
507,-3635.913818359375
