,log_likelihood
0,-3077.5380859375
1,-3070.541015625
2,-3076.5791015625
3,-3072.16162109375
4,-3074.64404296875
5,-3073.157470703125
6,-3074.112060546875
7,-3072.8486328125
8,-3074.3720703125
9,-3074.292724609375
10,-3076.0537109375
11,-3072.23828125
12,-3075.58251953125
13,-3073.26123046875
14,-3075.3095703125
15,-3076.00341796875
16,-3074.756591796875
17,-3073.616455078125
18,-3073.72998046875
19,-3073.218505859375
20,-3071.983154296875
21,-3074.697509765625
22,-3074.0576171875
23,-3072.75341796875
24,-3074.36328125
25,-3071.664306640625
26,-3075.8212890625
27,-3074.42919921875
28,-3072.51904296875
29,-3074.67431640625
30,-3075.232177734375
31,-3070.898681640625
32,-3073.68505859375
33,-3074.97998046875
34,-3073.646728515625
35,-3073.3076171875
36,-3071.97705078125
37,-3073.555419921875
38,-3072.49755859375
39,-3074.89794921875
40,-3072.22314453125
41,-3076.705078125
42,-3073.14013671875
43,-3073.675537109375
44,-3076.13037109375
45,-3068.595703125
46,-3074.57958984375
47,-3072.86279296875
48,-3072.520751953125
49,-3075.10400390625
50,-3072.40185546875
51,-3073.279296875
52,-3072.863525390625
53,-3070.91455078125
54,-3072.4638671875
55,-3071.46923828125
56,-3075.967041015625
57,-3074.4755859375
58,-3074.76416015625
59,-3073.591796875
60,-3073.1669921875
61,-3069.85546875
62,-3070.765625
63,-3069.7197265625
64,-3068.64404296875
65,-3069.439453125
66,-3070.97314453125
67,-3070.01904296875
68,-3067.8701171875
69,-3070.090576171875
70,-3071.645751953125
71,-3074.11328125
72,-3073.76904296875
73,-3073.412353515625
74,-3074.3759765625
75,-3073.0400390625
76,-3075.403564453125
77,-3075.711669921875
78,-3073.69921875
79,-3073.499755859375
80,-3071.36865234375
81,-3074.92529296875
82,-3077.2705078125
83,-3073.703369140625
84,-3070.11474609375
85,-3071.654052734375
86,-3069.26904296875
87,-3069.80126953125
88,-3068.424560546875
89,-3070.7314453125
90,-3070.024658203125
91,-3069.8203125
92,-3069.61572265625
93,-3071.13916015625
94,-3069.41796875
95,-3069.6142578125
96,-3071.69580078125
97,-3069.3974609375
98,-3070.87451171875
99,-3067.05419921875
100,-3070.8466796875
101,-3075.072021484375
102,-3073.806640625
103,-3071.964111328125
104,-3073.922119140625
105,-3075.66455078125
106,-3073.2060546875
107,-3070.37744140625
108,-3071.86669921875
109,-3071.465087890625
110,-3074.7001953125
111,-3074.6962890625
112,-3071.9814453125
113,-3077.853515625
114,-3072.5966796875
115,-3071.537353515625
116,-3072.83447265625
117,-3076.232421875
118,-3072.801513671875
119,-3072.09619140625
120,-3073.82763671875
121,-3076.421630859375
122,-3071.59619140625
123,-3072.6845703125
124,-3071.85986328125
125,-3072.776611328125
126,-3076.66650390625
127,-3075.190673828125
128,-3075.5068359375
129,-3076.3369140625
130,-3072.92333984375
131,-3072.93994140625
132,-3073.08642578125
133,-3073.98193359375
134,-3073.00048828125
135,-3073.0498046875
136,-3072.75537109375
137,-3074.455810546875
138,-3072.353759765625
139,-3072.88232421875
140,-3069.97607421875
141,-3070.7373046875
142,-3072.7880859375
143,-3073.06201171875
144,-3074.81396484375
145,-3074.192626953125
146,-3073.2412109375
147,-3075.296875
148,-3074.99658203125
149,-3071.0322265625
150,-3074.44580078125
151,-3073.10546875
152,-3075.2138671875
153,-3074.192138671875
154,-3072.863525390625
155,-3073.43359375
156,-3073.41796875
157,-3073.731201171875
158,-3072.638671875
159,-3072.530517578125
160,-3075.517578125
161,-3074.59423828125
162,-3073.4033203125
163,-3072.76220703125
164,-3069.34814453125
165,-3074.195068359375
166,-3071.352294921875
167,-3074.31396484375
168,-3074.544921875
169,-3073.2998046875
170,-3074.6865234375
171,-3071.916259765625
172,-3073.162841796875
173,-3069.801513671875
174,-3073.5322265625
175,-3077.020751953125
176,-3072.81591796875
177,-3075.628173828125
178,-3073.085205078125
179,-3073.615966796875
180,-3074.596923828125
181,-3072.781005859375
182,-3072.76953125
183,-3073.2529296875
184,-3073.987060546875
185,-3074.02978515625
186,-3072.6865234375
187,-3073.85986328125
188,-3073.213623046875
189,-3071.52392578125
190,-3076.462646484375
191,-3073.955078125
192,-3073.804931640625
193,-3072.80322265625
194,-3074.634033203125
195,-3073.279296875
196,-3075.132080078125
197,-3074.3798828125
198,-3073.88720703125
199,-3072.6357421875
200,-3072.6728515625
201,-3074.9521484375
202,-3073.831787109375
203,-3077.12841796875
204,-3073.8505859375
205,-3074.892333984375
206,-3074.385498046875
207,-3070.0478515625
208,-3073.97265625
209,-3072.4189453125
210,-3074.53369140625
211,-3074.268310546875
212,-3073.6279296875
213,-3072.767578125
214,-3072.537109375
215,-3072.0078125
216,-3072.5771484375
217,-3075.70947265625
218,-3074.54248046875
219,-3074.212890625
220,-3071.830322265625
221,-3071.716796875
222,-3072.76904296875
223,-3073.7685546875
224,-3072.941162109375
225,-3073.42626953125
226,-3071.702880859375
227,-3074.30810546875
228,-3074.40673828125
229,-3072.441650390625
230,-3076.87744140625
231,-3073.802734375
232,-3073.44580078125
233,-3070.499267578125
234,-3069.98095703125
235,-3070.80126953125
236,-3072.54541015625
237,-3070.85791015625
238,-3071.701171875
239,-3070.55224609375
240,-3071.421875
241,-3072.959716796875
242,-3075.6455078125
243,-3072.048828125
244,-3071.685302734375
245,-3076.9677734375
246,-3073.14404296875
247,-3075.31005859375
248,-3074.789794921875
249,-3076.309814453125
250,-3074.752197265625
251,-3072.78125
252,-3075.427978515625
253,-3071.0927734375
254,-3072.02294921875
255,-3075.12109375
256,-3074.86083984375
257,-3076.47314453125
258,-3074.11572265625
259,-3073.7197265625
260,-3074.8203125
261,-3075.75439453125
262,-3073.30322265625
263,-3073.37744140625
264,-3072.5478515625
265,-3074.3515625
266,-3071.7255859375
267,-3075.687744140625
268,-3072.857421875
269,-3074.173828125
270,-3072.80322265625
271,-3071.12109375
272,-3075.749755859375
273,-3074.906494140625
274,-3074.571044921875
275,-3074.989501953125
276,-3074.99169921875
277,-3074.5693359375
278,-3074.2041015625
279,-3074.3388671875
280,-3077.0478515625
281,-3074.06640625
282,-3074.420654296875
283,-3074.206787109375
284,-3070.68310546875
285,-3070.816162109375
286,-3073.3349609375
287,-3071.7333984375
288,-3073.84521484375
289,-3071.56982421875
290,-3073.78662109375
291,-3074.1220703125
292,-3071.4453125
293,-3073.123046875
294,-3074.614990234375
295,-3074.784423828125
296,-3074.802734375
297,-3073.85302734375
298,-3076.51806640625
299,-3075.580078125
300,-3071.373779296875
301,-3074.75634765625
302,-3075.791015625
303,-3073.577392578125
304,-3075.005615234375
305,-3072.03955078125
306,-3076.66552734375
307,-3073.267578125
308,-3076.7177734375
309,-3077.51708984375
310,-3075.49658203125
311,-3077.391845703125
312,-3071.303466796875
313,-3074.927978515625
314,-3074.90087890625
315,-3072.9423828125
316,-3073.954345703125
317,-3072.6533203125
318,-3071.03271484375
319,-3073.3583984375
320,-3078.052734375
321,-3073.5458984375
322,-3073.13671875
323,-3073.59912109375
324,-3075.575439453125
325,-3074.6181640625
326,-3072.46875
327,-3073.98388671875
328,-3073.430908203125
329,-3073.07666015625
330,-3074.1279296875
331,-3073.693359375
332,-3070.418212890625
333,-3075.154052734375
334,-3070.799560546875
335,-3074.41162109375
336,-3070.705078125
337,-3072.7412109375
338,-3068.53662109375
339,-3073.13232421875
340,-3071.542236328125
341,-3069.720703125
342,-3072.734130859375
343,-3072.207275390625
344,-3072.09716796875
345,-3072.0576171875
346,-3072.185791015625
347,-3074.73291015625
348,-3073.638671875
349,-3072.883056640625
350,-3075.20263671875
351,-3070.606689453125
352,-3072.26416015625
353,-3073.144775390625
354,-3074.4462890625
355,-3073.699462890625
356,-3073.797119140625
357,-3072.35498046875
358,-3073.251953125
359,-3071.0869140625
360,-3073.2021484375
361,-3073.50537109375
362,-3076.64306640625
363,-3073.47509765625
364,-3073.076416015625
365,-3076.41943359375
366,-3072.991455078125
367,-3072.924072265625
368,-3071.815185546875
369,-3071.568115234375
370,-3071.98583984375
371,-3071.98095703125
372,-3072.44091796875
373,-3071.05712890625
374,-3071.73779296875
375,-3071.81689453125
376,-3070.45751953125
377,-3072.04248046875
378,-3071.0078125
379,-3072.667236328125
380,-3073.8271484375
381,-3070.97705078125
382,-3072.5068359375
383,-3070.1494140625
384,-3073.423828125
385,-3070.529296875
386,-3074.00390625
387,-3071.7939453125
388,-3074.56982421875
389,-3073.9169921875
390,-3071.328857421875
391,-3071.4404296875
392,-3070.935791015625
393,-3074.04296875
394,-3073.32275390625
395,-3072.86474609375
396,-3073.94189453125
397,-3073.656005859375
398,-3071.4013671875
399,-3075.219970703125
400,-3074.65185546875
401,-3072.7412109375
402,-3076.251953125
403,-3072.45263671875
404,-3073.18798828125
405,-3074.3662109375
406,-3074.029052734375
407,-3072.922607421875
408,-3076.36376953125
409,-3074.01806640625
410,-3073.196044921875
411,-3072.391845703125
412,-3071.145751953125
413,-3071.6142578125
414,-3073.105224609375
415,-3072.740966796875
416,-3072.37109375
417,-3073.6904296875
418,-3071.36767578125
419,-3072.8994140625
420,-3073.095703125
421,-3073.588623046875
422,-3071.97509765625
423,-3075.488525390625
424,-3073.011474609375
425,-3069.40283203125
426,-3075.080078125
427,-3073.39208984375
428,-3076.282470703125
429,-3071.01416015625
430,-3075.113037109375
431,-3073.0517578125
432,-3073.76904296875
433,-3073.59033203125
434,-3074.017822265625
435,-3075.08984375
436,-3073.03515625
437,-3073.75634765625
438,-3074.595947265625
439,-3073.457763671875
440,-3072.41015625
441,-3075.4150390625
442,-3072.56103515625
443,-3071.5625
444,-3073.03857421875
445,-3072.1513671875
446,-3072.241943359375
447,-3073.902587890625
448,-3071.4521484375
449,-3073.66943359375
450,-3073.1591796875
451,-3071.86474609375
452,-3072.995361328125
453,-3072.5771484375
454,-3074.875732421875
455,-3072.893310546875
456,-3072.8349609375
457,-3072.995361328125
458,-3074.818359375
459,-3071.633056640625
460,-3075.005615234375
461,-3072.6865234375
462,-3072.9599609375
463,-3076.30615234375
464,-3072.8115234375
465,-3071.3359375
466,-3073.86767578125
467,-3075.2587890625
468,-3074.3369140625
469,-3072.078125
470,-3070.70947265625
471,-3074.24658203125
472,-3074.15087890625
473,-3073.2119140625
474,-3073.88525390625
475,-3070.79833984375
476,-3073.548095703125
477,-3074.917724609375
478,-3070.3740234375
479,-3071.73291015625
480,-3073.552001953125
481,-3073.60400390625
482,-3069.47314453125
483,-3073.12744140625
484,-3071.58056640625
485,-3074.540283203125
486,-3074.70703125
487,-3073.443603515625
488,-3074.62841796875
489,-3074.28564453125
490,-3072.55859375
491,-3076.5849609375
492,-3075.19384765625
493,-3073.45556640625
494,-3070.35546875
495,-3073.27783203125
496,-3071.228515625
497,-3071.2568359375
498,-3075.0703125
499,-3069.2978515625
500,-3073.74658203125
501,-3072.3935546875
502,-3069.6279296875
503,-3073.08837890625
504,-3070.51806640625
505,-3072.860107421875
506,-3073.9677734375
507,-3073.08984375
