,log_likelihood
0,-358.4630126953125
1,-357.7623291015625
2,-357.53546142578125
3,-357.8023681640625
4,-358.08251953125
5,-357.5416259765625
6,-358.22930908203125
7,-358.70654296875
8,-356.67767333984375
9,-359.7653503417969
10,-359.1618347167969
11,-356.8518981933594
12,-357.6600036621094
13,-356.3417663574219
14,-358.15380859375
15,-358.91265869140625
16,-358.24761962890625
17,-357.48822021484375
18,-356.36151123046875
19,-357.28302001953125
20,-355.6602783203125
21,-356.8712463378906
22,-356.2414245605469
23,-354.81146240234375
24,-355.7904052734375
25,-356.7264404296875
26,-354.8354187011719
27,-356.1880798339844
28,-356.1796875
29,-355.75067138671875
30,-355.931640625
31,-356.21319580078125
32,-355.7655029296875
33,-355.5382080078125
34,-357.03466796875
35,-356.78887939453125
36,-356.9801025390625
37,-356.93072509765625
38,-354.6751708984375
39,-355.9619140625
40,-357.64373779296875
41,-356.65765380859375
42,-355.0575866699219
43,-358.8848571777344
44,-356.2457275390625
45,-356.5528564453125
46,-357.532470703125
47,-357.64727783203125
48,-354.9804992675781
49,-359.19500732421875
50,-359.5276794433594
51,-357.0084533691406
52,-356.61822509765625
53,-353.26214599609375
54,-356.345947265625
55,-355.59161376953125
56,-358.7140808105469
57,-357.6578369140625
58,-358.6513671875
59,-357.334716796875
60,-356.00885009765625
61,-359.321044921875
62,-355.9102783203125
63,-354.6428527832031
64,-357.7117919921875
65,-357.368896484375
66,-358.1722412109375
67,-358.9804992675781
68,-355.9013671875
69,-356.0553894042969
70,-355.7633056640625
71,-356.42218017578125
72,-358.14947509765625
73,-355.0265808105469
74,-355.3772888183594
75,-358.19439697265625
76,-356.382080078125
77,-355.1739501953125
78,-355.2961730957031
79,-356.8332824707031
80,-355.61199951171875
81,-354.40032958984375
82,-356.7873229980469
83,-358.34051513671875
84,-354.90399169921875
85,-358.76837158203125
86,-352.16888427734375
87,-358.4920349121094
88,-355.28741455078125
89,-354.8888854980469
90,-359.3910827636719
91,-354.2854309082031
92,-355.33819580078125
93,-357.43658447265625
94,-356.5841064453125
95,-355.414794921875
96,-360.01226806640625
97,-358.50250244140625
98,-357.2947692871094
99,-357.5304870605469
100,-356.2148132324219
101,-354.53045654296875
102,-356.6236572265625
103,-357.65191650390625
104,-358.23883056640625
105,-356.33331298828125
106,-355.99609375
107,-358.56787109375
108,-359.88165283203125
109,-356.18817138671875
110,-357.8491516113281
111,-358.377197265625
112,-357.69439697265625
113,-358.2594299316406
114,-357.3562316894531
115,-358.48651123046875
116,-356.108642578125
117,-355.8276672363281
118,-358.33465576171875
119,-356.6849670410156
120,-356.88385009765625
121,-358.03594970703125
122,-357.8514404296875
123,-357.9029846191406
124,-356.2823486328125
125,-355.142822265625
126,-353.9693298339844
127,-356.3360595703125
128,-356.69732666015625
129,-358.56622314453125
130,-358.1380310058594
131,-359.45074462890625
132,-355.18609619140625
133,-359.163818359375
134,-355.35699462890625
135,-355.7861328125
136,-354.5483093261719
137,-356.375732421875
138,-357.7224426269531
139,-354.38330078125
140,-357.67242431640625
141,-358.0079345703125
142,-357.10247802734375
143,-357.2904968261719
144,-357.6080627441406
145,-360.4420471191406
146,-357.3682861328125
147,-357.5741882324219
148,-356.91668701171875
149,-355.9078674316406
150,-355.401611328125
151,-360.53564453125
152,-354.9098205566406
153,-354.0986633300781
154,-356.8446960449219
155,-354.776611328125
156,-356.886474609375
157,-356.5911865234375
158,-355.9508056640625
159,-355.40203857421875
160,-356.16796875
161,-357.7535095214844
162,-356.1318359375
163,-355.63104248046875
164,-355.13812255859375
165,-356.4215087890625
166,-355.1578369140625
167,-356.9101257324219
168,-354.08551025390625
169,-356.63372802734375
170,-357.5442199707031
171,-357.1046447753906
172,-357.4464111328125
173,-357.9261474609375
174,-357.68231201171875
175,-359.38836669921875
176,-356.7738037109375
177,-358.17340087890625
178,-358.4749755859375
179,-359.7835693359375
180,-356.2803955078125
181,-357.7309875488281
182,-357.9864196777344
183,-357.9306640625
184,-358.312744140625
185,-358.5415344238281
186,-357.603515625
187,-358.9969482421875
188,-358.05877685546875
189,-355.5411071777344
190,-355.28173828125
