,log_likelihood
0,-2229.541015625
1,-2227.7890625
2,-2228.69384765625
3,-2229.8056640625
4,-2229.099365234375
5,-2228.837890625
6,-2228.54833984375
7,-2227.92529296875
8,-2229.82470703125
9,-2228.94775390625
10,-2228.80322265625
11,-2228.28515625
12,-2229.826416015625
13,-2228.093505859375
14,-2227.8310546875
15,-2230.0537109375
16,-2229.775390625
17,-2227.8369140625
18,-2227.45068359375
19,-2228.820068359375
20,-2229.857421875
21,-2227.1591796875
22,-2228.86572265625
23,-2227.96044921875
24,-2227.76318359375
25,-2229.531982421875
26,-2228.959716796875
27,-2227.99853515625
28,-2227.737548828125
29,-2228.537109375
30,-2231.49951171875
31,-2230.02880859375
32,-2228.80615234375
33,-2230.61962890625
34,-2227.4033203125
35,-2229.54150390625
36,-2227.85302734375
37,-2227.7685546875
38,-2226.68798828125
39,-2229.103515625
40,-2227.68017578125
41,-2228.037353515625
42,-2229.04638671875
43,-2228.65673828125
44,-2230.617919921875
45,-2228.331298828125
46,-2230.383056640625
47,-2231.602294921875
48,-2228.825439453125
49,-2230.7451171875
50,-2229.644287109375
51,-2228.701171875
52,-2228.73974609375
53,-2230.22265625
54,-2228.796875
55,-2228.5517578125
56,-2230.52001953125
57,-2231.6025390625
58,-2228.337890625
59,-2229.8701171875
60,-2229.98291015625
61,-2228.57177734375
62,-2228.492431640625
63,-2227.980712890625
64,-2228.301025390625
65,-2227.8193359375
66,-2229.7451171875
67,-2230.139892578125
68,-2228.399658203125
69,-2229.19384765625
70,-2228.83154296875
71,-2229.87109375
72,-2228.90185546875
73,-2229.43505859375
74,-2228.88232421875
75,-2231.42041015625
76,-2231.40478515625
77,-2229.087158203125
78,-2229.80908203125
79,-2229.53271484375
80,-2226.71142578125
81,-2231.962890625
82,-2230.42236328125
83,-2230.70068359375
84,-2228.203369140625
85,-2229.564697265625
86,-2229.001708984375
87,-2228.376708984375
88,-2229.6162109375
89,-2229.770263671875
90,-2229.09326171875
91,-2229.2109375
92,-2227.81640625
93,-2228.76611328125
94,-2227.734375
95,-2228.008056640625
96,-2228.770751953125
97,-2228.801025390625
98,-2229.0205078125
99,-2230.593017578125
100,-2229.65478515625
101,-2229.35302734375
102,-2228.1396484375
103,-2232.038818359375
104,-2230.77294921875
105,-2229.625732421875
106,-2227.70068359375
107,-2228.30517578125
108,-2229.587890625
109,-2228.228515625
110,-2229.49267578125
111,-2229.546630859375
112,-2228.0791015625
113,-2228.2822265625
114,-2225.8955078125
115,-2229.214111328125
116,-2233.19287109375
117,-2228.12158203125
118,-2228.600341796875
119,-2229.357421875
120,-2230.737060546875
121,-2228.887451171875
122,-2227.323486328125
123,-2229.26904296875
124,-2232.11181640625
125,-2229.8759765625
