,log_likelihood
1364,-2719.4951171875
1365,-2722.71240234375
1366,-2724.8701171875
1367,-2720.857421875
1368,-2719.56396484375
1369,-2722.5576171875
1370,-2719.29541015625
1371,-2719.320556640625
1372,-2718.3984375
1373,-2719.85595703125
1374,-2721.609375
1375,-2719.31103515625
1376,-2717.86865234375
1377,-2721.146484375
1378,-2722.314208984375
1379,-2721.334716796875
1380,-2719.08740234375
1381,-2722.457763671875
1382,-2722.143310546875
1383,-2721.187255859375
1384,-2720.0791015625
1385,-2719.83056640625
1386,-2719.38427734375
1387,-2727.15576171875
1388,-2718.5576171875
1389,-2722.5791015625
1390,-2720.79443359375
1391,-2724.642333984375
1392,-2726.321533203125
1393,-2722.75048828125
1394,-2719.33447265625
1395,-2720.2060546875
1396,-2720.32470703125
1397,-2725.79443359375
1398,-2719.2978515625
1399,-2715.125244140625
1400,-2725.345703125
1401,-2722.23876953125
1402,-2720.33251953125
1403,-2718.076171875
1404,-2719.83349609375
1405,-2720.295654296875
1406,-2718.296875
1407,-2720.0498046875
1408,-2722.7607421875
1409,-2719.724609375
1410,-2717.73291015625
1411,-2717.29443359375
1412,-2721.69775390625
1413,-2717.62451171875
1414,-2721.41162109375
1415,-2720.86474609375
1416,-2723.003662109375
1417,-2721.541015625
1418,-2720.746826171875
1419,-2719.08544921875
1420,-2718.810546875
1421,-2723.616943359375
1422,-2722.44775390625
1423,-2721.4404296875
1424,-2716.24072265625
1425,-2717.71728515625
1426,-2722.763916015625
1427,-2719.07177734375
1428,-2721.2490234375
1429,-2718.140380859375
1430,-2718.26318359375
1431,-2723.28271484375
1432,-2721.1240234375
1433,-2718.722900390625
1434,-2722.076171875
1435,-2720.85888671875
1436,-2718.58740234375
1437,-2717.19921875
1438,-2720.20458984375
1439,-2717.09521484375
1440,-2727.0791015625
1441,-2720.809814453125
1442,-2718.33740234375
1443,-2721.52587890625
1444,-2726.276123046875
1445,-2721.133544921875
1446,-2719.727294921875
1447,-2722.2705078125
1448,-2720.354736328125
1449,-2721.8701171875
1450,-2720.4052734375
1451,-2720.0283203125
1452,-2718.7236328125
1453,-2722.89599609375
1454,-2720.14697265625
1455,-2715.76416015625
1456,-2722.138427734375
1457,-2719.9501953125
1458,-2719.486083984375
1459,-2715.741455078125
1460,-2720.45849609375
1461,-2722.14208984375
1462,-2721.14697265625
1463,-2719.74853515625
1464,-2718.08251953125
1465,-2716.931640625
1466,-2721.97021484375
1467,-2717.8515625
1468,-2719.73583984375
1469,-2719.595458984375
1470,-2722.99462890625
1471,-2722.8427734375
1472,-2719.1630859375
1473,-2716.987548828125
1474,-2719.017822265625
1475,-2723.7958984375
1476,-2718.260009765625
1477,-2721.98779296875
1478,-2722.060546875
1479,-2720.167236328125
1480,-2719.11181640625
1481,-2716.382080078125
1482,-2724.94970703125
1483,-2720.5556640625
1484,-2718.21875
1485,-2721.468994140625
1486,-2721.36181640625
1487,-2721.11279296875
1488,-2722.72607421875
1489,-2720.662109375
