,log_likelihood
942,-2687.6865234375
943,-2688.849853515625
944,-2691.584228515625
945,-2693.283203125
946,-2684.653076171875
947,-2688.270751953125
948,-2692.51123046875
949,-2695.3818359375
950,-2689.0810546875
951,-2693.7890625
952,-2689.904541015625
953,-2688.481689453125
954,-2682.01806640625
955,-2697.383056640625
956,-2697.015869140625
957,-2691.693359375
958,-2695.93896484375
959,-2698.263671875
960,-2688.31005859375
961,-2698.1484375
962,-2693.4755859375
963,-2692.171875
964,-2694.990234375
965,-2694.3427734375
966,-2698.33642578125
967,-2692.489501953125
968,-2705.61083984375
969,-2697.96142578125
970,-2688.486572265625
971,-2686.60009765625
972,-2691.94482421875
973,-2701.73828125
974,-2689.248046875
975,-2702.525146484375
976,-2682.51171875
977,-2698.605712890625
978,-2698.6669921875
979,-2692.709716796875
980,-2690.8408203125
981,-2693.452392578125
982,-2680.90966796875
983,-2692.37109375
984,-2689.544921875
985,-2691.482421875
