,log_likelihood
1616,-2904.451416015625
1617,-2909.1728515625
1618,-2907.41845703125
1619,-2911.962646484375
1620,-2902.08056640625
1621,-2914.245361328125
1622,-2918.644775390625
1623,-2906.277587890625
1624,-2910.96728515625
1625,-2918.71826171875
1626,-2917.828369140625
1627,-2897.3212890625
1628,-2916.32421875
1629,-2910.112548828125
1630,-2908.1767578125
1631,-2912.091064453125
1632,-2909.9580078125
1633,-2915.6142578125
1634,-2918.73583984375
1635,-2913.69677734375
1636,-2904.810546875
1637,-2908.716796875
1638,-2917.260009765625
1639,-2910.0390625
1640,-2909.265625
1641,-2909.62841796875
1642,-2909.8759765625
1643,-2909.59716796875
1644,-2912.395751953125
1645,-2912.7783203125
1646,-2909.93603515625
1647,-2906.24267578125
1648,-2920.6474609375
1649,-2902.04150390625
1650,-2908.310302734375
1651,-2906.6064453125
1652,-2911.4375
1653,-2909.48486328125
1654,-2928.94580078125
1655,-2909.846435546875
1656,-2915.56201171875
1657,-2915.138671875
1658,-2912.072265625
1659,-2907.267822265625
1660,-2912.16455078125
1661,-2912.507568359375
1662,-2916.04541015625
1663,-2908.48583984375
1664,-2906.919189453125
1665,-2913.735595703125
1666,-2915.11328125
1667,-2903.465087890625
1668,-2963.0361328125
1669,-2919.883544921875
1670,-2920.48828125
1671,-2915.71923828125
1672,-2924.533935546875
1673,-2917.0537109375
1674,-2920.17822265625
1675,-2913.265869140625
1676,-2913.98388671875
1677,-2913.964599609375
1678,-2920.3427734375
1679,-2904.6357421875
1680,-2905.357421875
1681,-2915.735107421875
1682,-2906.43310546875
1683,-2905.429443359375
1684,-2909.13818359375
1685,-2923.125244140625
1686,-2905.682373046875
1687,-2910.695556640625
1688,-2916.537841796875
1689,-2919.4677734375
1690,-2912.093017578125
1691,-2923.0205078125
1692,-2906.0478515625
1693,-2922.27001953125
1694,-2902.64404296875
1695,-2912.985107421875
1696,-2923.562744140625
1697,-2919.33203125
1698,-2917.62841796875
1699,-2912.04150390625
1700,-2901.0859375
1701,-2918.3369140625
1702,-2953.039794921875
1703,-2911.576171875
1704,-2915.8671875
1705,-2908.96142578125
1706,-2960.68115234375
1707,-2917.76904296875
1708,-2912.488037109375
1709,-2909.13427734375
1710,-2919.999267578125
1711,-2896.419921875
1712,-2915.7841796875
1713,-2903.20703125
1714,-2913.307373046875
1715,-2908.967041015625
1716,-2905.3369140625
1717,-2908.8310546875
1718,-2920.26806640625
1719,-2913.66748046875
1720,-2907.5986328125
1721,-2934.41748046875
1722,-2906.5439453125
1723,-2914.98193359375
1724,-2907.341796875
1725,-2927.2734375
1726,-2905.9833984375
1727,-2914.2783203125
1728,-2907.15673828125
1729,-2918.295654296875
1730,-2913.14501953125
1731,-2902.62646484375
1732,-2908.015625
1733,-2915.869873046875
1734,-2910.91259765625
1735,-2916.646484375
1736,-2921.8095703125
1737,-2912.02880859375
1738,-2923.30419921875
1739,-2919.205322265625
1740,-2911.48291015625
1741,-2929.951171875
