,log_likelihood
690,-459.04742431640625
691,-465.29449462890625
692,-459.61700439453125
693,-457.09716796875
694,-460.2041015625
695,-457.0517883300781
696,-464.15045166015625
697,-458.8884582519531
698,-457.9732666015625
699,-460.186767578125
700,-456.173583984375
701,-457.55462646484375
702,-457.5368957519531
703,-456.32696533203125
704,-459.75347900390625
705,-457.8962707519531
706,-457.41876220703125
707,-459.9065856933594
708,-458.15576171875
709,-459.8731689453125
710,-459.313720703125
711,-458.5390625
712,-457.2989196777344
713,-459.60711669921875
714,-460.07562255859375
715,-458.333984375
716,-455.7799072265625
717,-458.4729919433594
718,-457.3663330078125
719,-458.52276611328125
720,-464.828857421875
721,-455.9947814941406
722,-456.0137634277344
723,-458.7859802246094
724,-460.19635009765625
725,-456.48052978515625
726,-456.912109375
727,-459.1432800292969
728,-459.1297607421875
729,-456.4004821777344
730,-457.4779357910156
731,-458.8743896484375
732,-454.7879333496094
733,-456.34930419921875
734,-453.89508056640625
735,-457.2091064453125
736,-459.1113586425781
737,-458.3634338378906
738,-457.83154296875
739,-456.446044921875
740,-458.55499267578125
741,-460.4857482910156
742,-457.7190856933594
743,-459.53472900390625
744,-462.294677734375
745,-458.2181396484375
746,-463.13055419921875
747,-464.89300537109375
748,-458.12603759765625
749,-463.96551513671875
750,-458.16558837890625
751,-458.298828125
752,-460.18231201171875
753,-460.6842346191406
754,-455.4403991699219
755,-455.9144287109375
756,-457.4068908691406
757,-458.7019958496094
758,-457.9635009765625
759,-458.6989440917969
760,-457.375732421875
761,-461.22491455078125
762,-458.40447998046875
763,-458.2708740234375
764,-456.42181396484375
765,-458.86090087890625
766,-460.7928466796875
767,-457.96246337890625
768,-455.81103515625
769,-455.602783203125
770,-464.162353515625
771,-458.10760498046875
772,-455.68896484375
773,-455.9948425292969
774,-458.4967346191406
775,-458.80712890625
776,-457.7073974609375
777,-459.98138427734375
778,-456.6180419921875
779,-459.9746398925781
780,-458.95599365234375
781,-456.46368408203125
782,-460.87457275390625
783,-459.1513671875
784,-458.93109130859375
785,-456.7425231933594
786,-459.1548767089844
787,-458.3875732421875
788,-457.8660888671875
789,-455.26312255859375
790,-458.20135498046875
791,-457.55072021484375
792,-457.1266174316406
793,-455.4416809082031
794,-457.89111328125
795,-458.42236328125
796,-459.59063720703125
797,-459.556396484375
798,-457.96356201171875
799,-459.1761169433594
800,-459.60009765625
801,-456.824951171875
802,-459.8511962890625
803,-456.2012939453125
804,-458.1302490234375
805,-460.1888732910156
806,-460.55889892578125
807,-456.73095703125
808,-456.0775146484375
809,-457.58984375
810,-459.0380859375
811,-454.9474182128906
812,-458.51177978515625
813,-460.03424072265625
814,-457.15264892578125
815,-459.2467041015625
