,log_likelihood
0,-2296.683837890625
1,-2296.274169921875
2,-2292.3671875
3,-2300.97021484375
4,-2295.8486328125
5,-2295.66748046875
6,-2299.1611328125
7,-2294.6708984375
8,-2294.5068359375
9,-2290.630859375
10,-2297.63623046875
11,-2294.44677734375
12,-2297.47509765625
13,-2299.46142578125
14,-2293.380615234375
15,-2298.9609375
16,-2293.925537109375
17,-2298.19775390625
18,-2292.813232421875
19,-2291.8984375
20,-2293.05810546875
21,-2292.140625
22,-2290.646484375
23,-2294.0693359375
24,-2294.909912109375
25,-2285.70361328125
26,-2292.21728515625
27,-2291.26171875
28,-2291.548828125
29,-2292.579833984375
30,-2294.095703125
31,-2292.478759765625
32,-2289.87451171875
33,-2297.10400390625
34,-2292.671875
35,-2287.474853515625
36,-2297.203125
37,-2299.311279296875
38,-2291.6689453125
39,-2289.736083984375
40,-2292.339111328125
41,-2297.674072265625
42,-2297.687744140625
43,-2298.679931640625
44,-2296.692138671875
45,-2298.1845703125
46,-2292.65771484375
47,-2292.7041015625
48,-2296.78955078125
49,-2298.7412109375
50,-2295.856689453125
51,-2296.74755859375
52,-2297.82275390625
53,-2294.5263671875
54,-2292.698486328125
55,-2293.9267578125
56,-2291.910888671875
57,-2295.198486328125
58,-2296.9716796875
59,-2292.638916015625
60,-2293.11376953125
61,-2296.143310546875
62,-2293.181884765625
63,-2294.5322265625
64,-2295.0927734375
65,-2297.153076171875
66,-2297.07177734375
67,-2294.38134765625
68,-2291.928466796875
69,-2297.6552734375
70,-2291.27294921875
71,-2297.89404296875
72,-2297.0400390625
73,-2293.79541015625
74,-2294.736572265625
75,-2293.3974609375
76,-2297.63525390625
77,-2293.724853515625
78,-2295.557861328125
79,-2293.80224609375
80,-2294.96142578125
81,-2297.423828125
82,-2297.5517578125
83,-2293.6494140625
84,-2295.13427734375
85,-2292.24658203125
86,-2295.0205078125
87,-2291.3994140625
88,-2296.19970703125
89,-2294.4716796875
90,-2297.6318359375
91,-2293.247314453125
92,-2294.122802734375
93,-2293.96728515625
94,-2294.706298828125
95,-2293.021240234375
96,-2294.507080078125
97,-2295.3525390625
98,-2301.8955078125
99,-2298.102783203125
100,-2293.8779296875
101,-2293.561767578125
102,-2293.880126953125
103,-2295.71923828125
104,-2290.014892578125
105,-2293.982666015625
106,-2295.002685546875
107,-2293.974365234375
108,-2297.881591796875
109,-2293.71728515625
110,-2292.5029296875
111,-2294.14599609375
112,-2293.906982421875
113,-2296.51416015625
114,-2298.15625
115,-2301.170166015625
116,-2302.88134765625
117,-2297.720703125
118,-2298.487060546875
119,-2294.15087890625
120,-2297.35986328125
121,-2294.400146484375
122,-2300.591064453125
123,-2293.84228515625
124,-2295.835205078125
125,-2296.63525390625
126,-2297.9482421875
127,-2296.33740234375
128,-2301.736083984375
129,-2296.30517578125
130,-2296.0791015625
131,-2302.74853515625
132,-2295.8427734375
133,-2292.57080078125
134,-2294.1044921875
135,-2295.125732421875
136,-2296.6728515625
137,-2293.48095703125
138,-2295.92333984375
139,-2292.35009765625
140,-2292.916748046875
141,-2296.687255859375
142,-2292.59130859375
143,-2294.595458984375
144,-2297.283203125
145,-2296.3154296875
146,-2298.3515625
147,-2293.59912109375
148,-2297.384033203125
149,-2298.4921875
150,-2300.31298828125
151,-2301.490234375
152,-2296.255859375
153,-2288.79248046875
154,-2295.24951171875
155,-2294.11669921875
156,-2292.796142578125
157,-2291.369140625
158,-2296.5908203125
159,-2295.759033203125
160,-2297.21923828125
161,-2293.65234375
162,-2296.51123046875
163,-2294.6455078125
164,-2299.37841796875
165,-2294.97314453125
166,-2297.1396484375
167,-2295.3671875
168,-2295.73046875
169,-2299.65576171875
170,-2296.90869140625
171,-2297.0263671875
172,-2290.099609375
173,-2297.14599609375
174,-2293.810546875
175,-2293.54443359375
176,-2298.67138671875
177,-2293.837890625
178,-2295.727294921875
179,-2292.351318359375
180,-2297.884521484375
181,-2292.725830078125
182,-2293.6767578125
183,-2293.706298828125
184,-2297.52734375
185,-2295.62255859375
186,-2293.47412109375
187,-2299.1640625
188,-2296.20947265625
189,-2298.2978515625
190,-2296.14794921875
191,-2299.878662109375
192,-2294.36181640625
193,-2299.64208984375
194,-2297.78759765625
195,-2296.09326171875
196,-2297.912841796875
197,-2296.90771484375
198,-2300.123291015625
199,-2293.661865234375
200,-2295.33642578125
201,-2297.3681640625
202,-2298.95458984375
203,-2294.919921875
204,-2300.13916015625
205,-2295.8076171875
206,-2301.34619140625
207,-2296.54833984375
208,-2293.8837890625
209,-2292.83203125
210,-2297.2392578125
211,-2296.021484375
212,-2297.3486328125
213,-2295.09130859375
214,-2295.08642578125
215,-2297.275146484375
216,-2296.4365234375
217,-2293.672119140625
218,-2293.33935546875
219,-2297.04443359375
220,-2292.283203125
221,-2299.629150390625
222,-2295.88623046875
223,-2298.1494140625
224,-2297.676025390625
225,-2295.82470703125
226,-2294.44091796875
227,-2293.22119140625
228,-2296.375
229,-2297.507080078125
230,-2299.966064453125
231,-2296.96875
232,-2293.270263671875
233,-2293.564697265625
234,-2297.416259765625
235,-2294.352783203125
236,-2292.940185546875
237,-2297.46630859375
238,-2298.689208984375
239,-2292.22314453125
240,-2292.680419921875
241,-2292.28515625
242,-2292.990966796875
243,-2295.84912109375
244,-2295.210693359375
245,-2296.21923828125
246,-2293.4638671875
247,-2295.6259765625
248,-2296.885498046875
249,-2297.751953125
250,-2294.8369140625
251,-2295.061279296875
252,-2297.791015625
253,-2294.69384765625
254,-2296.65625
255,-2297.29931640625
256,-2296.497802734375
257,-2297.39599609375
258,-2297.26318359375
259,-2299.613525390625
260,-2295.07177734375
261,-2295.07373046875
262,-2297.3564453125
263,-2298.09033203125
264,-2298.081787109375
265,-2296.0390625
266,-2299.0615234375
267,-2295.55224609375
268,-2293.72119140625
269,-2296.912109375
270,-2292.504638671875
271,-2292.9052734375
272,-2296.407958984375
273,-2301.267578125
274,-2299.107421875
275,-2295.270751953125
276,-2298.84423828125
277,-2295.754638671875
278,-2297.56591796875
279,-2295.82666015625
280,-2295.26513671875
281,-2297.26025390625
282,-2295.666015625
283,-2297.72412109375
284,-2294.71240234375
285,-2293.20654296875
286,-2297.325439453125
287,-2295.926513671875
288,-2294.642578125
289,-2295.189453125
290,-2296.5947265625
291,-2297.678955078125
292,-2300.1806640625
293,-2296.140625
294,-2298.306884765625
295,-2295.371337890625
296,-2298.1875
297,-2296.181640625
298,-2296.875244140625
299,-2296.256103515625
300,-2294.5849609375
301,-2297.37353515625
302,-2294.47802734375
303,-2295.8857421875
304,-2294.4501953125
305,-2297.7998046875
306,-2296.234375
307,-2291.298828125
308,-2297.31005859375
309,-2295.465087890625
310,-2294.176025390625
311,-2295.96826171875
312,-2294.03173828125
313,-2294.369384765625
314,-2297.84716796875
315,-2295.43896484375
316,-2293.866455078125
317,-2294.8505859375
318,-2297.7861328125
319,-2293.512451171875
320,-2297.154296875
321,-2296.72412109375
322,-2295.994873046875
323,-2298.951904296875
324,-2297.64453125
325,-2295.257568359375
326,-2297.90625
327,-2296.3701171875
328,-2297.70849609375
329,-2294.453857421875
330,-2297.4111328125
331,-2299.6435546875
332,-2297.44873046875
333,-2297.14111328125
334,-2296.47607421875
335,-2299.4208984375
336,-2299.141357421875
337,-2298.34033203125
338,-2293.97412109375
339,-2296.01611328125
340,-2298.126953125
341,-2299.3095703125
342,-2292.927734375
343,-2298.9140625
344,-2299.90576171875
345,-2301.907958984375
346,-2296.46826171875
347,-2296.26953125
348,-2296.115234375
349,-2296.1767578125
350,-2297.97314453125
351,-2295.7568359375
352,-2299.392578125
353,-2294.572998046875
354,-2301.089111328125
355,-2299.174560546875
356,-2295.37158203125
357,-2299.756103515625
358,-2296.969482421875
359,-2297.98876953125
360,-2295.4833984375
361,-2296.559814453125
362,-2295.5654296875
363,-2295.792724609375
364,-2298.60498046875
365,-2297.22998046875
366,-2294.85205078125
367,-2294.80810546875
368,-2296.21044921875
369,-2297.031982421875
370,-2300.167236328125
371,-2295.8564453125
372,-2296.0
373,-2297.716064453125
374,-2295.56005859375
375,-2295.583984375
376,-2295.3984375
377,-2293.8896484375
378,-2296.682861328125
379,-2293.080078125
380,-2290.7548828125
381,-2295.5498046875
382,-2293.498046875
383,-2290.251953125
384,-2291.560302734375
385,-2295.52783203125
386,-2295.018310546875
387,-2292.8486328125
388,-2293.91162109375
389,-2290.283203125
390,-2298.1796875
391,-2290.7275390625
392,-2292.29345703125
393,-2295.12109375
394,-2294.43212890625
395,-2293.111328125
396,-2297.169189453125
397,-2297.307861328125
398,-2293.3935546875
399,-2294.538330078125
400,-2295.3994140625
401,-2294.779541015625
402,-2295.3994140625
403,-2294.96044921875
404,-2295.059326171875
405,-2295.410400390625
406,-2295.584716796875
407,-2297.87109375
408,-2296.414794921875
409,-2296.4111328125
410,-2297.55712890625
411,-2298.74609375
412,-2295.569091796875
413,-2294.3671875
414,-2293.63037109375
415,-2297.087890625
416,-2294.04541015625
417,-2292.51318359375
418,-2296.45361328125
419,-2296.802001953125
420,-2297.482421875
421,-2297.766845703125
422,-2297.26806640625
423,-2296.327880859375
424,-2297.90869140625
425,-2294.64892578125
426,-2296.936279296875
427,-2293.84619140625
428,-2300.73388671875
429,-2295.05712890625
430,-2295.96826171875
431,-2294.06396484375
432,-2293.690185546875
433,-2297.2978515625
434,-2295.794677734375
435,-2295.115234375
436,-2297.3134765625
437,-2296.749267578125
438,-2296.251953125
439,-2295.4111328125
440,-2293.068603515625
441,-2296.400390625
442,-2295.294921875
443,-2296.609619140625
444,-2297.0751953125
445,-2293.615478515625
446,-2297.91650390625
447,-2297.146484375
448,-2296.307373046875
449,-2296.056640625
450,-2297.275146484375
451,-2294.281494140625
452,-2298.124755859375
453,-2295.628173828125
454,-2294.056884765625
455,-2299.781005859375
456,-2293.068603515625
457,-2295.1025390625
458,-2292.68310546875
459,-2296.097412109375
460,-2297.46826171875
461,-2294.09423828125
462,-2295.75048828125
463,-2294.4248046875
464,-2297.61376953125
465,-2294.123291015625
466,-2294.21533203125
467,-2295.067138671875
468,-2295.156494140625
469,-2291.591796875
470,-2293.3056640625
471,-2292.9384765625
472,-2297.1884765625
473,-2295.38818359375
474,-2298.080078125
475,-2295.8203125
476,-2294.8671875
477,-2296.7861328125
478,-2294.4248046875
479,-2292.03662109375
480,-2296.930908203125
481,-2291.986083984375
482,-2293.9306640625
483,-2292.15673828125
484,-2293.161376953125
485,-2292.05029296875
486,-2295.995849609375
487,-2293.352294921875
488,-2292.981689453125
489,-2295.484130859375
490,-2294.02587890625
491,-2294.63427734375
492,-2292.94189453125
493,-2294.5869140625
494,-2292.0927734375
495,-2294.041015625
496,-2294.9580078125
497,-2294.260009765625
498,-2294.4130859375
499,-2290.900634765625
500,-2291.5859375
501,-2298.783203125
502,-2295.15869140625
503,-2296.659912109375
504,-2296.62890625
505,-2294.93408203125
506,-2297.88720703125
507,-2295.815185546875
508,-2295.893310546875
509,-2291.48193359375
510,-2293.614990234375
511,-2295.59814453125
512,-2294.515869140625
513,-2293.59375
514,-2296.0830078125
515,-2293.64111328125
516,-2294.96630859375
517,-2297.652587890625
518,-2294.240234375
519,-2297.7216796875
520,-2298.193359375
521,-2293.60400390625
522,-2296.182861328125
523,-2299.08642578125
524,-2295.8828125
525,-2297.03466796875
526,-2294.94140625
527,-2293.5576171875
528,-2295.22998046875
529,-2297.690185546875
530,-2293.771484375
531,-2291.466796875
532,-2293.8291015625
533,-2294.611083984375
534,-2295.404296875
535,-2294.96826171875
536,-2293.627197265625
537,-2294.3515625
538,-2294.572265625
539,-2291.474609375
540,-2292.89208984375
541,-2291.935546875
542,-2292.676025390625
543,-2293.61669921875
544,-2294.205078125
545,-2296.937744140625
546,-2295.22607421875
547,-2293.241943359375
548,-2294.1220703125
549,-2293.242919921875
550,-2292.1416015625
551,-2298.45166015625
552,-2296.009765625
553,-2293.78955078125
554,-2297.017578125
555,-2294.23095703125
556,-2293.6953125
557,-2299.525146484375
558,-2298.167724609375
559,-2298.423828125
560,-2296.06689453125
561,-2297.1220703125
562,-2290.033203125
563,-2296.779296875
564,-2294.6005859375
565,-2295.31201171875
566,-2292.64697265625
567,-2295.4912109375
568,-2293.936767578125
569,-2297.356689453125
570,-2297.921875
571,-2298.47705078125
572,-2293.62744140625
573,-2298.115234375
574,-2298.546875
575,-2296.1552734375
576,-2294.95263671875
577,-2296.609375
578,-2297.751953125
579,-2297.35888671875
580,-2298.7275390625
581,-2298.12548828125
582,-2295.03173828125
583,-2295.6767578125
584,-2296.518310546875
585,-2299.2392578125
586,-2299.553466796875
587,-2299.651611328125
588,-2297.46826171875
589,-2291.61474609375
590,-2298.94384765625
591,-2292.185791015625
592,-2288.1240234375
593,-2302.35693359375
594,-2288.89013671875
595,-2295.33203125
596,-2296.26708984375
597,-2298.45703125
598,-2299.7138671875
599,-2296.709716796875
600,-2291.655517578125
601,-2293.09423828125
602,-2293.109130859375
603,-2295.43701171875
604,-2291.251953125
605,-2292.85302734375
606,-2291.3076171875
607,-2297.03076171875
608,-2292.4931640625
609,-2297.5771484375
610,-2293.600830078125
611,-2298.07861328125
612,-2295.82421875
613,-2295.130859375
614,-2295.3779296875
615,-2296.982177734375
616,-2297.566650390625
617,-2297.0498046875
618,-2296.8369140625
619,-2302.8994140625
620,-2296.84375
621,-2295.64697265625
622,-2294.827392578125
623,-2298.556396484375
624,-2296.72802734375
625,-2294.5986328125
626,-2297.02978515625
627,-2297.759033203125
628,-2297.465087890625
629,-2293.509765625
630,-2296.883056640625
631,-2297.44189453125
632,-2295.82275390625
633,-2297.14990234375
634,-2299.0712890625
635,-2296.082763671875
636,-2293.2861328125
637,-2300.09521484375
638,-2297.289794921875
639,-2296.58984375
640,-2298.9384765625
641,-2296.02099609375
642,-2294.266845703125
643,-2297.225341796875
644,-2298.306640625
645,-2292.89306640625
646,-2297.78125
647,-2294.347412109375
648,-2293.611572265625
649,-2296.502685546875
650,-2295.109375
651,-2298.520263671875
652,-2294.180419921875
653,-2296.33056640625
654,-2293.233154296875
655,-2297.221923828125
656,-2295.25048828125
657,-2294.935302734375
658,-2296.06396484375
659,-2295.80126953125
660,-2295.869140625
661,-2293.43212890625
662,-2297.63330078125
663,-2295.49609375
