,log_likelihood
0,-3108.347900390625
1,-3108.246826171875
2,-3109.2744140625
3,-3107.031494140625
4,-3108.0
5,-3108.23486328125
6,-3106.83251953125
7,-3109.764892578125
8,-3106.208740234375
9,-3108.060791015625
10,-3107.7294921875
11,-3107.4580078125
12,-3110.23828125
13,-3107.88720703125
14,-3106.89599609375
15,-3107.767578125
16,-3108.279296875
17,-3107.673095703125
18,-3107.077392578125
19,-3109.9375
20,-3106.056640625
21,-3111.39794921875
22,-3105.61181640625
23,-3107.056396484375
24,-3109.400390625
25,-3104.80908203125
26,-3107.44580078125
27,-3107.9033203125
28,-3107.11376953125
29,-3107.61962890625
30,-3106.053466796875
31,-3104.888671875
32,-3106.1845703125
33,-3105.0830078125
34,-3108.12060546875
35,-3105.39599609375
36,-3106.179931640625
37,-3107.7294921875
38,-3105.55615234375
39,-3105.424560546875
40,-3106.280029296875
41,-3106.415771484375
42,-3108.5966796875
43,-3103.52001953125
44,-3105.971923828125
45,-3103.2275390625
46,-3108.42919921875
47,-3105.9560546875
48,-3104.5517578125
49,-3103.531982421875
50,-3105.67041015625
51,-3104.7431640625
52,-3103.1572265625
53,-3108.08837890625
54,-3104.863525390625
55,-3103.205078125
56,-3105.789306640625
57,-3109.918212890625
58,-3109.099853515625
59,-3108.79931640625
60,-3108.745361328125
61,-3109.166015625
62,-3106.812255859375
63,-3107.693115234375
64,-3108.48291015625
65,-3109.4912109375
66,-3109.4521484375
67,-3108.21826171875
68,-3111.005126953125
69,-3106.730712890625
70,-3107.645263671875
71,-3111.62060546875
72,-3109.80029296875
73,-3108.7431640625
74,-3112.857666015625
75,-3107.4052734375
76,-3109.41162109375
77,-3108.9453125
78,-3108.39892578125
79,-3110.40966796875
80,-3104.326904296875
81,-3109.61328125
82,-3105.06494140625
83,-3109.095703125
84,-3106.363037109375
85,-3107.01025390625
86,-3108.5185546875
87,-3108.61767578125
88,-3105.63916015625
89,-3111.02392578125
90,-3112.501953125
91,-3107.05078125
92,-3104.615234375
93,-3109.63525390625
94,-3111.533203125
95,-3109.26123046875
96,-3110.80419921875
97,-3107.244140625
98,-3108.80224609375
99,-3108.2265625
100,-3107.613037109375
101,-3108.08837890625
102,-3110.35107421875
103,-3109.4140625
104,-3114.09326171875
105,-3110.583984375
106,-3111.23486328125
107,-3110.68701171875
108,-3109.41552734375
109,-3108.16748046875
110,-3112.80419921875
111,-3106.558349609375
112,-3111.566650390625
113,-3109.93603515625
114,-3116.35595703125
115,-3107.068603515625
116,-3108.13818359375
117,-3115.123291015625
118,-3106.338623046875
119,-3108.96728515625
120,-3107.455322265625
121,-3108.985595703125
122,-3106.97607421875
123,-3105.810791015625
124,-3105.98779296875
125,-3108.26123046875
126,-3110.6787109375
127,-3109.56982421875
128,-3110.049072265625
129,-3106.7109375
130,-3110.287109375
131,-3107.87353515625
132,-3107.95556640625
133,-3111.79296875
134,-3109.53369140625
135,-3106.810791015625
136,-3108.542724609375
137,-3114.7734375
138,-3108.06884765625
139,-3105.756591796875
140,-3110.22802734375
141,-3109.4560546875
142,-3105.101806640625
143,-3105.890869140625
144,-3112.09423828125
145,-3108.19677734375
146,-3108.94384765625
147,-3111.1904296875
148,-3104.77001953125
149,-3109.3408203125
150,-3105.2353515625
151,-3107.81298828125
152,-3109.42724609375
153,-3111.07861328125
154,-3113.30517578125
155,-3112.59228515625
156,-3109.47119140625
157,-3108.727294921875
158,-3111.40087890625
159,-3109.4931640625
160,-3109.65625
161,-3110.5859375
162,-3107.77490234375
163,-3111.440185546875
164,-3107.423095703125
