,log_likelihood
0,-2975.25732421875
1,-2973.797119140625
2,-2977.0234375
3,-2977.61865234375
4,-2974.2255859375
5,-2976.513671875
6,-2979.432373046875
7,-2973.39208984375
8,-2974.05615234375
9,-2976.6240234375
10,-2974.30126953125
11,-2975.11083984375
12,-2975.828125
13,-2973.91650390625
14,-2975.088134765625
15,-2973.8115234375
16,-2975.80517578125
17,-2977.0107421875
18,-2974.12646484375
19,-2975.501953125
20,-2973.99609375
21,-2975.44482421875
22,-2973.0009765625
23,-2974.50927734375
24,-2971.46142578125
25,-2976.0693359375
26,-2976.64697265625
27,-2976.40869140625
28,-2975.669921875
29,-2974.48681640625
30,-2973.97265625
31,-2976.817138671875
32,-2976.972900390625
33,-2975.61865234375
34,-2973.6591796875
35,-2976.42919921875
36,-2973.526611328125
37,-2975.703857421875
38,-2976.9619140625
39,-2977.1103515625
40,-2978.502197265625
41,-2977.234130859375
42,-2977.178955078125
43,-2976.9599609375
44,-2976.712890625
45,-2978.83349609375
46,-2976.921875
47,-2975.2373046875
48,-2974.317138671875
49,-2977.59716796875
50,-2974.600341796875
51,-2974.647216796875
52,-2976.12353515625
53,-2977.73291015625
54,-2977.65869140625
55,-2975.92529296875
56,-2981.95263671875
57,-2974.567138671875
58,-2979.870849609375
59,-2976.23046875
60,-2977.770263671875
61,-2976.578125
62,-2979.22509765625
63,-2981.20751953125
64,-2976.4267578125
65,-2972.32421875
66,-2978.516845703125
67,-2978.498046875
68,-2979.55712890625
69,-2974.1806640625
70,-2978.594482421875
71,-2977.16943359375
72,-2976.6181640625
73,-2975.16650390625
74,-2976.837646484375
75,-2973.6064453125
76,-2975.07861328125
77,-2977.7158203125
78,-2976.126953125
79,-2977.67724609375
80,-2977.9296875
81,-2979.67822265625
82,-2976.974365234375
83,-2979.84375
84,-2983.6640625
85,-2976.147216796875
86,-2976.849365234375
87,-2978.57275390625
88,-2976.0576171875
89,-2977.166015625
90,-2974.625732421875
91,-2971.761962890625
92,-2973.284423828125
93,-2973.888916015625
94,-2976.5302734375
95,-2976.470703125
96,-2977.37890625
97,-2975.9892578125
98,-2974.8544921875
99,-2973.540283203125
100,-2972.79296875
101,-2971.9541015625
102,-2976.564208984375
103,-2975.79931640625
104,-2974.799560546875
105,-2977.4443359375
106,-2975.83154296875
107,-2973.2314453125
108,-2974.447021484375
109,-2972.5546875
110,-2974.04248046875
111,-2975.7490234375
112,-2979.564453125
113,-2974.66943359375
114,-2976.132080078125
115,-2978.390869140625
116,-2977.87890625
117,-2978.55126953125
118,-2978.66748046875
119,-2977.29931640625
120,-2978.0537109375
121,-2978.3720703125
122,-2978.53857421875
123,-2979.310546875
124,-2975.91259765625
125,-2973.5830078125
126,-2974.359130859375
127,-2973.80029296875
128,-2976.14404296875
129,-2977.8388671875
130,-2976.92724609375
131,-2977.94091796875
132,-2976.891357421875
133,-2975.17236328125
134,-2977.43115234375
135,-2979.71875
136,-2977.501953125
137,-2975.9072265625
138,-2973.06201171875
139,-2974.9326171875
140,-2978.48876953125
141,-2975.26904296875
142,-2976.069091796875
143,-2978.252197265625
144,-2973.25
145,-2975.92431640625
146,-2976.686767578125
147,-2976.5810546875
148,-2978.804443359375
149,-2977.380126953125
150,-2970.52392578125
151,-2978.97412109375
152,-2976.39013671875
153,-2975.66552734375
154,-2976.9755859375
155,-2979.840576171875
156,-2974.001220703125
157,-2973.416015625
158,-2974.15478515625
159,-2972.65771484375
160,-2972.23876953125
161,-2974.61767578125
162,-2971.847412109375
163,-2976.19384765625
164,-2972.44873046875
165,-2975.1884765625
166,-2974.99951171875
167,-2972.89208984375
168,-2972.619384765625
169,-2973.466552734375
170,-2975.31201171875
171,-2974.72900390625
172,-2970.265869140625
173,-2975.84423828125
174,-2975.142578125
175,-2975.9755859375
176,-2974.9599609375
177,-2977.456298828125
178,-2973.69384765625
179,-2977.85498046875
180,-2977.73681640625
181,-2975.47705078125
182,-2973.57763671875
183,-2977.813232421875
184,-2976.05517578125
185,-2979.83837890625
186,-2973.16162109375
187,-2977.58837890625
188,-2976.45849609375
189,-2975.87744140625
190,-2976.109619140625
191,-2974.793212890625
192,-2971.695556640625
193,-2974.149658203125
194,-2975.341796875
195,-2974.05517578125
196,-2974.080078125
197,-2975.12841796875
198,-2975.501953125
199,-2976.045654296875
200,-2975.536376953125
201,-2975.1396484375
202,-2976.689697265625
203,-2977.689453125
204,-2977.2080078125
205,-2976.0546875
206,-2976.7255859375
207,-2974.941650390625
208,-2974.439453125
209,-2976.9091796875
210,-2974.5517578125
211,-2975.73779296875
212,-2975.219482421875
213,-2973.9140625
214,-2972.35302734375
215,-2973.2275390625
216,-2979.162109375
