,log_likelihood
0,-3411.39599609375
1,-3413.399169921875
2,-3413.514892578125
3,-3415.109375
4,-3412.0126953125
5,-3410.357421875
6,-3412.56884765625
7,-3411.0458984375
8,-3413.63671875
9,-3410.6474609375
10,-3410.583740234375
11,-3413.5771484375
12,-3412.14013671875
13,-3410.548095703125
14,-3415.865234375
15,-3412.54345703125
16,-3409.40673828125
17,-3415.024169921875
18,-3412.029296875
19,-3411.808837890625
20,-3411.73583984375
21,-3411.89453125
22,-3412.292724609375
23,-3413.95068359375
24,-3412.631103515625
25,-3411.81005859375
26,-3411.34521484375
27,-3411.278564453125
28,-3413.0244140625
29,-3412.86669921875
30,-3413.111572265625
31,-3412.29541015625
32,-3413.34033203125
33,-3411.958984375
34,-3415.312255859375
35,-3413.592041015625
36,-3411.94287109375
37,-3412.26513671875
38,-3412.205322265625
39,-3412.710205078125
40,-3415.7099609375
41,-3411.73876953125
42,-3412.5283203125
43,-3412.81689453125
44,-3412.128662109375
45,-3412.875244140625
46,-3410.41015625
47,-3411.937744140625
48,-3409.7177734375
49,-3410.56640625
50,-3411.8193359375
51,-3412.296142578125
52,-3411.6591796875
53,-3411.19189453125
54,-3411.494384765625
55,-3411.56103515625
56,-3412.523681640625
57,-3412.75146484375
58,-3410.67724609375
59,-3411.2724609375
60,-3410.8681640625
61,-3411.159912109375
62,-3411.9921875
63,-3410.78369140625
64,-3413.27294921875
65,-3411.816162109375
66,-3412.07080078125
67,-3412.828369140625
68,-3415.839599609375
69,-3414.16650390625
70,-3412.089111328125
71,-3411.093505859375
72,-3412.7841796875
73,-3412.726318359375
74,-3412.188720703125
75,-3411.330810546875
76,-3414.0537109375
77,-3413.841064453125
78,-3414.222900390625
79,-3410.675048828125
80,-3414.34033203125
81,-3415.496337890625
82,-3411.72021484375
83,-3411.699951171875
84,-3410.99658203125
85,-3411.5771484375
86,-3416.2900390625
87,-3412.173828125
88,-3412.716552734375
89,-3414.141845703125
90,-3412.607666015625
91,-3411.5888671875
92,-3411.140380859375
93,-3410.531005859375
94,-3412.1181640625
95,-3414.241455078125
96,-3413.64892578125
97,-3413.54296875
98,-3414.738037109375
99,-3412.6376953125
100,-3416.6630859375
101,-3413.95556640625
102,-3414.856689453125
103,-3411.96435546875
104,-3412.130615234375
105,-3416.6337890625
106,-3413.89990234375
107,-3412.232177734375
108,-3414.59814453125
109,-3415.537109375
110,-3412.75390625
111,-3412.41845703125
112,-3414.56689453125
113,-3412.70068359375
114,-3413.009765625
115,-3409.84716796875
116,-3410.29052734375
117,-3409.58837890625
118,-3411.9951171875
119,-3415.052734375
120,-3412.50732421875
121,-3410.75439453125
122,-3411.10888671875
123,-3414.32861328125
124,-3412.47900390625
125,-3408.83203125
126,-3412.3056640625
127,-3413.9375
128,-3410.752197265625
129,-3410.828369140625
130,-3410.469970703125
131,-3413.913330078125
132,-3413.927490234375
133,-3411.389892578125
134,-3411.62158203125
135,-3413.52001953125
136,-3411.47216796875
137,-3413.00244140625
138,-3410.13330078125
139,-3413.2080078125
140,-3411.181396484375
141,-3410.319580078125
142,-3413.10791015625
143,-3412.841796875
144,-3412.563232421875
145,-3412.46337890625
146,-3415.35791015625
147,-3411.7021484375
148,-3411.348388671875
149,-3413.58740234375
150,-3414.8134765625
151,-3412.335693359375
152,-3411.826416015625
153,-3415.24462890625
154,-3411.0634765625
155,-3413.908935546875
156,-3413.833251953125
157,-3415.1728515625
158,-3410.79736328125
159,-3414.412353515625
160,-3414.36181640625
161,-3414.080810546875
162,-3411.149169921875
163,-3410.50146484375
164,-3411.85400390625
165,-3410.58154296875
166,-3414.7021484375
167,-3411.8212890625
168,-3416.212890625
169,-3413.111083984375
170,-3413.1416015625
171,-3414.489501953125
172,-3415.358154296875
173,-3413.259765625
174,-3414.326171875
175,-3415.080810546875
176,-3411.782958984375
177,-3414.807373046875
178,-3414.784423828125
179,-3413.74267578125
180,-3412.142822265625
181,-3412.9365234375
182,-3411.4970703125
183,-3413.20166015625
184,-3414.1171875
185,-3413.132568359375
186,-3412.15869140625
187,-3414.528564453125
188,-3412.921875
