,log_likelihood
0,-2058.7822265625
1,-2057.3408203125
2,-2055.146728515625
3,-2050.56982421875
4,-2061.2998046875
5,-2057.06982421875
6,-2055.035888671875
7,-2058.5888671875
8,-2049.464599609375
9,-2056.3408203125
10,-2055.07177734375
11,-2049.52880859375
12,-2054.18408203125
13,-2057.628173828125
14,-2055.24755859375
15,-2060.237060546875
16,-2055.557861328125
17,-2058.25732421875
18,-2057.056640625
19,-2061.2109375
20,-2058.057373046875
21,-2058.394775390625
22,-2057.19677734375
23,-2055.30322265625
24,-2061.1982421875
25,-2056.07080078125
26,-2060.334716796875
27,-2060.53955078125
28,-2062.6279296875
29,-2057.53857421875
30,-2062.32373046875
31,-2053.8876953125
32,-2057.533203125
33,-2057.962646484375
34,-2055.23876953125
35,-2061.929443359375
36,-2062.4013671875
37,-2062.49267578125
38,-2056.35107421875
39,-2052.55810546875
40,-2060.192138671875
41,-2057.74365234375
42,-2058.44580078125
43,-2059.11474609375
44,-2055.27392578125
45,-2056.378662109375
46,-2051.9326171875
47,-2057.1845703125
48,-2054.658935546875
49,-2054.0703125
50,-2057.248291015625
51,-2054.681640625
52,-2057.815185546875
53,-2055.580322265625
54,-2062.09375
55,-2056.0556640625
56,-2059.74072265625
57,-2056.2353515625
58,-2062.361083984375
59,-2062.49072265625
60,-2058.18798828125
61,-2055.515380859375
62,-2054.48095703125
63,-2054.8623046875
64,-2055.196533203125
65,-2059.53515625
66,-2057.117919921875
67,-2060.587158203125
68,-2053.062744140625
69,-2059.519287109375
70,-2057.7724609375
71,-2056.9169921875
72,-2059.005126953125
73,-2060.28271484375
74,-2058.326171875
75,-2062.454833984375
76,-2059.95068359375
77,-2053.576171875
78,-2059.049560546875
79,-2050.6982421875
80,-2053.0322265625
81,-2049.888671875
82,-2049.97412109375
83,-2051.857177734375
84,-2051.701904296875
85,-2056.9892578125
86,-2061.427734375
87,-2049.9404296875
88,-2053.49169921875
89,-2049.74609375
90,-2056.902099609375
91,-2051.2998046875
92,-2050.989990234375
93,-2053.751953125
94,-2064.201171875
95,-2053.4609375
96,-2049.82763671875
97,-2054.80224609375
98,-2050.69091796875
99,-2055.48681640625
100,-2048.86962890625
101,-2054.6845703125
102,-2055.67724609375
103,-2053.50732421875
104,-2049.423828125
105,-2054.133544921875
106,-2055.48095703125
107,-2050.1748046875
108,-2053.99072265625
109,-2054.405029296875
110,-2052.541259765625
111,-2047.70458984375
112,-2054.795166015625
113,-2054.154052734375
114,-2058.20361328125
115,-2053.841552734375
116,-2051.693115234375
117,-2061.75927734375
118,-2055.275146484375
119,-2053.38671875
120,-2059.891845703125
121,-2058.986328125
122,-2060.26123046875
123,-2058.272216796875
124,-2058.4111328125
125,-2054.296630859375
126,-2059.701904296875
127,-2058.717529296875
128,-2063.93994140625
129,-2056.2705078125
130,-2056.220947265625
131,-2051.38916015625
132,-2059.466064453125
133,-2049.962890625
134,-2052.3876953125
135,-2050.627197265625
136,-2059.751953125
137,-2056.328125
138,-2052.4296875
139,-2059.52197265625
140,-2059.48681640625
141,-2051.838134765625
142,-2050.995361328125
143,-2052.999755859375
144,-2052.31787109375
145,-2051.204345703125
146,-2060.25390625
147,-2062.224853515625
148,-2054.03125
149,-2057.72607421875
150,-2053.172119140625
151,-2058.709716796875
152,-2061.66015625
153,-2053.360107421875
154,-2053.931640625
155,-2058.51123046875
156,-2052.49755859375
157,-2062.398681640625
158,-2055.515625
159,-2058.6533203125
160,-2056.668701171875
161,-2057.482421875
162,-2058.18017578125
163,-2056.3955078125
164,-2053.79345703125
165,-2049.494140625
166,-2053.3671875
167,-2056.68310546875
168,-2050.358154296875
169,-2056.6806640625
170,-2047.3760986328125
171,-2046.2315673828125
172,-2046.857177734375
173,-2049.611328125
174,-2045.3389892578125
175,-2044.821533203125
176,-2046.0596923828125
177,-2051.5927734375
178,-2047.9296875
179,-2044.7294921875
180,-2050.489990234375
181,-2047.1953125
182,-2050.593505859375
183,-2045.8909912109375
184,-2047.9803466796875
185,-2050.599609375
186,-2055.0146484375
187,-2050.65380859375
188,-2049.04296875
189,-2048.6591796875
190,-2060.010009765625
191,-2063.95458984375
192,-2055.93212890625
193,-2064.4912109375
194,-2054.937744140625
195,-2060.374267578125
196,-2062.955810546875
197,-2056.5830078125
198,-2059.649658203125
199,-2060.7255859375
200,-2059.861083984375
201,-2052.166259765625
202,-2053.40234375
203,-2054.046630859375
204,-2057.57666015625
205,-2055.021484375
206,-2051.682373046875
207,-2058.850341796875
208,-2054.453857421875
209,-2059.974609375
210,-2054.458251953125
211,-2066.077880859375
212,-2057.1298828125
213,-2055.54150390625
214,-2059.51025390625
215,-2049.70458984375
216,-2064.51806640625
217,-2058.431396484375
218,-2057.96484375
219,-2059.8369140625
220,-2059.447998046875
221,-2062.7490234375
222,-2053.185546875
223,-2055.14599609375
224,-2057.026123046875
225,-2068.339111328125
226,-2062.240966796875
227,-2064.3505859375
228,-2054.93603515625
229,-2053.78515625
230,-2052.2392578125
231,-2057.5673828125
232,-2057.4521484375
233,-2058.22900390625
234,-2060.6611328125
235,-2055.051025390625
236,-2056.55712890625
237,-2053.13916015625
238,-2053.425537109375
239,-2058.55517578125
240,-2056.253662109375
241,-2055.91552734375
242,-2059.48291015625
243,-2059.4853515625
244,-2063.40185546875
245,-2058.54736328125
246,-2060.087890625
247,-2061.03369140625
248,-2063.474609375
249,-2065.33203125
250,-2056.858154296875
251,-2063.02734375
252,-2059.42822265625
253,-2056.916015625
254,-2062.9033203125
255,-2061.64404296875
256,-2063.9248046875
257,-2066.560546875
258,-2061.47265625
259,-2056.695556640625
260,-2061.663330078125
261,-2053.91845703125
262,-2062.504150390625
263,-2062.495361328125
264,-2062.56591796875
265,-2065.468017578125
266,-2063.52001953125
267,-2062.115234375
268,-2060.140625
269,-2057.81005859375
270,-2064.197265625
271,-2053.9951171875
272,-2058.776123046875
273,-2055.820556640625
274,-2055.97119140625
275,-2058.154296875
276,-2061.02197265625
277,-2055.28271484375
278,-2064.48291015625
279,-2057.3623046875
280,-2058.38623046875
281,-2063.568359375
282,-2053.8095703125
283,-2055.339111328125
284,-2056.648681640625
285,-2065.513427734375
286,-2059.425048828125
287,-2057.459228515625
288,-2057.698486328125
289,-2060.2587890625
290,-2057.54931640625
291,-2057.78125
292,-2058.62451171875
293,-2063.4111328125
294,-2060.013916015625
295,-2059.75341796875
296,-2062.3251953125
297,-2056.215087890625
298,-2060.16455078125
299,-2056.48388671875
300,-2060.6240234375
301,-2060.51953125
302,-2060.47705078125
303,-2056.688232421875
304,-2057.84521484375
305,-2062.27978515625
306,-2061.500244140625
307,-2059.690185546875
308,-2058.94482421875
309,-2058.629638671875
310,-2062.006591796875
311,-2060.960205078125
312,-2056.533203125
313,-2057.951171875
314,-2057.237060546875
315,-2058.8212890625
316,-2055.557373046875
317,-2059.44873046875
318,-2061.265380859375
319,-2054.4423828125
320,-2061.587890625
321,-2056.276123046875
322,-2053.4423828125
323,-2064.0400390625
324,-2061.372802734375
325,-2061.376708984375
326,-2059.16943359375
327,-2063.79052734375
328,-2055.608642578125
329,-2061.22802734375
330,-2058.422119140625
331,-2064.92626953125
332,-2056.98046875
333,-2057.505615234375
334,-2058.49462890625
335,-2055.630859375
336,-2058.33740234375
337,-2058.430419921875
338,-2058.734375
339,-2061.836669921875
340,-2061.895263671875
341,-2059.15673828125
342,-2060.80615234375
343,-2056.666015625
344,-2050.0234375
345,-2051.609375
346,-2056.023193359375
347,-2051.2255859375
348,-2052.96240234375
349,-2051.77001953125
350,-2053.6826171875
351,-2059.110595703125
352,-2049.67333984375
353,-2052.81884765625
354,-2056.5458984375
355,-2051.927001953125
356,-2052.47607421875
357,-2052.201904296875
358,-2056.06591796875
359,-2053.578369140625
360,-2052.2421875
361,-2057.92919921875
362,-2056.52685546875
363,-2055.56005859375
364,-2059.61328125
365,-2055.580078125
366,-2056.176025390625
367,-2057.82470703125
368,-2057.642578125
369,-2056.440673828125
370,-2058.32177734375
371,-2058.807373046875
372,-2057.16748046875
373,-2058.2275390625
374,-2052.97119140625
375,-2059.01123046875
376,-2059.5732421875
377,-2059.48095703125
378,-2057.143798828125
379,-2056.01025390625
380,-2061.001953125
381,-2059.18798828125
382,-2055.08740234375
383,-2054.215087890625
384,-2059.797119140625
385,-2055.674072265625
386,-2057.836669921875
387,-2057.841796875
388,-2056.9345703125
389,-2055.702880859375
390,-2054.177001953125
391,-2051.0986328125
392,-2055.96533203125
393,-2057.806640625
394,-2056.6279296875
395,-2055.66650390625
396,-2055.244384765625
397,-2057.603759765625
398,-2054.16064453125
399,-2055.62158203125
400,-2055.345703125
401,-2053.68701171875
402,-2054.59912109375
403,-2054.4208984375
404,-2059.066162109375
405,-2056.47314453125
406,-2055.125244140625
407,-2053.86279296875
408,-2053.50830078125
409,-2056.65185546875
410,-2060.23486328125
411,-2054.073486328125
412,-2054.0712890625
413,-2052.72802734375
414,-2053.420654296875
415,-2057.95166015625
416,-2054.724609375
417,-2053.439208984375
418,-2056.212646484375
419,-2056.7177734375
420,-2056.732666015625
421,-2054.27490234375
422,-2052.3330078125
423,-2055.911376953125
424,-2052.917236328125
425,-2051.506591796875
426,-2055.13916015625
427,-2054.240234375
428,-2055.52587890625
429,-2055.21728515625
430,-2055.99755859375
431,-2054.74658203125
432,-2055.115234375
433,-2050.994140625
434,-2053.6181640625
435,-2055.1201171875
436,-2053.19921875
437,-2056.35107421875
438,-2055.890625
439,-2057.941650390625
440,-2057.384765625
441,-2056.44775390625
442,-2056.58154296875
443,-2059.852783203125
444,-2054.5087890625
445,-2056.27392578125
446,-2057.62890625
447,-2058.090576171875
448,-2058.114501953125
449,-2053.414306640625
450,-2057.925537109375
451,-2056.752685546875
452,-2055.161376953125
453,-2057.277587890625
454,-2055.96728515625
455,-2057.859375
456,-2057.834716796875
457,-2058.626953125
458,-2056.765380859375
459,-2055.578125
460,-2050.58642578125
461,-2054.38427734375
462,-2055.142822265625
463,-2055.8076171875
464,-2055.125244140625
465,-2058.49951171875
466,-2056.27880859375
467,-2058.053955078125
468,-2052.4873046875
469,-2052.921875
470,-2054.736083984375
471,-2055.87548828125
472,-2054.65234375
473,-2056.74609375
474,-2060.44189453125
475,-2064.3857421875
476,-2053.14599609375
477,-2052.16015625
478,-2055.9951171875
479,-2052.928955078125
480,-2052.642578125
481,-2058.22412109375
482,-2058.93505859375
483,-2058.04833984375
484,-2054.9326171875
485,-2055.3583984375
486,-2052.048095703125
487,-2055.6376953125
488,-2055.009521484375
489,-2053.396484375
490,-2055.89013671875
491,-2053.294921875
492,-2058.30078125
493,-2057.079833984375
494,-2058.857666015625
495,-2054.721923828125
496,-2052.42626953125
497,-2056.16259765625
498,-2054.130859375
499,-2055.93505859375
500,-2052.57861328125
501,-2054.57568359375
502,-2054.888671875
503,-2054.8115234375
504,-2056.0703125
505,-2053.918212890625
506,-2053.047119140625
507,-2054.01806640625
508,-2055.19970703125
509,-2054.20458984375
510,-2057.4296875
511,-2060.62646484375
512,-2055.87841796875
513,-2056.86083984375
514,-2052.68603515625
515,-2054.7587890625
516,-2054.3310546875
517,-2054.56103515625
518,-2054.78125
519,-2057.56787109375
520,-2054.93115234375
521,-2055.9755859375
522,-2054.98388671875
523,-2056.229736328125
524,-2057.41552734375
525,-2052.002685546875
526,-2052.5224609375
527,-2056.84375
528,-2054.279296875
529,-2061.28759765625
530,-2053.671630859375
531,-2056.63916015625
532,-2058.1416015625
533,-2058.324951171875
534,-2056.849365234375
535,-2057.7060546875
536,-2056.81005859375
537,-2055.257568359375
538,-2054.23193359375
539,-2055.433349609375
540,-2052.75341796875
541,-2055.12451171875
542,-2055.33984375
543,-2049.814453125
544,-2054.23681640625
545,-2059.395751953125
546,-2058.0810546875
547,-2058.935302734375
548,-2054.373779296875
549,-2054.231689453125
550,-2058.788818359375
551,-2050.462890625
552,-2054.30322265625
553,-2059.29638671875
554,-2052.769775390625
555,-2052.088623046875
556,-2053.04638671875
557,-2054.151123046875
558,-2048.966796875
559,-2055.250244140625
560,-2050.548095703125
561,-2051.399658203125
562,-2054.27783203125
563,-2051.322265625
564,-2053.613037109375
565,-2053.347412109375
566,-2052.873779296875
567,-2053.49462890625
568,-2058.62451171875
569,-2050.41845703125
570,-2057.74365234375
571,-2058.6328125
572,-2053.4765625
573,-2058.498779296875
574,-2053.25927734375
575,-2057.68798828125
576,-2052.353271484375
577,-2055.935791015625
578,-2055.927001953125
579,-2056.63720703125
580,-2054.35986328125
581,-2055.26708984375
582,-2056.074462890625
583,-2054.98828125
584,-2056.53564453125
585,-2059.3173828125
586,-2058.13037109375
587,-2056.33203125
588,-2054.392578125
589,-2056.0673828125
590,-2059.521484375
591,-2055.9658203125
592,-2056.395263671875
593,-2060.89453125
594,-2059.08203125
595,-2058.89111328125
596,-2056.364990234375
597,-2055.634765625
598,-2054.27001953125
599,-2056.03955078125
600,-2053.37744140625
601,-2060.560302734375
602,-2058.4365234375
603,-2056.65625
604,-2055.912109375
605,-2056.476318359375
606,-2056.953125
607,-2058.109375
608,-2058.603515625
609,-2056.39990234375
610,-2056.016357421875
611,-2056.561767578125
612,-2057.37109375
613,-2056.656494140625
614,-2055.732666015625
615,-2056.6201171875
616,-2058.210205078125
617,-2055.0517578125
618,-2060.946533203125
619,-2054.26611328125
620,-2051.5224609375
621,-2057.43994140625
622,-2057.923583984375
623,-2057.21240234375
624,-2059.58740234375
625,-2059.617919921875
626,-2061.12841796875
627,-2059.483154296875
628,-2062.552734375
629,-2061.50732421875
630,-2060.3681640625
631,-2058.92529296875
632,-2054.81396484375
633,-2055.30126953125
634,-2059.921630859375
635,-2058.564453125
636,-2061.335693359375
637,-2056.849853515625
638,-2058.22607421875
639,-2060.021484375
640,-2061.255126953125
641,-2053.67041015625
642,-2060.7900390625
643,-2062.28857421875
644,-2061.260498046875
645,-2061.63037109375
646,-2059.62939453125
