,log_likelihood
0,-486.40771484375
1,-486.94140625
2,-488.7050476074219
3,-486.1022033691406
4,-488.6571350097656
5,-487.3645935058594
6,-489.083740234375
7,-489.0858459472656
8,-486.87158203125
9,-485.928955078125
10,-491.66790771484375
11,-487.9642333984375
12,-488.92962646484375
13,-486.95440673828125
14,-491.4235534667969
15,-489.6335144042969
16,-488.4986267089844
17,-485.5317077636719
18,-490.7927551269531
19,-485.6717529296875
20,-484.45428466796875
21,-484.06402587890625
22,-485.149658203125
23,-485.8463134765625
24,-485.74798583984375
25,-485.1549072265625
26,-482.7679443359375
27,-482.4202575683594
28,-484.443359375
29,-482.93475341796875
30,-485.73345947265625
31,-487.46990966796875
32,-484.593505859375
33,-484.65350341796875
34,-486.52642822265625
35,-487.1212158203125
36,-485.0733337402344
37,-486.6337890625
38,-481.0792236328125
39,-484.416259765625
40,-484.8261413574219
41,-482.59747314453125
42,-487.2126159667969
43,-485.05035400390625
44,-491.60626220703125
45,-481.92205810546875
46,-486.9315185546875
47,-485.78387451171875
48,-484.52825927734375
49,-484.19287109375
50,-483.6248474121094
51,-485.15283203125
52,-486.9766845703125
53,-484.0624694824219
54,-484.7288818359375
55,-490.7364501953125
56,-483.8646240234375
57,-488.6191711425781
58,-485.7436218261719
59,-486.433349609375
60,-487.5487976074219
61,-487.42279052734375
62,-486.6011962890625
63,-488.04034423828125
64,-486.6815185546875
65,-488.6123962402344
66,-486.2118835449219
67,-487.3912353515625
68,-486.6669616699219
69,-487.83917236328125
70,-486.7484436035156
71,-486.5699462890625
72,-487.7970275878906
73,-485.88006591796875
74,-485.8406982421875
75,-486.12030029296875
76,-486.7613830566406
77,-483.3018493652344
78,-485.4599609375
79,-484.20941162109375
80,-484.90106201171875
81,-485.855712890625
82,-485.03350830078125
83,-488.08673095703125
84,-486.02783203125
85,-483.53497314453125
86,-484.8142395019531
87,-484.3576354980469
88,-482.4107360839844
89,-482.76470947265625
90,-485.1474304199219
91,-485.15423583984375
92,-487.0226135253906
93,-485.9790954589844
94,-486.18865966796875
95,-485.8677978515625
96,-480.9273681640625
97,-483.6054382324219
98,-483.4742736816406
99,-485.7754821777344
100,-488.31951904296875
101,-488.0009765625
102,-487.1368103027344
103,-489.19940185546875
104,-485.44537353515625
105,-486.4848937988281
106,-488.8326416015625
107,-483.81158447265625
108,-486.2388610839844
109,-490.2382507324219
110,-487.3917541503906
111,-481.1570739746094
112,-484.9893493652344
113,-487.63043212890625
114,-485.8319091796875
115,-485.78546142578125
116,-489.9850769042969
117,-485.3188171386719
118,-487.5631408691406
119,-486.47430419921875
120,-484.0037841796875
121,-490.0445251464844
122,-487.1206359863281
123,-485.93304443359375
124,-484.61578369140625
