,log_likelihood
0,-2271.71435546875
1,-2270.246337890625
2,-2274.943115234375
3,-2270.38134765625
4,-2265.3837890625
5,-2272.083984375
6,-2275.437255859375
7,-2267.2958984375
8,-2276.30810546875
9,-2277.7177734375
10,-2274.0986328125
11,-2265.63818359375
12,-2275.942138671875
13,-2268.5771484375
14,-2267.67138671875
15,-2275.80419921875
16,-2269.91796875
17,-2267.26708984375
18,-2273.06201171875
19,-2274.4951171875
20,-2276.341064453125
21,-2268.1298828125
22,-2273.5654296875
23,-2274.298828125
24,-2265.71923828125
25,-2264.93408203125
26,-2275.286376953125
27,-2279.09130859375
28,-2271.411376953125
29,-2267.204833984375
30,-2275.6064453125
31,-2267.83349609375
32,-2273.33154296875
33,-2267.59326171875
34,-2266.123046875
35,-2269.659912109375
36,-2277.07421875
37,-2273.7412109375
38,-2274.355712890625
39,-2276.783203125
40,-2268.92626953125
41,-2268.197021484375
42,-2272.51318359375
43,-2268.148193359375
44,-2272.56103515625
45,-2274.388671875
46,-2274.438720703125
47,-2275.278076171875
48,-2268.46923828125
49,-2270.387451171875
50,-2273.32080078125
51,-2271.3173828125
52,-2270.531982421875
53,-2273.9365234375
54,-2269.814208984375
55,-2270.98681640625
56,-2272.20361328125
57,-2273.8212890625
58,-2270.00537109375
59,-2269.55224609375
60,-2268.455322265625
61,-2269.4541015625
62,-2268.760986328125
63,-2269.28076171875
64,-2269.88623046875
65,-2269.1328125
66,-2269.771728515625
67,-2268.19921875
68,-2272.2529296875
69,-2272.7021484375
70,-2269.68408203125
71,-2271.6162109375
72,-2270.0537109375
73,-2271.906982421875
74,-2269.895263671875
75,-2274.515625
76,-2270.27978515625
77,-2268.51416015625
78,-2268.818359375
79,-2269.60498046875
80,-2269.36474609375
81,-2270.869140625
82,-2270.02880859375
83,-2270.873046875
84,-2272.272705078125
85,-2271.785400390625
86,-2270.87841796875
87,-2271.3330078125
88,-2271.4326171875
89,-2273.160888671875
90,-2271.820068359375
91,-2271.3916015625
92,-2270.11962890625
93,-2270.568603515625
94,-2271.07080078125
95,-2270.41259765625
96,-2270.56494140625
97,-2270.537841796875
98,-2268.3857421875
99,-2269.54296875
100,-2269.8154296875
101,-2268.949462890625
102,-2269.627197265625
103,-2271.7275390625
104,-2271.8056640625
105,-2272.1005859375
106,-2271.4345703125
107,-2271.46630859375
108,-2270.162841796875
109,-2270.7255859375
110,-2270.75146484375
111,-2270.8330078125
112,-2270.759765625
113,-2270.673828125
114,-2269.8876953125
115,-2269.36181640625
116,-2270.32958984375
117,-2272.908203125
118,-2273.171142578125
119,-2270.914794921875
120,-2271.916015625
121,-2273.12353515625
122,-2271.726318359375
123,-2271.548583984375
124,-2272.3349609375
125,-2272.973876953125
126,-2270.599853515625
127,-2272.35546875
128,-2271.79296875
129,-2274.51416015625
130,-2270.658935546875
131,-2270.0263671875
132,-2270.42431640625
133,-2271.042724609375
134,-2272.7333984375
135,-2269.64501953125
136,-2273.216796875
137,-2273.85888671875
138,-2272.54931640625
139,-2272.58935546875
140,-2273.97705078125
141,-2270.8251953125
142,-2273.909423828125
143,-2274.825927734375
144,-2271.127197265625
