,log_likelihood
0,-2877.1142578125
1,-2873.6630859375
2,-2875.37548828125
3,-2877.98681640625
4,-2875.895751953125
5,-2876.60595703125
6,-2874.455078125
7,-2875.34716796875
8,-2873.7197265625
9,-2874.0009765625
10,-2876.123291015625
11,-2878.412841796875
12,-2875.78662109375
13,-2877.549072265625
14,-2876.96826171875
15,-2877.9833984375
16,-2875.78564453125
17,-2874.624755859375
18,-2877.69677734375
19,-2877.724365234375
20,-2873.41259765625
21,-2876.3486328125
22,-2879.25390625
23,-2876.47509765625
24,-2875.40673828125
25,-2876.607421875
26,-2877.611328125
27,-2876.901611328125
28,-2875.3076171875
29,-2875.56298828125
30,-2875.787109375
31,-2876.74365234375
32,-2877.26953125
33,-2877.31591796875
34,-2878.45751953125
35,-2878.01171875
36,-2877.26904296875
37,-2875.724365234375
38,-2876.769287109375
39,-2876.4814453125
40,-2876.88525390625
41,-2876.28955078125
42,-2875.17822265625
43,-2877.9990234375
44,-2876.208251953125
45,-2878.1533203125
46,-2876.357177734375
47,-2875.819091796875
48,-2877.502197265625
49,-2876.0947265625
50,-2876.966552734375
51,-2874.87060546875
52,-2874.632568359375
53,-2875.8310546875
54,-2877.971435546875
55,-2876.0654296875
56,-2876.875
57,-2879.24755859375
58,-2875.201171875
59,-2874.2578125
60,-2876.40087890625
61,-2876.12548828125
62,-2875.66943359375
63,-2877.64013671875
64,-2877.9384765625
65,-2876.1650390625
66,-2876.1552734375
67,-2878.1259765625
68,-2875.941650390625
69,-2877.33154296875
70,-2879.912109375
71,-2876.84912109375
72,-2879.237548828125
73,-2879.5107421875
74,-2875.015625
75,-2878.006591796875
76,-2876.025390625
77,-2878.618408203125
78,-2877.26953125
79,-2876.825927734375
80,-2877.84033203125
81,-2876.94482421875
82,-2877.140625
83,-2881.2705078125
84,-2878.15478515625
85,-2874.37890625
86,-2877.9130859375
87,-2874.530517578125
88,-2874.205810546875
89,-2877.6728515625
90,-2880.638671875
91,-2875.984375
92,-2878.0048828125
93,-2879.44970703125
94,-2878.505859375
95,-2875.065673828125
96,-2875.7001953125
97,-2879.244140625
98,-2876.1640625
99,-2878.0771484375
100,-2876.986328125
101,-2876.482421875
102,-2876.9990234375
103,-2877.0166015625
104,-2878.23193359375
105,-2876.23095703125
106,-2876.38232421875
107,-2878.509521484375
108,-2877.20458984375
109,-2876.35400390625
110,-2876.67138671875
111,-2874.298828125
112,-2874.26318359375
113,-2876.6826171875
114,-2876.363037109375
115,-2874.99609375
116,-2877.6328125
117,-2876.70166015625
118,-2876.4013671875
119,-2875.76953125
120,-2875.51708984375
121,-2877.31689453125
122,-2877.60498046875
123,-2877.6845703125
124,-2879.20703125
125,-2877.06103515625
126,-2877.89111328125
127,-2876.63818359375
128,-2875.30322265625
129,-2877.54052734375
130,-2875.65478515625
131,-2877.54052734375
132,-2876.212890625
133,-2877.87158203125
134,-2876.146728515625
135,-2879.392333984375
136,-2878.5556640625
137,-2876.907470703125
138,-2877.28759765625
139,-2876.564208984375
140,-2877.5986328125
141,-2878.2626953125
142,-2875.850341796875
143,-2875.903564453125
144,-2877.5234375
145,-2874.713134765625
146,-2879.04345703125
147,-2876.5732421875
148,-2876.812744140625
149,-2875.937255859375
150,-2875.60791015625
151,-2875.9248046875
152,-2875.800048828125
153,-2876.650390625
154,-2874.997314453125
155,-2873.212158203125
156,-2874.24853515625
157,-2876.841552734375
158,-2876.39404296875
159,-2878.0830078125
160,-2876.44921875
161,-2877.364990234375
162,-2876.4990234375
163,-2875.03125
164,-2876.376953125
165,-2877.65673828125
166,-2876.29541015625
167,-2878.698486328125
168,-2874.68701171875
169,-2878.01806640625
170,-2876.7197265625
171,-2877.6640625
172,-2876.908203125
173,-2878.07958984375
174,-2877.7080078125
175,-2877.708740234375
176,-2876.48291015625
177,-2875.43212890625
178,-2874.9619140625
179,-2877.22509765625
180,-2876.845703125
181,-2876.9345703125
182,-2879.27880859375
183,-2875.272705078125
184,-2876.265869140625
185,-2875.96142578125
186,-2878.52587890625
187,-2878.392333984375
188,-2876.76953125
189,-2876.62939453125
190,-2876.4365234375
191,-2876.574951171875
192,-2877.581298828125
193,-2876.4560546875
194,-2879.0361328125
195,-2876.634765625
196,-2876.037109375
197,-2877.35986328125
198,-2876.501953125
199,-2876.54296875
200,-2874.2060546875
201,-2877.97900390625
202,-2878.89599609375
203,-2876.42333984375
204,-2877.40185546875
205,-2874.62353515625
206,-2876.17431640625
207,-2874.677734375
208,-2874.6376953125
209,-2875.15087890625
210,-2877.102294921875
211,-2879.0478515625
212,-2878.305419921875
213,-2875.75048828125
214,-2876.823974609375
215,-2876.6220703125
216,-2876.207275390625
217,-2876.41357421875
218,-2877.30078125
219,-2876.61865234375
220,-2875.54541015625
221,-2878.0263671875
222,-2875.88916015625
223,-2876.5849609375
224,-2877.97216796875
225,-2877.16162109375
226,-2876.114990234375
227,-2875.6259765625
228,-2876.41650390625
229,-2875.568359375
230,-2876.961181640625
231,-2874.34716796875
232,-2876.093505859375
233,-2877.839599609375
234,-2875.38037109375
235,-2878.23583984375
236,-2876.81982421875
237,-2875.561279296875
238,-2875.6201171875
239,-2877.15087890625
240,-2876.740234375
241,-2877.41357421875
242,-2876.68505859375
243,-2877.1962890625
244,-2876.47705078125
245,-2872.4453125
246,-2877.187255859375
247,-2876.64501953125
248,-2880.44921875
249,-2877.75732421875
250,-2874.899658203125
251,-2876.06884765625
252,-2877.03369140625
253,-2876.160888671875
254,-2874.46240234375
255,-2876.36572265625
256,-2875.3720703125
257,-2876.76123046875
258,-2875.57568359375
259,-2874.82958984375
260,-2878.39306640625
261,-2875.2333984375
262,-2877.91796875
263,-2876.98046875
264,-2876.871337890625
265,-2876.117919921875
266,-2874.612060546875
267,-2877.78564453125
268,-2878.006103515625
269,-2877.8017578125
270,-2875.8408203125
271,-2875.175537109375
272,-2879.00439453125
273,-2877.053466796875
274,-2876.90869140625
275,-2880.095703125
276,-2876.59375
277,-2878.560546875
278,-2875.667236328125
279,-2877.670654296875
280,-2873.906494140625
281,-2874.84326171875
282,-2876.3955078125
283,-2878.201171875
284,-2876.86474609375
285,-2877.028564453125
286,-2875.40087890625
287,-2876.41748046875
288,-2876.39404296875
289,-2875.912109375
290,-2878.346923828125
291,-2875.697265625
292,-2877.914794921875
293,-2876.234375
294,-2878.064208984375
295,-2877.156005859375
296,-2875.73291015625
297,-2875.62890625
298,-2876.325439453125
299,-2877.1845703125
300,-2878.689453125
301,-2877.6005859375
302,-2874.38720703125
303,-2875.33544921875
304,-2876.9970703125
305,-2876.827880859375
306,-2877.06640625
307,-2876.700439453125
308,-2877.068359375
309,-2878.24951171875
310,-2874.947021484375
311,-2878.8125
312,-2877.0263671875
313,-2878.266357421875
314,-2879.45947265625
315,-2880.302001953125
316,-2878.42822265625
317,-2879.71484375
318,-2875.859130859375
319,-2877.5673828125
320,-2875.2685546875
321,-2875.68212890625
322,-2876.9853515625
323,-2880.12109375
324,-2877.8974609375
325,-2877.84423828125
326,-2875.51220703125
327,-2877.1494140625
