,log_likelihood
0,-3415.75390625
1,-3416.8310546875
2,-3414.86962890625
3,-3414.494384765625
4,-3414.99560546875
5,-3414.76708984375
6,-3414.5439453125
7,-3414.96533203125
8,-3415.913818359375
9,-3418.3828125
10,-3416.53076171875
11,-3415.0126953125
12,-3414.78125
13,-3413.974609375
14,-3413.18896484375
15,-3418.517578125
16,-3414.7626953125
17,-3414.41796875
18,-3414.949462890625
19,-3411.920654296875
20,-3412.57763671875
21,-3412.73828125
22,-3414.46728515625
23,-3416.07568359375
24,-3413.95263671875
25,-3413.58154296875
26,-3411.06201171875
27,-3413.673828125
28,-3413.03759765625
29,-3414.500732421875
30,-3414.8740234375
31,-3412.53564453125
32,-3412.906982421875
33,-3414.96337890625
34,-3412.79248046875
35,-3415.939453125
36,-3413.853271484375
37,-3414.31396484375
38,-3414.388916015625
39,-3414.712646484375
40,-3414.86669921875
41,-3414.32373046875
42,-3414.00390625
43,-3415.280517578125
44,-3414.893798828125
45,-3411.0771484375
46,-3415.1689453125
47,-3413.21875
48,-3414.47412109375
49,-3414.86279296875
50,-3413.746826171875
51,-3413.78857421875
52,-3416.10546875
53,-3414.4384765625
54,-3414.7314453125
55,-3417.5771484375
56,-3414.3759765625
57,-3413.791748046875
58,-3414.43017578125
59,-3414.889404296875
60,-3414.75537109375
61,-3416.0234375
62,-3413.8310546875
63,-3413.576171875
64,-3415.030517578125
65,-3412.766357421875
66,-3413.504150390625
67,-3414.44580078125
68,-3418.22265625
69,-3414.266357421875
70,-3412.395751953125
71,-3414.65234375
72,-3413.7919921875
73,-3415.7861328125
74,-3413.8466796875
75,-3412.5947265625
76,-3412.27880859375
77,-3411.14794921875
78,-3412.933349609375
79,-3416.048828125
80,-3411.28857421875
81,-3411.7861328125
82,-3415.7080078125
83,-3412.654052734375
84,-3414.297119140625
85,-3412.07275390625
86,-3414.1083984375
87,-3414.332763671875
88,-3412.0712890625
89,-3415.658935546875
90,-3410.010009765625
91,-3411.87060546875
92,-3414.9775390625
93,-3410.8662109375
94,-3411.55224609375
95,-3411.8583984375
96,-3413.661376953125
97,-3412.52880859375
98,-3413.4873046875
99,-3413.791015625
100,-3414.441650390625
101,-3412.73583984375
102,-3411.7607421875
103,-3412.841064453125
104,-3413.73046875
105,-3415.773193359375
106,-3413.87255859375
107,-3412.9853515625
108,-3412.63427734375
109,-3413.56689453125
110,-3414.077880859375
111,-3413.21875
112,-3411.83984375
113,-3415.8076171875
114,-3414.98583984375
115,-3414.78564453125
116,-3416.78125
117,-3414.854248046875
118,-3413.16162109375
119,-3413.8076171875
120,-3413.82568359375
121,-3415.6611328125
122,-3417.104736328125
123,-3412.76416015625
124,-3416.28173828125
125,-3416.0390625
126,-3414.466552734375
127,-3417.54248046875
128,-3414.620849609375
129,-3416.3671875
130,-3416.00634765625
131,-3413.789306640625
132,-3411.66357421875
133,-3413.83935546875
134,-3412.99609375
135,-3413.20556640625
136,-3414.0048828125
137,-3411.7099609375
138,-3412.535888671875
139,-3413.08154296875
140,-3413.694580078125
141,-3411.751220703125
142,-3413.707275390625
143,-3414.077880859375
144,-3412.028076171875
145,-3412.759765625
146,-3412.716552734375
147,-3412.9287109375
148,-3412.237060546875
149,-3412.845458984375
150,-3413.28466796875
151,-3412.78173828125
152,-3415.2333984375
153,-3411.477294921875
154,-3412.720703125
155,-3416.31591796875
156,-3413.38427734375
157,-3409.267578125
158,-3413.381591796875
159,-3414.691162109375
160,-3412.919921875
161,-3414.85302734375
162,-3414.84716796875
163,-3414.693359375
164,-3413.49072265625
165,-3413.10888671875
166,-3414.563720703125
167,-3413.212646484375
168,-3414.1337890625
169,-3413.3466796875
170,-3415.24755859375
171,-3415.20654296875
172,-3414.9697265625
173,-3416.5615234375
174,-3412.537109375
175,-3414.745361328125
176,-3416.12548828125
177,-3412.72705078125
178,-3411.99951171875
179,-3413.892578125
180,-3415.34765625
181,-3413.71630859375
182,-3413.130126953125
183,-3414.74609375
184,-3414.67431640625
185,-3414.412109375
186,-3416.28515625
187,-3413.0869140625
188,-3414.3251953125
189,-3415.53271484375
190,-3413.5654296875
191,-3419.027099609375
192,-3416.4091796875
193,-3416.6455078125
194,-3412.53759765625
195,-3413.416748046875
196,-3416.441650390625
197,-3415.788818359375
198,-3414.4716796875
199,-3418.836669921875
200,-3414.111572265625
201,-3414.376953125
202,-3418.3427734375
203,-3416.35400390625
204,-3415.54931640625
205,-3415.747314453125
206,-3416.469482421875
207,-3415.367919921875
208,-3415.0009765625
209,-3410.48828125
210,-3409.351806640625
211,-3414.72119140625
212,-3412.38623046875
213,-3415.023681640625
214,-3413.6650390625
215,-3413.046875
216,-3412.7939453125
217,-3411.9638671875
218,-3412.382568359375
219,-3412.81201171875
220,-3415.994384765625
221,-3412.710693359375
222,-3411.147705078125
223,-3410.30224609375
224,-3415.362548828125
225,-3412.640380859375
226,-3414.36376953125
227,-3414.727294921875
228,-3417.492919921875
229,-3415.57861328125
230,-3414.141845703125
231,-3419.879638671875
232,-3414.67529296875
233,-3417.20654296875
234,-3418.83056640625
235,-3415.271484375
236,-3417.46728515625
237,-3415.92333984375
238,-3416.333251953125
239,-3414.810791015625
240,-3415.955078125
241,-3416.97802734375
242,-3415.23974609375
243,-3415.72900390625
244,-3416.5244140625
245,-3418.613525390625
246,-3413.85009765625
247,-3415.733154296875
248,-3418.41455078125
249,-3414.171630859375
250,-3415.64013671875
251,-3414.823486328125
252,-3414.7060546875
253,-3414.01318359375
254,-3416.3310546875
255,-3416.23388671875
256,-3415.5078125
257,-3411.935302734375
258,-3414.232421875
259,-3415.9775390625
260,-3413.5078125
261,-3414.639892578125
262,-3414.1083984375
263,-3415.724609375
264,-3414.9609375
265,-3414.695556640625
266,-3412.599365234375
267,-3414.29052734375
268,-3413.795654296875
269,-3417.03369140625
270,-3413.723388671875
271,-3412.55029296875
272,-3415.11669921875
273,-3413.352783203125
274,-3415.231201171875
275,-3414.8037109375
276,-3414.66845703125
277,-3414.32470703125
278,-3413.88916015625
279,-3413.9580078125
280,-3415.108642578125
281,-3413.3740234375
282,-3413.92041015625
283,-3413.5888671875
284,-3415.86376953125
285,-3415.21533203125
286,-3415.75
287,-3414.940673828125
288,-3415.73681640625
289,-3416.149658203125
290,-3415.3173828125
291,-3416.498046875
292,-3415.47119140625
293,-3416.2412109375
294,-3416.20166015625
295,-3417.258056640625
296,-3413.531005859375
297,-3417.3876953125
298,-3414.78173828125
299,-3415.9736328125
300,-3415.74560546875
301,-3416.6513671875
302,-3414.90673828125
303,-3413.62451171875
304,-3413.904296875
305,-3416.65087890625
306,-3412.275390625
307,-3416.885498046875
308,-3413.885498046875
309,-3414.180908203125
310,-3414.5986328125
311,-3412.375732421875
312,-3414.70751953125
313,-3415.111328125
314,-3416.19482421875
315,-3414.266357421875
316,-3412.568359375
317,-3411.927490234375
318,-3412.916259765625
319,-3416.619140625
320,-3413.73095703125
321,-3414.4140625
322,-3417.322265625
323,-3416.25634765625
324,-3415.92431640625
325,-3414.408203125
326,-3416.6025390625
327,-3414.8427734375
328,-3415.285400390625
329,-3414.513916015625
330,-3412.75634765625
331,-3415.6708984375
332,-3414.080078125
333,-3413.847412109375
334,-3411.08544921875
335,-3413.3671875
336,-3416.49072265625
337,-3414.19189453125
338,-3412.17333984375
339,-3414.692626953125
340,-3415.013671875
341,-3415.30322265625
342,-3419.1318359375
343,-3413.93359375
344,-3418.597900390625
345,-3415.157470703125
346,-3414.890869140625
347,-3418.96923828125
348,-3415.272705078125
349,-3416.582275390625
350,-3418.570556640625
351,-3415.3076171875
352,-3418.22314453125
353,-3415.08935546875
354,-3415.008056640625
355,-3417.7158203125
356,-3414.8984375
357,-3414.69482421875
358,-3415.3681640625
359,-3413.337646484375
360,-3415.0830078125
361,-3413.41796875
362,-3414.473388671875
363,-3413.859130859375
364,-3414.673583984375
365,-3415.87255859375
366,-3413.274169921875
367,-3415.55908203125
368,-3415.35205078125
369,-3413.402099609375
370,-3413.30859375
371,-3414.32568359375
372,-3414.184814453125
373,-3417.49462890625
374,-3415.174072265625
375,-3414.522216796875
376,-3413.1845703125
377,-3413.26904296875
378,-3415.591796875
379,-3414.419189453125
380,-3415.708251953125
381,-3414.8310546875
382,-3415.586181640625
383,-3416.43798828125
384,-3415.65771484375
385,-3416.08642578125
386,-3414.68408203125
387,-3417.3359375
388,-3413.053955078125
389,-3414.2578125
390,-3414.8681640625
391,-3416.640625
392,-3416.25927734375
393,-3417.24658203125
394,-3416.37158203125
395,-3414.54736328125
396,-3416.21875
397,-3414.491455078125
398,-3413.72021484375
399,-3413.10888671875
400,-3414.206787109375
401,-3416.087646484375
402,-3413.26953125
403,-3413.6962890625
404,-3413.361328125
405,-3414.9580078125
406,-3413.176513671875
407,-3414.15478515625
408,-3415.817138671875
409,-3414.212890625
410,-3414.257568359375
411,-3414.83642578125
412,-3414.55419921875
413,-3415.05078125
414,-3412.446044921875
415,-3414.0400390625
416,-3415.12158203125
417,-3412.99755859375
418,-3413.391845703125
