,log_likelihood
0,-4079.921875
1,-4060.84521484375
2,-4073.87353515625
3,-4070.3037109375
4,-4075.71240234375
5,-4093.95068359375
6,-4075.46142578125
7,-4093.2841796875
8,-4081.077392578125
9,-4069.51611328125
10,-4079.1201171875
11,-4114.97998046875
12,-4080.09716796875
13,-4086.4677734375
14,-4085.40576171875
15,-4055.98876953125
16,-4114.0478515625
17,-4065.4375
18,-4085.385009765625
19,-4078.816650390625
20,-4069.658203125
21,-4073.7373046875
22,-4067.56005859375
23,-4076.9033203125
24,-4094.663818359375
25,-4077.937744140625
26,-4078.67041015625
27,-4093.62158203125
28,-4074.87744140625
29,-4102.404296875
30,-4082.1142578125
31,-4078.05078125
32,-4065.50439453125
33,-4053.86181640625
34,-4062.036865234375
35,-4074.975341796875
36,-4092.78076171875
37,-4080.53857421875
38,-4074.78466796875
39,-4076.880126953125
40,-4089.910888671875
41,-4089.11962890625
42,-4076.07421875
43,-4068.267578125
44,-4075.576171875
45,-4084.29443359375
46,-4083.9892578125
47,-4089.4150390625
48,-4121.88916015625
49,-4084.4873046875
50,-4085.4013671875
51,-4085.748046875
52,-4095.158203125
53,-4095.34912109375
54,-4079.804443359375
55,-4093.644775390625
56,-4092.109375
57,-4086.177734375
58,-4093.0732421875
59,-4112.1708984375
60,-4069.40625
61,-4078.61572265625
62,-4093.01416015625
63,-4060.41015625
64,-4073.7861328125
65,-4120.2802734375
66,-4092.087890625
67,-4123.341796875
68,-4131.7021484375
69,-4103.46435546875
70,-4071.4453125
71,-4094.783203125
72,-4089.120361328125
73,-4081.980224609375
74,-4085.70751953125
75,-4074.827392578125
76,-4074.81591796875
77,-4064.28271484375
78,-4072.771484375
79,-4068.708984375
80,-4083.184814453125
81,-4088.08544921875
82,-4083.4052734375
83,-4073.525390625
84,-4057.64599609375
85,-4093.251953125
86,-4068.04638671875
87,-4073.595703125
88,-4069.17236328125
89,-4073.3681640625
90,-4064.1240234375
91,-4053.46240234375
92,-4076.63818359375
93,-4093.8115234375
94,-4109.35498046875
95,-4065.267333984375
96,-4102.51416015625
97,-4083.725830078125
98,-4105.1982421875
99,-4093.6962890625
100,-4079.13232421875
101,-4093.176513671875
102,-4093.365234375
103,-4075.9775390625
104,-4084.3408203125
105,-4070.5126953125
106,-4104.43310546875
107,-4055.548828125
108,-4070.56640625
109,-4086.1025390625
110,-4078.76806640625
111,-4064.662109375
112,-4089.254150390625
113,-4108.40966796875
114,-4086.34521484375
115,-4113.52392578125
116,-4076.14501953125
117,-4079.36962890625
118,-4108.12060546875
119,-4093.4072265625
120,-4091.123046875
121,-4084.969970703125
122,-4107.4521484375
123,-4089.852783203125
124,-4065.52099609375
125,-4129.072265625
126,-4113.79638671875
127,-4098.984375
128,-4095.24609375
129,-4085.696044921875
130,-4079.72314453125
131,-4103.66748046875
132,-4088.314453125
133,-4060.96435546875
134,-4089.4609375
135,-4069.853515625
136,-4084.931396484375
137,-4041.348876953125
138,-4098.43017578125
139,-4069.20361328125
140,-4077.79638671875
141,-4073.5341796875
142,-4094.61474609375
143,-4070.4248046875
144,-4079.311279296875
145,-4096.96142578125
146,-4090.22998046875
147,-4074.90771484375
148,-4092.196533203125
149,-4093.563232421875
150,-4073.01318359375
151,-4063.463134765625
152,-4099.1484375
153,-4095.046875
154,-4065.1259765625
155,-4092.60205078125
156,-4091.85205078125
157,-4089.576904296875
158,-4059.79296875
159,-4093.14794921875
160,-4084.064453125
161,-4101.466796875
162,-4075.2529296875
163,-4085.2724609375
164,-4108.5458984375
165,-4080.05859375
166,-4080.177978515625
167,-4060.914794921875
168,-4064.388671875
169,-4080.72265625
170,-4060.54443359375
171,-4087.722900390625
172,-4122.6328125
173,-4091.6396484375
174,-4093.8544921875
175,-4084.4951171875
176,-4084.359375
177,-4102.34423828125
178,-4059.55712890625
179,-4102.798828125
180,-4087.83642578125
181,-4078.43212890625
182,-4094.48388671875
183,-4093.3994140625
184,-4083.02099609375
185,-4065.4853515625
186,-4045.42529296875
187,-4061.49462890625
188,-4083.2783203125
189,-4103.70947265625
190,-4101.4658203125
191,-4080.133544921875
192,-4103.802734375
193,-4112.11279296875
194,-4076.92041015625
195,-4117.078125
196,-4076.299072265625
197,-4103.53759765625
198,-4082.004638671875
199,-4113.1103515625
200,-4063.754150390625
201,-4101.75537109375
202,-4088.38037109375
203,-4103.0048828125
204,-4093.73046875
205,-4079.218994140625
206,-4131.63671875
207,-4077.007080078125
208,-4055.95361328125
209,-4112.54931640625
210,-4129.8984375
211,-4077.39697265625
212,-4064.5185546875
213,-4083.4443359375
214,-4098.6640625
215,-4102.4306640625
216,-4092.82861328125
217,-4082.447998046875
218,-4088.6865234375
219,-4077.61962890625
220,-4088.036865234375
221,-4074.58349609375
222,-4075.29736328125
223,-4103.134765625
224,-4083.370361328125
225,-4093.6162109375
226,-4059.9443359375
227,-4082.929443359375
228,-4097.14599609375
229,-4070.06689453125
230,-4064.905029296875
231,-4070.0546875
232,-4122.77734375
233,-4068.52490234375
234,-4073.85400390625
235,-4064.03759765625
236,-4087.4931640625
237,-4068.6298828125
238,-4074.76513671875
239,-4084.2041015625
240,-4087.71142578125
241,-4102.92822265625
242,-4067.36669921875
243,-4099.7421875
244,-4080.208251953125
245,-4080.7421875
246,-4093.15478515625
247,-4079.907958984375
248,-4080.329833984375
249,-4069.566650390625
250,-4080.34326171875
251,-4093.14404296875
252,-4073.828125
253,-4095.4375
254,-4060.795654296875
255,-4089.845703125
256,-4088.46875
257,-4127.072265625
258,-4093.42431640625
259,-4074.4375
260,-4132.92138671875
261,-4079.20166015625
262,-4075.552490234375
263,-4089.6875
264,-4084.37451171875
265,-4088.927734375
266,-4105.5888671875
267,-4067.0
268,-4070.088134765625
269,-4074.494140625
270,-4111.63330078125
271,-4146.09375
272,-4074.188720703125
273,-4034.992431640625
274,-4068.5439453125
275,-4098.34423828125
276,-4144.07275390625
277,-4077.4287109375
278,-4232.7666015625
279,-4087.87109375
280,-4080.02978515625
281,-4135.85400390625
282,-4079.298828125
283,-4071.10400390625
284,-4080.307373046875
285,-4070.52392578125
286,-4083.891845703125
287,-4080.204345703125
288,-4076.06103515625
289,-4068.5927734375
290,-4075.79736328125
291,-4066.15576171875
292,-4089.669921875
293,-4067.0625
294,-4076.59619140625
295,-4065.21240234375
296,-4086.38671875
297,-4064.956298828125
298,-4100.4736328125
299,-4056.4990234375
300,-4059.30322265625
301,-4075.270751953125
302,-4085.547607421875
303,-4074.73291015625
304,-4069.382080078125
305,-4094.93896484375
306,-4074.576904296875
307,-4058.902099609375
308,-4088.81201171875
309,-4078.929931640625
310,-4060.10693359375
311,-4084.01611328125
312,-4118.1416015625
313,-4076.54248046875
314,-4058.8642578125
315,-4083.87744140625
316,-4079.526611328125
317,-4070.420654296875
318,-4083.738037109375
319,-4065.110595703125
320,-4074.40673828125
321,-4070.66650390625
322,-4104.861328125
323,-4072.943603515625
324,-4059.345703125
325,-4098.5302734375
326,-4077.060791015625
327,-4090.353515625
328,-4083.49169921875
329,-4093.968505859375
330,-4104.83251953125
