,log_likelihood
0,-1916.055908203125
1,-1752.87841796875
2,-1798.58447265625
3,-1897.0458984375
4,-1811.49365234375
5,-1873.614990234375
6,-1787.5185546875
7,-1763.0482177734375
8,-1776.540283203125
9,-1767.564453125
10,-1856.747802734375
11,-1990.962890625
12,-1804.6002197265625
13,-1840.61328125
14,-1795.701416015625
15,-2096.46142578125
16,-1913.52294921875
17,-1869.537841796875
18,-1920.0166015625
19,-1851.670654296875
20,-1974.5054931640625
21,-1929.1915283203125
22,-1950.375732421875
23,-1930.7794189453125
24,-2018.43408203125
25,-1863.8154296875
26,-1948.215087890625
27,-1948.570068359375
28,-1951.581298828125
29,-1985.829345703125
30,-1998.6632080078125
31,-2031.0087890625
32,-1930.9461669921875
33,-1910.1988525390625
34,-1988.6396484375
35,-1911.740234375
36,-2027.968505859375
37,-2189.857666015625
38,-1996.572021484375
39,-1457.3193359375
40,-1860.14453125
41,-2060.22509765625
42,-2018.739501953125
43,-1937.374755859375
44,-1856.521240234375
45,-1788.680419921875
46,-1892.2822265625
47,-1627.431884765625
48,-1888.617431640625
49,-1934.9432373046875
50,-2177.45751953125
51,-1605.6748046875
52,-1900.486083984375
53,-1786.9832763671875
54,-1722.216064453125
55,-1863.0838623046875
56,-1802.976806640625
57,-1941.6676025390625
58,-2067.91796875
59,-1864.30517578125
60,-1966.9742431640625
61,-2055.09765625
62,-2060.632568359375
63,-1633.6986083984375
64,-1842.27734375
65,-1926.5247802734375
66,-1955.0302734375
67,-1871.3292236328125
68,-1956.172119140625
69,-2133.52001953125
70,-2116.07568359375
71,-1714.3394775390625
72,-1976.927978515625
73,-1828.8465576171875
74,-1726.4339599609375
75,-1861.2159423828125
76,-1982.067626953125
77,-1755.2332763671875
78,-1754.8980712890625
79,-1735.94287109375
80,-1825.5634765625
81,-1765.961669921875
82,-1891.125244140625
83,-2080.646484375
84,-1731.5792236328125
85,-1819.268798828125
86,-1888.586181640625
87,-1931.60205078125
88,-1803.36962890625
89,-1707.444580078125
90,-1848.5687255859375
91,-1858.8953857421875
92,-1705.01708984375
93,-1704.1728515625
94,-1741.8255615234375
95,-1993.431396484375
96,-1680.7825927734375
97,-1852.24072265625
98,-1819.876708984375
99,-1960.1180419921875
100,-1724.546630859375
101,-1790.50537109375
102,-1890.65625
103,-1692.127685546875
104,-1684.89111328125
105,-1753.648681640625
106,-1681.3922119140625
107,-1820.416015625
108,-1789.635498046875
109,-1838.3760986328125
110,-1708.741455078125
111,-1817.78271484375
112,-1886.31494140625
113,-1911.421142578125
114,-1868.583740234375
115,-1704.537841796875
116,-1762.330078125
117,-1771.0849609375
118,-1843.9041748046875
119,-2114.3701171875
120,-1773.318115234375
121,-1960.10009765625
122,-1872.5478515625
