,log_likelihood
0,-3960.693115234375
1,-3993.30126953125
2,-4029.877197265625
3,-4012.074462890625
4,-3980.7392578125
5,-4041.56591796875
6,-4010.9921875
7,-3940.541748046875
8,-3999.636474609375
9,-4007.269287109375
10,-3923.189453125
11,-3969.6494140625
12,-3934.9169921875
13,-3984.91259765625
14,-4006.361328125
15,-4003.1162109375
16,-4016.4052734375
17,-4008.470703125
18,-4013.350830078125
19,-3986.56396484375
20,-4033.864013671875
21,-3984.11083984375
22,-3964.1162109375
23,-4049.15673828125
24,-3941.51123046875
25,-3998.27734375
26,-3955.15087890625
27,-4012.083251953125
28,-3993.265380859375
29,-4021.000244140625
30,-3974.257080078125
31,-3951.56201171875
32,-3994.38427734375
33,-4008.08544921875
34,-4011.734375
35,-3989.456787109375
36,-4040.123779296875
37,-4040.48974609375
38,-3982.54931640625
39,-4030.874267578125
40,-4049.18017578125
41,-4023.481689453125
42,-4036.678466796875
43,-4013.1669921875
44,-4024.26171875
45,-4058.56787109375
46,-4059.39697265625
47,-4040.01220703125
48,-4079.98828125
49,-4052.081787109375
50,-4023.701416015625
51,-4068.740478515625
52,-4039.847900390625
53,-4039.2861328125
54,-3997.7421875
55,-4055.2646484375
56,-4011.74609375
57,-4024.8828125
58,-4074.53369140625
59,-3998.1328125
60,-4032.749755859375
61,-4049.626953125
62,-3996.151611328125
63,-4044.4482421875
64,-4095.07861328125
65,-4072.257080078125
66,-4002.822509765625
67,-4026.56103515625
68,-4086.23681640625
69,-4050.797119140625
70,-4056.201171875
71,-4017.69921875
72,-4083.75341796875
73,-3978.506591796875
74,-4018.6904296875
75,-3994.479248046875
76,-3970.970947265625
77,-4010.91015625
78,-3993.99072265625
79,-3988.09033203125
80,-3989.20703125
81,-3959.43359375
82,-3988.95166015625
83,-4027.355712890625
84,-4091.91259765625
85,-4069.5537109375
86,-4110.9580078125
87,-4023.5634765625
88,-4047.2861328125
89,-4128.69580078125
90,-4099.2529296875
91,-4074.57275390625
92,-4083.63818359375
93,-4096.94921875
94,-4074.203125
95,-4099.75244140625
96,-4116.2451171875
97,-4061.487548828125
98,-3994.095947265625
99,-4047.217041015625
100,-4089.501220703125
101,-3964.47802734375
102,-3964.83349609375
103,-3984.626708984375
104,-3983.01025390625
105,-3967.20849609375
106,-3994.3173828125
107,-3978.218505859375
108,-4021.6591796875
109,-4017.3388671875
110,-3979.495849609375
111,-3984.142822265625
112,-3973.5439453125
113,-3946.21826171875
114,-3989.266357421875
115,-4006.90771484375
116,-3970.14892578125
117,-3984.47216796875
118,-3997.57177734375
119,-3945.6103515625
120,-3983.82470703125
121,-4004.56396484375
122,-4026.119140625
123,-4005.7197265625
124,-3985.2421875
125,-3980.248291015625
126,-3982.8720703125
127,-4032.677001953125
128,-4012.46240234375
129,-4014.08251953125
130,-4022.849609375
131,-3993.8466796875
132,-3974.37744140625
133,-4050.2509765625
134,-4054.70751953125
135,-4060.80712890625
136,-4036.2900390625
137,-4064.39892578125
138,-4054.92919921875
139,-4010.774169921875
140,-3998.478271484375
141,-4012.34765625
142,-3944.5546875
143,-4047.86474609375
144,-4069.178466796875
145,-4030.6982421875
146,-4027.87451171875
147,-4068.4228515625
148,-3912.4560546875
149,-3932.624755859375
150,-3965.8828125
151,-3961.613525390625
152,-3932.90283203125
153,-3991.573486328125
154,-3959.333984375
155,-3940.78076171875
156,-3955.4033203125
157,-3955.28173828125
158,-3961.57666015625
159,-3954.705322265625
160,-3913.810546875
161,-3938.57861328125
162,-3936.0205078125
163,-4027.173828125
164,-4003.10791015625
165,-4050.73388671875
166,-3974.906494140625
167,-4059.52294921875
168,-4010.7138671875
169,-3990.6435546875
170,-4025.4521484375
171,-3986.291015625
172,-4029.9169921875
173,-4025.917236328125
174,-4063.695068359375
175,-4026.950439453125
176,-4021.29931640625
177,-3996.58984375
178,-4045.9248046875
179,-4035.042236328125
180,-4027.257568359375
181,-4011.75048828125
182,-4029.5927734375
183,-3972.9765625
184,-4038.8447265625
185,-4059.22802734375
186,-3988.8896484375
187,-4048.242919921875
188,-4016.43505859375
189,-4029.679931640625
190,-4013.82568359375
191,-4021.500244140625
192,-4027.777099609375
193,-4012.1162109375
194,-4009.16357421875
195,-4041.6337890625
196,-4029.98974609375
197,-4035.05859375
198,-4020.35107421875
199,-4048.794921875
200,-4008.773193359375
201,-4003.03955078125
202,-4024.98779296875
203,-3988.47607421875
204,-4000.86767578125
205,-4016.8349609375
206,-4064.330078125
207,-4030.94140625
208,-4076.383544921875
209,-4048.2744140625
210,-4089.6845703125
211,-4064.7294921875
212,-4049.157958984375
213,-4025.6259765625
214,-4051.27197265625
215,-4045.656982421875
216,-4069.53955078125
217,-4097.82470703125
218,-4059.30615234375
219,-4063.349853515625
220,-4036.19921875
221,-4017.447509765625
222,-4017.730224609375
223,-3982.370849609375
224,-4012.629638671875
225,-4020.9365234375
226,-3979.42431640625
227,-3993.73828125
228,-4013.2333984375
229,-4031.82275390625
230,-3971.69921875
231,-3976.44482421875
232,-3997.7080078125
233,-3965.07666015625
234,-4008.02783203125
235,-4065.776611328125
236,-3950.133544921875
237,-4073.474609375
238,-4026.04931640625
239,-4036.6142578125
240,-3979.383056640625
241,-3979.314453125
242,-3993.4013671875
243,-3999.149658203125
244,-3989.59130859375
245,-3968.779541015625
246,-3965.55859375
247,-3993.223876953125
248,-3979.349609375
249,-3975.34375
250,-4018.24658203125
251,-4019.416015625
252,-3969.1552734375
253,-3978.45263671875
254,-3968.5439453125
255,-3950.2109375
256,-4004.54296875
257,-3957.4189453125
258,-3998.68603515625
259,-4048.942626953125
260,-4050.85693359375
261,-3996.598388671875
262,-4015.3427734375
263,-4002.248046875
264,-4016.2490234375
265,-4007.64794921875
266,-4030.67822265625
267,-4021.690185546875
268,-4058.9765625
269,-3993.039794921875
270,-4031.1884765625
271,-4036.71044921875
272,-3978.619140625
273,-4021.670166015625
274,-4017.097900390625
275,-4023.707763671875
276,-4009.21484375
277,-4022.24853515625
278,-3992.88525390625
279,-4027.129150390625
280,-3999.166015625
281,-4018.80859375
282,-4000.41015625
283,-3983.486572265625
284,-3989.22412109375
285,-3983.48486328125
286,-4011.636962890625
287,-3969.494873046875
288,-4001.959228515625
289,-4001.930908203125
290,-3993.018310546875
291,-3983.63720703125
292,-3988.82275390625
293,-3992.599853515625
294,-3990.5
295,-3988.66748046875
296,-3989.40380859375
297,-4005.537109375
298,-4017.98828125
299,-4007.488037109375
300,-3998.2958984375
301,-4023.99658203125
302,-3994.10302734375
303,-3993.205322265625
304,-4015.72021484375
305,-4003.883056640625
306,-4017.43017578125
307,-4017.157470703125
308,-3996.3583984375
309,-4002.32763671875
310,-4005.300537109375
311,-4052.52099609375
312,-4017.35791015625
313,-4045.6259765625
314,-4037.164794921875
315,-4044.03369140625
316,-4020.8056640625
317,-4045.91845703125
318,-4054.4638671875
319,-4028.14794921875
320,-4018.915283203125
321,-4030.535888671875
322,-4047.4169921875
323,-4046.235107421875
324,-4046.27978515625
325,-4032.270263671875
326,-4019.446533203125
327,-4033.07958984375
328,-4031.337890625
329,-4017.86279296875
330,-4021.606689453125
331,-4041.921875
332,-4041.458984375
333,-4032.240234375
334,-4037.8671875
335,-3932.214111328125
336,-3986.03173828125
337,-3964.5
338,-3973.7197265625
339,-3978.60791015625
340,-4008.62890625
341,-3988.71728515625
342,-3993.759765625
343,-3997.845947265625
344,-4004.546875
345,-3970.226806640625
346,-4002.38232421875
347,-3969.759521484375
348,-3956.4091796875
349,-3985.07275390625
350,-3980.983642578125
351,-3996.8076171875
352,-3999.759033203125
353,-4014.58349609375
354,-3966.2587890625
355,-3988.652099609375
356,-3983.769775390625
357,-4008.482421875
358,-3999.843505859375
359,-3990.986572265625
360,-4000.5
361,-4010.207763671875
362,-4004.501953125
363,-3983.73046875
364,-3998.244140625
365,-3995.21337890625
366,-4004.11669921875
367,-3974.179931640625
368,-4008.015625
369,-3997.29443359375
370,-3983.76123046875
371,-3981.055419921875
372,-3991.52978515625
373,-3989.189453125
374,-4026.43994140625
375,-3999.00244140625
376,-4008.47314453125
377,-3952.5185546875
378,-3979.9599609375
379,-3975.24267578125
380,-3980.6904296875
381,-3998.485107421875
382,-3949.259765625
383,-3992.64111328125
384,-4006.134033203125
385,-3993.12158203125
386,-4001.1865234375
387,-4002.439697265625
388,-4007.4306640625
389,-4031.953125
390,-3987.711181640625
391,-4016.96044921875
392,-4005.87353515625
393,-3997.66748046875
394,-3983.544921875
395,-3988.0009765625
396,-4013.94384765625
397,-4024.486572265625
398,-4062.59326171875
399,-4004.253662109375
400,-4020.437744140625
401,-4003.802490234375
402,-4012.98583984375
403,-4061.745361328125
404,-4025.0029296875
405,-4023.619140625
406,-4054.428955078125
407,-4010.99755859375
408,-4008.326171875
409,-4018.105224609375
410,-4019.446044921875
411,-3962.820556640625
412,-3916.46630859375
413,-3977.4052734375
414,-4066.949462890625
415,-3882.49267578125
416,-4014.64013671875
417,-3995.21630859375
418,-4017.8779296875
419,-3999.314453125
420,-3933.689453125
