,log_likelihood
986,-2202.801025390625
987,-2202.85498046875
988,-2203.21435546875
989,-2201.96533203125
990,-2203.0205078125
991,-2201.0263671875
992,-2202.5283203125
993,-2202.419921875
994,-2207.22998046875
995,-2201.185791015625
996,-2201.9755859375
997,-2202.74462890625
998,-2201.40087890625
999,-2202.736328125
1000,-2208.4521484375
1001,-2201.3994140625
1002,-2201.54638671875
1003,-2200.834228515625
1004,-2199.608642578125
1005,-2201.177001953125
1006,-2201.93994140625
1007,-2201.2060546875
1008,-2202.49267578125
1009,-2200.9072265625
1010,-2201.998046875
1011,-2204.13720703125
1012,-2204.80712890625
1013,-2205.68896484375
1014,-2202.274169921875
1015,-2202.863525390625
1016,-2201.15625
1017,-2203.53955078125
1018,-2204.44970703125
1019,-2201.62841796875
1020,-2202.860107421875
1021,-2201.7392578125
1022,-2204.56201171875
1023,-2203.174560546875
1024,-2201.090576171875
1025,-2202.328125
1026,-2202.96875
1027,-2202.265625
1028,-2203.28955078125
1029,-2201.594970703125
1030,-2204.30517578125
1031,-2202.02587890625
1032,-2202.470947265625
1033,-2203.49462890625
1034,-2206.8349609375
1035,-2202.744140625
1036,-2200.5791015625
1037,-2200.76171875
1038,-2202.50048828125
1039,-2200.7041015625
1040,-2199.613525390625
1041,-2203.87744140625
1042,-2203.296875
1043,-2204.517578125
1044,-2202.62109375
1045,-2203.0517578125
1046,-2202.771484375
1047,-2202.72802734375
1048,-2204.14501953125
1049,-2202.910888671875
1050,-2206.4716796875
1051,-2205.2451171875
1052,-2200.624755859375
1053,-2202.560791015625
1054,-2206.1591796875
1055,-2203.30859375
1056,-2203.56787109375
1057,-2205.08642578125
1058,-2203.372314453125
1059,-2202.970703125
1060,-2201.89501953125
1061,-2206.236328125
1062,-2202.682373046875
1063,-2201.71630859375
1064,-2202.97509765625
1065,-2203.512939453125
1066,-2203.78369140625
1067,-2200.73974609375
1068,-2201.443359375
1069,-2202.919677734375
1070,-2204.8544921875
1071,-2203.182861328125
1072,-2206.00927734375
1073,-2203.40478515625
1074,-2201.726806640625
1075,-2201.83984375
1076,-2203.56640625
1077,-2203.68212890625
1078,-2200.9794921875
1079,-2202.5615234375
1080,-2202.84814453125
1081,-2202.28369140625
1082,-2202.3994140625
1083,-2203.31005859375
1084,-2205.93798828125
1085,-2202.487060546875
1086,-2202.1796875
1087,-2200.82275390625
1088,-2201.793212890625
1089,-2200.56396484375
1090,-2202.34814453125
1091,-2202.134521484375
1092,-2202.455078125
1093,-2203.53466796875
1094,-2202.744140625
1095,-2202.30517578125
1096,-2203.1435546875
1097,-2202.058349609375
1098,-2202.0048828125
1099,-2201.98193359375
1100,-2201.12353515625
1101,-2201.51123046875
1102,-2201.737548828125
1103,-2200.5146484375
1104,-2203.184326171875
1105,-2203.26953125
1106,-2200.67626953125
1107,-2203.46240234375
1108,-2205.4794921875
1109,-2201.578125
1110,-2201.74560546875
1111,-2203.36181640625
