,log_likelihood
942,-3230.2734375
943,-3229.67333984375
944,-3230.453857421875
945,-3231.541259765625
946,-3225.57666015625
947,-3229.130126953125
948,-3230.22216796875
949,-3228.39111328125
950,-3230.9990234375
951,-3229.37890625
952,-3230.44970703125
953,-3230.24072265625
954,-3224.938720703125
955,-3230.228271484375
956,-3229.669921875
957,-3228.734375
958,-3232.474609375
959,-3228.36279296875
960,-3231.275390625
961,-3233.446533203125
962,-3229.59423828125
963,-3229.462158203125
964,-3232.592529296875
965,-3229.708740234375
966,-3228.94482421875
967,-3230.05859375
968,-3231.82763671875
969,-3231.53125
970,-3229.69775390625
971,-3228.5810546875
972,-3231.9697265625
973,-3231.11083984375
974,-3225.96728515625
975,-3231.59619140625
976,-3225.75146484375
977,-3232.2158203125
978,-3231.638916015625
979,-3231.38623046875
980,-3229.10595703125
981,-3230.04345703125
982,-3226.666259765625
983,-3230.240966796875
984,-3231.443359375
985,-3230.25439453125
