,log_likelihood
126,-1967.5582275390625
127,-1969.8974609375
128,-1967.625244140625
129,-1968.028564453125
130,-1968.94970703125
131,-1969.67041015625
132,-1969.0118408203125
133,-1968.319091796875
134,-1969.240234375
135,-1970.3475341796875
136,-1967.190185546875
137,-1966.587158203125
138,-1969.8792724609375
139,-1970.542724609375
140,-1968.2440185546875
141,-1969.0260009765625
142,-1969.2220458984375
143,-1970.353271484375
144,-1969.49072265625
145,-1968.9659423828125
146,-1967.1678466796875
147,-1969.4371337890625
148,-1969.8475341796875
149,-1966.446044921875
150,-1970.2528076171875
151,-1969.3955078125
152,-1969.810302734375
153,-1969.150146484375
154,-1970.125732421875
155,-1968.533203125
156,-1968.61865234375
157,-1969.921875
158,-1971.247802734375
159,-1969.590576171875
160,-1968.694580078125
161,-1969.1507568359375
162,-1965.7418212890625
163,-1968.4188232421875
164,-1971.39892578125
165,-1968.487548828125
166,-1968.2440185546875
167,-1966.400390625
168,-1968.97705078125
169,-1970.18603515625
170,-1969.0059814453125
171,-1969.2347412109375
172,-1969.293701171875
173,-1968.6510009765625
174,-1971.13916015625
175,-1969.4229736328125
176,-1969.857177734375
177,-1970.4619140625
178,-1970.2672119140625
179,-1970.6983642578125
180,-1968.556640625
181,-1969.51171875
182,-1969.1090087890625
183,-1968.9287109375
184,-1967.994140625
185,-1969.4136962890625
186,-1971.50341796875
187,-1967.54248046875
188,-1968.810302734375
189,-1966.159912109375
190,-1968.345458984375
191,-1968.916259765625
192,-1970.09814453125
193,-1967.47705078125
194,-1969.310302734375
195,-1969.9879150390625
196,-1970.6864013671875
197,-1968.597900390625
198,-1968.6005859375
199,-1968.6971435546875
200,-1969.117431640625
201,-1969.3095703125
202,-1969.20166015625
203,-1967.113037109375
204,-1966.5035400390625
205,-1970.9708251953125
206,-1969.291259765625
207,-1967.5653076171875
208,-1968.8489990234375
209,-1969.4176025390625
210,-1967.5068359375
211,-1967.774658203125
212,-1966.6282958984375
213,-1970.012939453125
214,-1969.175048828125
215,-1968.820556640625
216,-1967.947265625
217,-1970.4736328125
218,-1971.117431640625
219,-1969.808837890625
220,-1969.13232421875
221,-1968.1689453125
222,-1969.33984375
223,-1969.1474609375
224,-1971.26318359375
225,-1967.3150634765625
226,-1969.44384765625
227,-1969.117431640625
228,-1968.5673828125
229,-1968.9813232421875
230,-1969.4464111328125
231,-1969.729248046875
232,-1969.4063720703125
233,-1969.448486328125
234,-1969.544921875
235,-1968.157470703125
236,-1971.246826171875
237,-1969.794677734375
238,-1969.6468505859375
239,-1968.977783203125
240,-1968.967041015625
241,-1969.53173828125
242,-1966.6063232421875
243,-1969.433349609375
244,-1968.6368408203125
245,-1968.607666015625
246,-1967.4395751953125
247,-1969.2431640625
248,-1970.568603515625
249,-1969.7880859375
250,-1968.64453125
251,-1967.7742919921875
