,log_likelihood
1112,-3300.392822265625
1113,-3298.80419921875
1114,-3296.58349609375
1115,-3296.092529296875
1116,-3300.564453125
1117,-3299.833251953125
1118,-3298.39208984375
1119,-3298.4130859375
1120,-3298.893798828125
1121,-3296.18994140625
1122,-3300.625732421875
1123,-3298.63525390625
1124,-3298.63525390625
1125,-3298.133544921875
1126,-3297.43603515625
1127,-3299.7529296875
1128,-3298.09375
1129,-3300.5224609375
1130,-3299.43701171875
1131,-3299.27978515625
1132,-3298.59765625
1133,-3299.442626953125
1134,-3298.129638671875
1135,-3298.5146484375
1136,-3297.6416015625
1137,-3299.31640625
1138,-3296.35693359375
1139,-3297.43701171875
1140,-3297.8642578125
1141,-3298.741943359375
1142,-3300.657470703125
1143,-3298.0859375
1144,-3302.427734375
1145,-3299.5224609375
1146,-3298.8984375
1147,-3296.41064453125
1148,-3299.93701171875
1149,-3296.86572265625
1150,-3298.70361328125
1151,-3298.087890625
1152,-3300.676513671875
1153,-3297.54736328125
1154,-3300.22265625
1155,-3303.10400390625
1156,-3301.155517578125
1157,-3297.39501953125
1158,-3299.32373046875
1159,-3298.291015625
1160,-3299.0263671875
1161,-3298.9970703125
1162,-3299.99365234375
1163,-3298.035400390625
1164,-3300.38232421875
1165,-3298.30029296875
1166,-3298.48779296875
1167,-3299.23095703125
1168,-3297.91455078125
1169,-3296.62744140625
1170,-3300.310546875
1171,-3297.98193359375
1172,-3298.02392578125
1173,-3298.5546875
1174,-3300.1923828125
1175,-3296.45849609375
1176,-3297.904296875
1177,-3298.717529296875
1178,-3300.4609375
1179,-3299.1796875
1180,-3299.30908203125
1181,-3297.724609375
1182,-3300.40283203125
1183,-3297.970458984375
1184,-3298.44287109375
1185,-3296.88623046875
1186,-3297.96337890625
1187,-3297.7724609375
1188,-3297.988525390625
1189,-3294.787841796875
1190,-3298.64697265625
1191,-3298.15576171875
1192,-3294.866943359375
1193,-3297.55712890625
1194,-3299.3525390625
1195,-3298.61376953125
1196,-3299.98291015625
1197,-3298.54150390625
1198,-3298.916015625
1199,-3298.0400390625
1200,-3298.365234375
1201,-3300.298583984375
1202,-3298.09912109375
1203,-3299.6025390625
1204,-3301.74072265625
1205,-3296.294189453125
1206,-3300.0703125
1207,-3299.421142578125
1208,-3300.37060546875
1209,-3297.884765625
1210,-3298.87744140625
1211,-3298.13818359375
1212,-3302.43017578125
1213,-3298.11865234375
1214,-3298.600830078125
1215,-3297.7939453125
1216,-3299.521484375
1217,-3298.083740234375
1218,-3298.12890625
1219,-3300.1142578125
1220,-3300.21630859375
1221,-3299.0576171875
1222,-3298.552001953125
1223,-3294.279052734375
1224,-3301.1513671875
1225,-3299.46435546875
1226,-3297.999267578125
1227,-3298.571044921875
1228,-3298.9873046875
1229,-3298.7255859375
1230,-3299.751220703125
1231,-3297.59423828125
1232,-3302.695556640625
1233,-3300.5888671875
1234,-3298.9462890625
1235,-3297.62646484375
1236,-3297.61181640625
1237,-3299.41162109375
