,log_likelihood
690,-466.4609375
691,-466.5357971191406
692,-466.8874816894531
693,-465.14886474609375
694,-467.6789245605469
695,-465.18115234375
696,-465.5143737792969
697,-466.448974609375
698,-465.1361083984375
699,-469.34832763671875
700,-465.9940490722656
701,-465.86834716796875
702,-465.61846923828125
703,-464.92303466796875
704,-467.61968994140625
705,-466.064208984375
706,-466.6319885253906
707,-467.2284240722656
708,-465.0408020019531
709,-465.4215393066406
710,-466.4037780761719
711,-465.8205261230469
712,-466.77923583984375
713,-465.5364990234375
714,-467.9191589355469
715,-467.41693115234375
716,-464.5868225097656
717,-467.6689453125
718,-468.6783752441406
719,-465.610595703125
720,-467.1025695800781
721,-466.22039794921875
722,-465.4059753417969
723,-466.6927185058594
724,-467.91400146484375
725,-465.06512451171875
726,-466.1856384277344
727,-466.9492492675781
728,-467.0709533691406
729,-464.65313720703125
730,-466.6102294921875
731,-465.99713134765625
732,-463.75732421875
733,-465.2078857421875
734,-464.74517822265625
735,-465.89422607421875
736,-467.19732666015625
737,-466.08441162109375
738,-466.937744140625
739,-463.63311767578125
740,-466.5631408691406
741,-467.96343994140625
742,-467.7196044921875
743,-467.2377624511719
744,-465.61773681640625
745,-465.7602844238281
746,-464.8840637207031
747,-465.09075927734375
748,-465.44775390625
749,-464.72296142578125
750,-466.0261535644531
751,-465.841064453125
752,-468.4818115234375
753,-469.78369140625
754,-465.1712646484375
755,-465.169677734375
756,-465.96661376953125
757,-465.65570068359375
758,-464.9281005859375
759,-466.9212951660156
760,-465.43292236328125
761,-466.81561279296875
762,-466.9649658203125
763,-467.9204406738281
764,-463.9677429199219
765,-466.161376953125
766,-467.9243469238281
767,-465.0740966796875
768,-465.72991943359375
769,-463.70672607421875
770,-468.32000732421875
771,-466.4526672363281
772,-465.0505676269531
773,-466.49505615234375
774,-465.0083923339844
775,-466.81976318359375
776,-465.47796630859375
777,-468.11676025390625
778,-465.1701965332031
779,-465.59991455078125
780,-467.0382995605469
781,-465.7037048339844
782,-467.9281311035156
783,-466.22540283203125
784,-464.92840576171875
785,-465.47015380859375
786,-466.7960205078125
787,-467.5709228515625
788,-465.5094299316406
789,-465.05450439453125
790,-466.4678955078125
791,-466.6554260253906
792,-465.52374267578125
793,-465.12249755859375
794,-465.9539489746094
795,-464.5631103515625
796,-465.9876403808594
797,-464.68170166015625
798,-466.4928894042969
799,-467.41717529296875
800,-466.27215576171875
801,-466.2142639160156
802,-465.0224609375
803,-463.6690979003906
804,-467.1868591308594
805,-467.88140869140625
806,-465.81439208984375
807,-464.88958740234375
808,-464.5266418457031
809,-466.5257568359375
810,-467.8037109375
811,-464.00531005859375
812,-466.36932373046875
813,-468.212646484375
814,-465.5457763671875
815,-467.2657165527344
