,log_likelihood
564,-347.193115234375
565,-346.2742004394531
566,-348.1411437988281
567,-348.66265869140625
568,-346.48309326171875
569,-347.44720458984375
570,-347.0989685058594
571,-347.213623046875
572,-348.31085205078125
573,-347.4688720703125
574,-346.1065673828125
575,-346.9557189941406
576,-347.1473083496094
577,-347.49786376953125
578,-347.9676513671875
579,-347.50238037109375
580,-347.7987060546875
581,-345.683349609375
582,-346.87896728515625
583,-346.98797607421875
584,-346.9842529296875
585,-347.58416748046875
586,-348.49383544921875
587,-347.9171142578125
588,-348.30218505859375
589,-347.19049072265625
590,-346.77984619140625
591,-348.8868713378906
592,-347.81756591796875
593,-347.6534423828125
594,-346.92962646484375
595,-346.49957275390625
596,-346.7346496582031
597,-347.1873779296875
598,-348.9194030761719
599,-346.3581237792969
600,-345.1594543457031
601,-347.55853271484375
602,-348.1317138671875
603,-346.12164306640625
604,-347.3454284667969
605,-347.46197509765625
606,-347.3438720703125
607,-347.0872497558594
608,-347.0302734375
609,-347.01300048828125
610,-349.0775451660156
611,-345.56396484375
612,-346.93206787109375
613,-346.77862548828125
614,-348.5405578613281
615,-346.3836669921875
616,-346.0849914550781
617,-347.5831298828125
618,-348.57476806640625
619,-346.82305908203125
620,-347.17413330078125
621,-347.3983459472656
622,-346.9264221191406
623,-345.89385986328125
624,-346.7193603515625
625,-348.6444091796875
626,-346.67938232421875
627,-347.2565002441406
628,-347.19183349609375
629,-347.5892639160156
630,-347.84613037109375
631,-346.02191162109375
632,-348.1756896972656
633,-347.80682373046875
634,-346.7372131347656
635,-348.03240966796875
636,-346.9230651855469
637,-345.9226989746094
638,-347.52813720703125
639,-346.6072692871094
640,-347.3910217285156
641,-347.64044189453125
642,-346.5062255859375
643,-347.8433837890625
644,-348.6627502441406
645,-346.34759521484375
646,-346.7022705078125
647,-347.6884460449219
648,-346.90875244140625
649,-346.36553955078125
650,-347.5604248046875
651,-346.3017578125
652,-346.99530029296875
653,-347.35052490234375
654,-346.5532531738281
655,-349.57550048828125
656,-348.46942138671875
657,-348.107177734375
658,-347.4383544921875
659,-347.92572021484375
660,-345.58355712890625
661,-346.72222900390625
662,-347.6608581542969
663,-346.34588623046875
664,-348.65277099609375
665,-346.9253234863281
666,-346.79205322265625
667,-349.02166748046875
668,-347.2469482421875
669,-346.2274169921875
670,-345.90289306640625
671,-347.8767395019531
672,-347.2539367675781
673,-348.48748779296875
674,-347.0945129394531
675,-348.35980224609375
676,-346.79736328125
677,-347.6432800292969
678,-347.90069580078125
679,-347.95068359375
680,-347.77996826171875
681,-345.68011474609375
682,-347.6601867675781
683,-349.44915771484375
684,-347.238525390625
685,-346.25604248046875
686,-348.0143127441406
687,-348.4169921875
688,-350.37664794921875
689,-345.8798522949219
