,log_likelihood
816,-9.367218017578125
817,-7.966796875
818,-1.796875
819,-10.242218017578125
820,-12.617218017578125
821,-13.242218017578125
822,-13.625
823,-9.966796875
824,-8.06298828125
825,-11.21875
826,-11.330078125
827,0.28125
828,-2.22265625
829,-8.779296875
830,-3.45703125
831,-8.867218017578125
832,-14.5908203125
833,-11.992218017578125
834,-7.37890625
835,0.859375
836,-10.1806640625
837,-4.78125
838,-5.867218017578125
839,-6.774169921875
840,-10.992218017578125
841,-11.242218017578125
842,-11.1875
843,-8.19140625
844,-9.3203125
845,-9.929718017578125
846,-5.8907470703125
847,-4.6875
848,-9.1719970703125
849,-13.1796875
850,-13.5
851,-7.0625
852,-6.804718017578125
853,-1.8935546875
854,-9.0625
855,-5.742218017578125
856,-8.679718017578125
857,-14.804718017578125
858,-12.2969970703125
859,-5.8515625
860,-15.0625
861,-14.0625
862,-9.0419921875
863,-7.5157470703125
864,-12.429718017578125
865,-12.4375
866,-12.429718017578125
867,-13.429718017578125
868,-14.5625
869,2.31298828125
870,-1.296875
871,-9.125
872,-13.5625
873,-5.242218017578125
874,-9.75
875,-10.9375
876,-14.5
877,0.265625
878,-12.804718017578125
879,-8.84423828125
880,-11.625
881,-6.29248046875
882,-8.0
883,-7.484375
884,-1.8203125
885,1.091796875
886,-4.015625
887,-14.28515625
888,-10.6094970703125
889,-13.205078125
890,-7.273468017578125
891,-12.5625
892,-8.990234375
893,-9.75
894,-11.0625
895,-4.81640625
896,-12.25
897,-2.7265625
898,-12.86962890625
899,-5.5546875
900,-7.78173828125
901,-13.25
902,-3.74365234375
903,-8.1719970703125
904,-11.69482421875
905,-0.46875
906,-4.75
907,-5.5078125
908,-1.359375
909,-9.875
910,-8.125
911,-5.15673828125
912,-10.3125
913,-12.43212890625
914,-8.586669921875
915,-7.774169921875
916,-9.75
917,-6.867218017578125
918,-2.14453125
919,-3.28125
920,-1.9140625
921,-10.992218017578125
922,-11.78173828125
923,-0.03125
924,-7.345703125
925,-11.4541015625
926,-10.751953125
927,-8.09765625
928,-7.4375
929,-9.5
930,-7.523468017578125
931,-6.03125
932,-5.845703125
933,-10.5
934,-9.179718017578125
935,-14.375
936,-7.828125
937,-6.30859375
938,-10.8896484375
939,-6.0390625
940,-8.27099609375
941,-2.6875
