,log_likelihood
252,-1.7890625
253,-0.921875
254,-8.3515625
255,-10.486328125
256,1.984375
257,-2.375
258,-3.421875
259,-0.078125
260,-0.765625
261,-15.78173828125
262,1.109375
263,-1.546875
264,-0.171875
265,-0.125
266,-8.18212890625
267,-4.8359375
268,-0.671875
269,-1.40625
270,1.03125
271,-0.125
272,0.09375
273,1.625
274,-8.0
275,0.890625
276,-1.671875
277,-0.25
278,-6.56982421875
279,-2.9375
280,-2.59375
281,-5.125
282,-5.9921875
283,-2.3515625
284,-0.3125
285,1.75
286,-10.179718017578125
287,-9.851806640625
288,-5.62109375
289,0.046875
290,0.421875
291,0.28125
292,-8.578125
293,-0.4375
294,-4.765625
295,-0.15625
296,-4.078125
297,-0.40625
298,0.0
299,-1.40625
300,-0.046875
301,-1.109375
302,-6.53125
303,-3.171875
304,-3.5625
305,0.5625
306,-1.4375
307,-0.15625
308,-0.984375
309,3.75
310,-1.66015625
311,-8.664306640625
312,-1.5625
313,-0.5625
314,-7.0
315,-3.15234375
316,1.0625
317,-0.328125
318,-3.65625
319,-3.15625
320,-4.695556640625
321,1.0625
322,-0.984375
323,0.078125
324,-0.21875
325,-3.21484375
326,-0.015625
327,0.453125
328,-1.03125
329,-0.609375
330,-0.59375
331,0.921875
332,-13.048828125
333,-0.390625
334,0.546875
335,-0.203125
336,-8.375
337,0.375
338,-0.140625
339,0.09375
340,0.078125
341,-0.65625
342,-0.625
343,-0.0625
344,-0.0625
345,-1.59375
346,-5.921875
347,-0.875
348,1.0625
349,-2.25
350,1.046875
351,-0.3125
352,-0.546875
353,0.4375
354,-0.453125
355,-3.2421875
356,-0.890625
357,-6.830078125
358,-0.6875
359,0.0
360,-0.328125
361,0.015625
362,-1.28125
363,-1.1328125
364,-1.203125
365,-1.53125
366,0.671875
367,-3.97265625
368,-0.3046875
369,-3.0
370,-4.515625
371,-3.875
372,0.109375
373,-2.39453125
374,-4.609375
375,0.625
376,-0.7265625
377,-1.453125
