,log_likelihood
0,-5.283203125
1,-0.046875
2,0.609375
3,-0.140625
4,-0.09375
5,0.0
6,-1.0234375
7,-0.93359375
8,-2.40625
9,-0.171875
10,0.125
11,0.15625
12,-3.81298828125
13,-0.328125
14,-1.34375
15,-0.234375
16,0.5625
17,0.0625
18,-3.0546875
19,-0.203125
20,-0.1875
21,-1.7734375
22,-0.97265625
23,-2.5546875
24,0.4375
25,-3.28125
26,-0.90625
27,0.28125
28,-0.375
29,0.546875
30,-3.734375
31,-0.1875
32,-4.1796875
33,0.34375
34,-0.234375
35,-4.2265625
36,0.40625
37,-0.4375
38,-10.375
39,-2.6279296875
40,0.578125
41,-0.171875
42,-0.8671875
43,-1.109375
44,-0.84375
45,1.1875
46,-1.1328125
47,-4.2373046875
48,-1.78125
49,-0.25
50,0.578125
51,-6.6455078125
52,-0.5625
53,-0.359375
54,-0.25
55,-0.03125
56,-3.3203125
57,-0.484375
58,-3.12109375
59,-0.859375
60,-1.3203125
61,-1.0625
62,-0.5625
63,-0.40625
64,-5.492218017578125
65,0.109375
66,-9.03173828125
67,-0.390625
68,0.96875
69,-3.0
70,0.640625
71,0.171875
72,-1.98828125
73,0.09375
74,-1.84765625
75,0.78125
76,-5.52099609375
77,-0.390625
78,0.84375
79,-0.140625
80,-1.796875
81,-5.7969970703125
82,-5.2109375
83,-0.328125
84,-1.1640625
85,-1.03125
86,-10.351806640625
87,-0.6875
88,-7.40673828125
89,-0.703125
90,-10.492218017578125
91,-0.328125
92,1.046875
93,0.078125
94,-1.5859375
95,-1.03125
96,-3.609375
97,-0.8984375
98,-4.345703125
99,-4.508056640625
100,-0.4375
101,-0.109375
102,-1.71875
103,-9.26953125
104,-1.515625
105,1.0546875
106,-0.25
107,-0.21875
108,-0.71875
109,-0.65625
110,-6.4609375
111,0.546875
112,-4.60107421875
113,0.59375
114,0.34375
115,-4.15087890625
116,-5.8984375
117,0.046875
118,-0.625
119,-1.5625
120,-3.15625
121,-1.890625
122,-1.1875
123,-2.28125
124,-0.0625
125,-1.2890625
