,log_likelihood
942,-4.51416015625
943,-5.40673828125
944,-4.992919921875
945,-9.09423828125
946,-0.21875
947,-13.492218017578125
948,-5.835968017578125
949,-11.0625
950,-11.60498046875
951,-7.024169921875
952,-7.60791015625
953,-4.26416015625
954,0.40625
955,-7.742218017578125
956,-6.818359375
957,-16.125
958,-7.59423828125
959,-11.875
960,-8.15673828125
961,-5.068359375
962,-2.625
963,-1.8125
964,-3.8515625
965,-5.84375
966,-6.248046875
967,-4.19140625
968,-7.5
969,-6.29541015625
970,-6.680419921875
971,-2.74560546875
972,-8.47998046875
973,-13.179718017578125
974,-3.6875
975,-15.375
976,-6.875
977,-11.21923828125
978,-12.6875
979,-12.929718017578125
980,-1.373046875
981,-11.992218017578125
982,-2.8125
983,-15.054718017578125
984,-10.71923828125
985,-6.617919921875
