,log_likelihood
504,1.171875
505,0.59375
506,-0.953125
507,-0.65625
508,0.171875
509,-3.9453125
510,-2.25
511,-0.6875
512,-1.6015625
513,0.15625
514,0.046875
515,1.8125
516,-2.21875
517,-0.4375
518,-0.75
519,-1.15625
520,-0.125
521,-1.40625
522,0.7890625
523,-0.21875
524,-0.765625
525,-0.25
526,0.25
527,1.265625
528,-2.0078125
529,-0.125
530,-0.546875
531,-0.5
532,-0.546875
533,0.015625
534,0.9375
535,-2.6171875
536,0.5625
537,-0.015625
538,-2.03125
539,-0.171875
540,-0.578125
541,-0.953125
542,1.09375
543,-0.375
544,0.3515625
545,1.6640625
546,-0.484375
547,0.3125
548,0.7109375
549,0.015625
550,-0.09375
551,0.5625
552,0.6875
553,-0.15625
554,0.53125
555,-1.28125
556,-1.453125
557,-1.9609375
558,0.40625
559,1.6875
560,0.359375
561,-0.359375
562,0.203125
563,-1.390625
