,log_likelihood
1616,-2.6484375
1617,-0.91796875
1618,0.765625
1619,-1.71875
1620,0.03125
1621,-11.0908203125
1622,-3.61328125
1623,-3.52294921875
1624,-2.703125
1625,-3.6953125
1626,-4.2890625
1627,-2.21875
1628,-1.84375
1629,-8.740234375
1630,-3.15625
1631,-0.875
1632,-2.40625
1633,-8.2734375
1634,-5.375
1635,-2.890625
1636,-1.09375
1637,-9.804718017578125
1638,-12.736328125
1639,-12.3594970703125
1640,-0.75
1641,-0.703125
1642,-2.25
1643,-8.78515625
1644,-6.501953125
1645,-7.7998046875
1646,-4.40625
1647,-0.59375
1648,-7.33984375
1649,0.28125
1650,0.328125
1651,-8.492218017578125
1652,0.0625
1653,-4.0078125
1654,-8.6875
1655,-3.8828125
1656,-11.6719970703125
1657,-1.9609375
1658,-9.3125
1659,-2.5546875
1660,-6.814453125
1661,-4.3125
1662,-2.328125
1663,-1.25
1664,1.265625
1665,-2.958984375
1666,-4.53515625
1667,-0.046875
1668,-10.4873046875
1669,-3.0234375
1670,-2.734375
1671,-0.640625
1672,-2.5625
1673,-9.679718017578125
1674,-7.5283203125
1675,-0.640625
1676,-9.125
1677,-0.5
1678,0.3125
1679,-0.90625
1680,0.28125
1681,-1.453125
1682,-1.140625
1683,-0.9375
1684,-0.125
1685,-2.7890625
1686,0.171875
1687,-3.91796875
1688,-9.44677734375
1689,-6.14599609375
1690,0.5
1691,-12.4375
1692,-0.15625
1693,-7.96875
1694,-5.1875
1695,-4.28125
1696,-13.890625
1697,-6.97265625
1698,-9.8896484375
1699,-5.00732421875
1700,-2.71875
1701,-10.804718017578125
1702,-16.125
1703,-0.03125
1704,-7.4580078125
1705,-3.0625
1706,-10.3125
1707,-0.046875
1708,-4.328125
1709,0.359375
1710,-7.773468017578125
1711,2.44140625
1712,-9.03515625
1713,-2.5625
1714,-7.7373046875
1715,-2.90625
1716,-8.9873046875
1717,0.859375
1718,-5.171875
1719,-0.625
1720,-6.0782470703125
1721,-9.7041015625
1722,-7.84423828125
1723,1.8515625
1724,0.421875
1725,-13.625
1726,-1.203125
1727,-0.6875
1728,-3.6015625
1729,-4.802734375
1730,-6.4219970703125
1731,-4.21875
1732,-0.890625
1733,-2.84375
1734,-8.224609375
1735,-0.359375
1736,-10.04248046875
1737,-13.3916015625
1738,-7.8984375
1739,-8.1416015625
1740,-2.3125
1741,-5.314453125
