,log_likelihood
1742,-8.31298828125
1743,0.046875
1744,-3.73046875
1745,0.171875
1746,-11.30859375
1747,-0.671875
1748,-4.265625
1749,-0.0625
1750,-0.40625
1751,-7.94921875
1752,-4.970703125
1753,2.0078125
1754,-2.1328125
1755,-0.859375
1756,-3.07421875
1757,-5.59375
1758,-1.90625
1759,-4.55078125
1760,-1.234375
1761,-2.625
1762,0.34375
1763,0.703125
1764,-4.375
1765,-3.1875
1766,-4.84375
1767,-3.1640625
1768,3.015625
1769,-7.53515625
1770,-12.1416015625
1771,-4.2265625
1772,-9.242218017578125
1773,-2.34375
1774,-3.9375
1775,-1.5546875
1776,1.1953125
1777,-1.9375
1778,-3.5
1779,-2.71875
1780,-2.8125
1781,-0.4375
1782,-0.15625
1783,-3.84765625
1784,-4.291015625
1785,0.625
1786,-0.4375
1787,-0.859375
1788,1.09375
1789,-0.078125
1790,-0.25
1791,-0.25
1792,1.203125
1793,-0.25
1794,-3.7109375
1795,0.328125
1796,0.546875
1797,-0.109375
1798,-1.828125
1799,-3.6640625
1800,2.140625
1801,-0.46875
1802,-7.5
1803,-0.125
1804,-1.578125
1805,-14.625
1806,-1.984375
1807,-1.734375
1808,-3.96875
1809,-4.4921875
1810,0.109375
1811,-3.203125
1812,-1.296875
1813,-3.771484375
1814,-1.09375
1815,-0.9296875
1816,0.83984375
1817,-12.679718017578125
1818,-10.24609375
1819,0.1875
1820,-0.8125
1821,0.0
1822,-1.734375
1823,-2.88671875
1824,0.03125
1825,-2.890625
1826,-3.0625
1827,-4.0625
1828,-10.617218017578125
1829,-5.99609375
1830,-5.2724609375
1831,-1.203125
1832,-6.59375
1833,0.53125
1834,-3.109375
1835,0.03125
1836,-14.625
1837,-0.5
1838,-11.054718017578125
1839,-5.25
1840,-1.6875
1841,-3.69921875
1842,-5.203125
1843,-0.171875
1844,0.703125
1845,0.703125
1846,-0.140625
1847,-2.8125
1848,-1.625
1849,-0.5
1850,-0.3828125
1851,-11.0625
1852,-2.40625
1853,-3.3359375
1854,0.078125
1855,-4.42578125
1856,-4.515625
1857,0.1875
1858,-0.453125
1859,-0.609375
1860,0.65625
1861,-1.71875
1862,-5.13916015625
1863,-3.640625
1864,0.34375
1865,-2.328125
1866,-0.671875
1867,-0.3125
